School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active
Daugavpils 10. vidusskola|2713900714|Krievu|TAUTAS IELA 11, DAUGAVPILS, LV-5404|2013|739|1
Daugavpils 12. vidusskola|2713901240|Latviešu|KAUŅAS IELA 8, DAUGAVPILS, LV-5404|2013|535|1
Daugavpils 13. vidusskola|2713901135|Krievu|VALKAS IELA 4a, DAUGAVPILS, LV-5417|2013|619|1
Daugavpils 15. vidusskola|2713901176|Krievu|VALKAS IELA 4, DAUGAVPILS, LV-5417|2013|698|1
Daugavpils 16. vidusskola|2713901231|LK|AVEŅU IELA 40, DAUGAVPILS, LV-5421|2013|636|1
Daugavpils 17. vidusskola|2713901235|LK|VARŠAVAS IELA 45, DAUGAVPILS, LV-5400|2013|602|1
Daugavpils valsts poļu ģimnāzija|2713901232|Poļu|VARŠAVAS IELA 2, DAUGAVPILS, LV-5404|2013|0|0
Daugavpils pilsētas Centra ģimnāzija|2713902243|LK|KANDAVAS IELA 17, DAUGAVPILS, LV-5400|2013|0|0
Daugavpils logopēdiskā internātpamatskola - attīstības centrs|2720901224|LK|ABAVAS IELA 1, DAUGAVPILS, LV-5417|2013|200|1
Daugavpils 4. speciālā pamatskola|2720901333|Krievu|ARHITEKTU IELA 10, DAUGAVPILS, LV-5410|2013|0|0
Daugavpils 1. speciālā pamatskola|2720901223|LK|18.Novembra 197b, DAUGAVPILS, LV-5400|2013|33|1
Vispārējās vidējās izglītības izlīdzinošā programma pie Daugavpils 1. arodvidusskolas|2731001060|Krievu|Mendeļejeva 1, DAUGAVPILS, LV-5410|2013|0|0
Pamatskolas klases pie Daugavpils Mūzikas vidusskolas|2731301245|LK|KANDAVAS IELA 2a, DAUGAVPILS, LV-5401|2013|0|0
Jelgavas 2. pamatskola|2812900143|Krievu|SARMAS IELA 2, JELGAVA, LV-3000|2013|572|1
Jelgavas 4. pamatskola|2812900145|Latviešu|PULKVEŽA OSKARA KALPAKA IELA 34, JELGAVA, LV-3001|2013|0|0
Jelgavas 3. pamatskola|2812900144|Latviešu|UZVARAS IELA 10, JELGAVA, LV-3000|2013|0|0
Jelgavas 1. ģimnāzija|2813900135|Latviešu|MEIJU CEĻŠ 9, JELGAVA, LV-3007|2013|0|0
Jelgavas Valsts ģimnāzija|2819902423|Latviešu|MĀTERA IELA 44, JELGAVA, LV-3000|2013|667|1
Jelgavas 4. vidusskola|2813900137|Latviešu|AKMEŅU IELA 1, JELGAVA, LV-3004|2013|920|1
Jelgavas 5. vidusskola|2813900138|Krievu|ASPAZIJAS IELA 20, JELGAVA, LV-3000|2013|654|1
Jelgavas 6. vidusskola|2813900139|Krievu|LOKA MAĢISTRĀLE 29, JELGAVA, LV-3004|2013|539|1
Jelgavas Spīdolas ģimnāzija|2813900140|Latviešu|MĀTERA IELA 30, JELGAVA, LV-3001|2013|446|1
"Lazdiņas privātā vidusskola ""Punktiņš"""|2813800019|Latviešu|JĀŅA ASARA IELA 12, JELGAVA, LV-3001|2013|4|1
Dienas apmācības klases pie  Jelgavas Vakara (maiņu) vidusskolas|2814900141|LK|SKOLOTĀJU IELA 8, JELGAVA, LV-3001|2013|0|0
Jelgavas speciālā pamatskola|2820900152|LK|Zemgales Prospekts 7, JELGAVA, LV-3001|2013|0|0
Jelgavas speciālā internātpamatskola|2820902715|LK|FILOZOFU IELA 50, JELGAVA, LV-3001|2013|0|0
Jelgavas 1. sanatorijas internātpamatskola|2823901097|Latviešu|Institūta 4, JELGAVA, LV-3004|2013|0|0
"Sākumskola ""Ābelīte"""|2911901386|Krievu|PLŪDU IELA 4a, JŪRMALA, LV-2015|2013|99|1
"Sākumskola ""Taurenītis"""|2911901383|Latviešu|KĻAVU IELA 29/31, JŪRMALA, LV-2015|2013|133|1
"Jūrmalas pirmsskolas izglītības iestāde ""Zvaniņš"""|2901902800|Latviešu|LĪBIEŠU IELA 19/21, JŪRMALA, LV-2016|2013|0|0
"Jūrmalas sākumskola ""Atvase"""|2911901882|Latviešu|RAIŅA IELA 53, JŪRMALA, LV-2011|2013|355|1
Slokas pamatskola|2912901351|Latviešu|SKOLAS IELA 3, JŪRMALA, LV-2011|2013|333|1
Majoru pamatskola|2912901352|Latviešu|RĪGAS IELA 3, JŪRMALA, LV-2015|2013|0|0
Jūrmalas Alternatīvā skola|2912901382|Latviešu|VIESTURA IELA 6, JŪRMALA, LV-2010|2013|168|1
Vaivaru pamatskola|2912901441|Latviešu|SKAUTU IELA 2, JŪRMALA, LV-2008|2013|140|1
Jūrmalas Valsts ģimnāzija|2919902697|Latviešu|RAIŅA IELA 55, JŪRMALA, LV-2011|2013|339|1
Jūrmalas pilsētas Kauguru vidusskola|2913901344|Krievu|RAIŅA IELA 118, JŪRMALA, LV-2016|2013|644|1
Ķemeru vidusskola|2913901345|Latviešu|TUKUMA IELA 10, JŪRMALA, LV-2012|2013|111|1
Pumpuru vidusskola|2913901346|Latviešu|KRONVALDA IELA 8, JŪRMALA, LV-2008|2013|467|1
Jūrmalas pilsētas Jaundubultu vidusskola|2913901349|Krievu|LIELUPES IELA 21, JŪRMALA, LV-2015|2013|226|1
Jūrmalas pilsētas Lielupes vidusskola|2913901347|LK|AIZPUTES IELA 1a, JŪRMALA, LV-2010|2013|180|1
Jūrmalas pilsētas Mežmalas vidusskola|2913901348|Krievu|RŪPNIECĪBAS IELA 13, JŪRMALA, LV-2016|2013|432|1
Jūrmalas pilsētas speciālā internātpamatskola|2920901384|LK|DZIRNAVU IELA 50, JŪRMALA, LV-1184|2013|0|0
Liepājas Ezerkrasta sākumskola|3011900940|Latviešu|LAUKU IELA 54, LIEPĀJA, LV-3411|2013|347|1
"Privātsākumskola ""Varavīksne"""|3011800081|Latviešu|REPUBLIKAS IELA 23, LIEPĀJA, LV-3401|2013|42|1
Liepājas 3. pamatskola|3012900937|Krievu|LAZARETES IELA 8, LIEPĀJA, LV-3402|2013|439|1
Liepājas internātpamatskola|3012901048|LK|KRŪMU IELA 65, LIEPĀJA, LV-3402|2013|132|1
Liepājas Centra pamatskola|3012902612|Latviešu|Ūliha 33, LIEPĀJA, LV-3400|2013|0|0
Liepājas Katoļu pamatskola|3012800408|Latviešu|PELDU IELA 17, LIEPĀJA, LV-3400|2013|141|1
Liepājas Valsts 1. ģimnāzija|3019902788|Latviešu|AUSEKĻA IELA 9, LIEPĀJA, LV-3401|2013|525|1
Liepājas A. Puškina 2. vidusskola|3013900936|Krievu|LIEDAGA IELA 5, LIEPĀJA, LV-3416|2013|680|1
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola|3013900932|Latviešu|RĪGAS IELA 50, LIEPĀJA, LV-3400|2013|1170|1
Liepājas Raiņa 6. vidusskola|3013900933|Latviešu|GANĪBU IELA 106, LIEPĀJA, LV-3411|2013|457|1
Liepājas 7. vidusskola|3013900934|Krievu|CELMU IELA 6, LIEPĀJA, LV-3417|2013|828|1
J. Čakstes Liepājas pilsētas 10. vidusskola|3013900925|Latviešu|ALEJAS IELA 16, LIEPĀJA, LV-3401|2013|691|1
Liepājas pilsētas 12. vidusskola|3013900930|Krievu|VALDEMĀRA IELA 35/37, LIEPĀJA, LV-3401|2013|537|1
Liepājas 15. vidusskola|3013900931|Latviešu|OSKARA KALPAKA IELA 96, LIEPĀJA, LV-3417|2013|886|1
Liepājas 8. vidusskola|3013900924|LK|DUNIKAS IELA 9/11, LIEPĀJA, LV-3416|2013|566|1
Dienas apmācības klases pie Liepājas vakara (maiņu) vidusskolas|3014900943|LK|RAIŅA IELA 5, LIEPĀJA, LV-3401|2013|0|0
Liepājas speciālā internātpamatskola|3020900938|LK|Ūliha 56, LIEPĀJA, LV-3401|2013|214|1
Vispārējās vidējās izglītības izlīdzinošā programma pie Liepājas Būvamatniecības vidusskolas|3031001369|Latviešu|KLĀVA UKSTIŅA IELA 17/23, LIEPĀJA, LV-3411|2013|0|0
Vispārējās vidējās izglītības izlīdzinošā programma pie Liepājas Tūrisma un tekstila skolas|3031001356|Latviešu|VENTSPILS IELA 51, LIEPĀJA, LV-3405|2013|0|0
Rēzeknes Valsts ģimnāzija|3119902527|Latviešu|KAĻĶU IELA 12, RĒZEKNE, LV-4601|2013|156|1
Rēzeknes 2. vidusskola|3113900062|Krievu|DĀRZU IELA 17/21, RĒZEKNE, LV-4600|2013|576|1
Rēzeknes 3. vidusskola|3113900063|Krievu|18. NOVEMBRA IELA 33, RĒZEKNE, LV-4600|2013|411|1
Rēzeknes 4. vidusskola|3113900064|Krievu|VIĻĀNU IELA 2, RĒZEKNE, LV-4600|2013|243|1
Rēzeknes 5. vidusskola|3113900065|Latviešu|RŪPNĪCAS IELA 11a, RĒZEKNE, LV-4600|2013|548|1
Rēzeknes 6. vidusskola|3113900066|Krievu|KOSMONAUTU IELA 6, RĒZEKNE, LV-4600|2013|514|1
Rēzeknes 1. vidusskola|3113900061|Latviešu|DZIRNAVU IELA 3a, RĒZEKNE, LV-4600|2013|638|1
Rēzeknes poļu vidusskola|3113902163|Poļu|LUBĀNAS IELA 49, RĒZEKNE, LV-4600|2013|0|0
Rēzeknes Katoļu vidusskola|3113802708|Latviešu|LATGALES IELA 82, RĒZEKNE, LV-4601|2013|220|1
Rēzeknes logopēdiskā internātpamatskola|3120900069|Latviešu|F. VARSLAVĀNA IELA 5, RĒZEKNE, LV-4600|2013|136|1
Ventspils 1. pamatskola|3212900030|Latviešu|Pļavas iela 25/27, VENTSPILS, LV-3600|2013|284|1
Ventspils 2. pamatskola|3212900031|LK|BĒRZU IELA 54, VENTSPILS, LV-3600|2013|250|1
Ventspils Centra pamatskola|3212902422|Latviešu|BRĪVĪBAS IELA 15, VENTSPILS, LV-3600|2013|0|0
Ventspils 1. ģimnāzija|3213900032|Latviešu|KULDĪGAS IELA 1, VENTSPILS, LV-3601|2013|335|1
Ventspils 2. vidusskola|3213900033|Krievu|KULDĪGAS IELA 65/67, VENTSPILS, LV-3600|2013|517|1
Ventspils 3. vidusskola|3213900034|Krievu|TĀRGALES IELA 5, VENTSPILS, LV-3602|2013|450|1
Ventspils 4. vidusskola|3213900035|Latviešu|RĪGAS IELA 12a, VENTSPILS, LV-3600|2013|697|1
Ventspils 6. vidusskola|3213900037|LK|SARKANMUIŽAS DAMBIS 1, VENTSPILS, LV-3600|2013|632|1
Ventspils 5. vidusskola|3213900036|Latviešu|TĀRGALES IELA 61, VENTSPILS, LV-3600|2013|383|1
Dienas apmācības klases pie Ventspils vakara vidusskolas|3214900038|LK|SAULES IELA 37, VENTSPILS, LV-3600|2013|0|0
Vispārējās vidējās izglītības izlīdzinošā programma pie Ventspils Profesionālā vidusskolas|3231001525|Latviešu|SAULES IELA 15, VENTSPILS, LV-3601|2013|0|0
Rīgas Centra sākumskola|3411900784|Latviešu|TĒRBATAS IELA 69, RĪGA, LV-1001|2013|0|0
Rīgas 24. pamatskola|3412900785|Krievu|ALEKSANDRA ČAKA IELA 139, RĪGA, LV-1012|2013|361|1
Rīgas Centra daiļamatniecības pamatskola|3412900786|Latviešu|ASPAZIJAS BULVĀRIS 34, RĪGA, LV-1050|2013|344|1
Rīgas Valda Zālīša pamatskola|3412900787|Latviešu|KALPAKA BULVĀRIS 8, RĪGA, LV-1050|2013|0|0
"Pamatskola ""Rīdze"""|3412900804|Latviešu|KRIŠJĀŅA VALDEMĀRA IELA 2, RĪGA, LV-1010|2013|504|1
Rīgas Valsts 1. ģimnāzija|3419900793|Latviešu|RAIŅA BULVĀRIS 8, RĪGA, LV-1050|2013|1068|1
Rīgas pilsētas 3. ģimnāzija|3416900794|Latviešu|GRĒCINIEKU IELA 10, RĪGA, LV-1050|2013|0|0
Natālijas Draudziņas ģimnāzija|3413900791|Latviešu|BRUŅINIEKU IELA 24a, RĪGA, LV-1001|2013|0|0
Rīgas 22. vidusskola|3413900799|Krievu|BRUŅINIEKU IELA 10, RĪGA, LV-1001|2013|643|1
Rīgas M. Lomonosova krievu vidusskola|3413900792|Krievu|AKAS IELA 10, RĪGA, LV-1011|2013|0|0
Rīgas 40. vidusskola|3413900797|Krievu|TĒRBATAS IELA 15/17, RĪGA, LV-1011|2013|1040|1
Rīgas Centra humanitārā vidusskola|3413900790|Latviešu|KRIŠJĀŅA BARONA IELA 97a, RĪGA, LV-1012|2013|918|1
Rīgas 99. vidusskola|3413900798|Latviešu|TALLINAS IELA 57, RĪGA, LV-1012|2013|0|0
Privātā Rīgas Tehnolingvistiskā ģimnāzija|3413801138|Krievu|ĢERTRŪDES IELA 27, RĪGA, LV-1011|2013|60|1
Dienas apmācības klases pie Rīgas Raiņa 8. vakara (maiņu) vidusskolas|3414900800|Latviešu|KRIŠJĀŅA BARONA IELA 71, RĪGA, LV-1001|2013|0|0
"Rīgas sākumskola ""Valodiņa"""|3420900801|Latviešu|BLAUMAŅA IELA 26, RĪGA, LV-1011|2013|151|1
Rīgas 1. speciālā internātpamatskola|3420900802|Latviešu|ĢERTRŪDES IELA 18, RĪGA, LV-1011|2013|164|1
Vispārējās vidējās izglītības izlīdzinošā programma pie Rīgas Būvniecības vidusskolas|3331002793|Latviešu|KRIŠJĀŅA VALDEMĀRA IELA 163, RĪGA, LV-1013|2013|0|0
Āgenskalna sākumskola|3511900641|Latviešu|KANDAVAS IELA 4/1, RĪGA, LV-1083|2013|567|1
Starptautiskā Rīgas sākumskola|3511802055|Angļu|ZVEJNIEKU IELA 12, RĪGA, LV-1048|2013|0|0
Rīgas Valdorfskola|3512900779|Latviešu|RAŅĶA DAMBIS 3, RĪGA, LV-1048|2013|300|1
Āgenskalna ģimnāzija|3513900642|Latviešu|ĀGENSKALNA IELA 21a, RĪGA, LV-1048|2013|0|0
Rīgas 19. vidusskola|3513900771|Latviešu|MIGLAS IELA 9, RĪGA, LV-1016|2013|276|1
Rīgas 33. vidusskola|3513900836|Krievu|STŪRMAŅU IELA 23, RĪGA, LV-1016|2013|755|1
Rīgas 34. vidusskola|3513900765|Krievu|KANDAVAS IELA 4, RĪGA, LV-1083|2013|982|1
Rīgas 41. vidusskola|3513900768|Latviešu|SLOKAS IELA 49a, RĪGA, LV-1007|2013|521|1
Rīgas 54. vidusskola|3513900764|Krievu|BALTĀ IELA 22, RĪGA, LV-1055|2013|421|1
Iļģuciema vidusskola|3513900770|Latviešu|DZIRCIEMA IELA 109, RĪGA, LV-1055|2013|452|1
Rīgas Daugavgrīvas vidusskola|3513900766|Krievu|PARĀDES IELA 5, RĪGA, LV-1016|2013|499|1
Rīgas 68. vidusskola|3513900769|Krievu|DZIRCIEMA IELA 43a, RĪGA, LV-1083|2013|341|1
Rīgas 69. vidusskola|3513900774|Latviešu|IMANTAS IELA 11a, RĪGA, LV-1067|2013|421|1
Rīgas 96. vidusskola|3513900776|Krievu|AURU IELA 6a, RĪGA, LV-1069|2013|834|1
Rīgas 71. vidusskola|3513900772|Krievu|IĻĢUCIEMA IELA 6, RĪGA, LV-1055|2013|771|1
Rīgas Ostvalda vidusskola|3513900775|Krievu|DAMMES IELA 20, RĪGA, LV-1069|2013|710|1
Rīgas Anniņmuižas vidusskola|3513900767|Krievu|KLEISTU IELA 14, RĪGA, LV-1067|2013|756|1
Rīgas Imantas vidusskola|3513900773|Latviešu|KURZEMES PROSPEKTS 158, RĪGA, LV-1029|2013|704|1
"Privātskola ""Latreia"""|3513800288|Krievu|KULDĪGAS IELA 45, RĪGA, LV-1083|2013|82|1
"Privātā vidusskola ""Templum"""|3513802325|Krievu|MEŽA IELA 4, RĪGA, LV-1055|2013|30|1
"Privātā vidusskola ""Patnis"""|3513802582|Latviešu|GREGORA IELA 13a, RĪGA, LV-1046|2013|172|1
Rīgas 71. vidusskolas Bērnu-invalīdu izglītības un rehabilitācijas centrs|3520900833|LK|GRĪVAS IELA 26, RĪGA, LV-1055|2013|0|0
Pamatskolas klases pie Rīgas Doma kora skolas|3331301251|Latviešu|KALNCIEMA IELA 10/12, RĪGA, LV-1048|2013|0|0
pamatskolas klases pie Emīla Dārziņa mūzikas vidusskolas|3331301249|LK|Kalnciema 10/12, RĪGA, LV-1048|2013|0|0
Rīgas Pļavnieku sākumskola|3611901870|Latviešu|ULBROKAS IELA 20, RĪGA, LV-1021|2013|0|0
Rīgas sākumskola „Papatya”|3611802618|Latviešu|ĢERTRŪDES IELA 127a, RĪGA, LV-1009|2013|0|0
Andreja Pumpura Rīgas 11. pamatskola|3612900689|Latviešu|MASKAVAS IELA 197, RĪGA, LV-1019|2013|447|1
O.Kalpaka Rīgas Tautas daiļamatu pamatskola|3612900688|Latviešu|SKRINDU IELA 1, RĪGA, LV-1003|2013|471|1
Rīgas Baltkrievu pamatskola|3612900249|Baltkrievu|AKADĒMIĶA MSTISLAVA KELDIŠA IELA 4, RĪGA, LV-1082|2013|0|0
"Privātā pamatskola ""Maksima"""|3612801468|Krievu|BULTU IELA 10, RĪGA, LV-1057|2013|69|1
Rīgas 6. vidusskola|3613900684|Latviešu|ALEKSANDRA ČAKA IELA 102, RĪGA, LV-1011|2013|897|1
Rīgas 15. vidusskola|3613900677|Krievu|VISVALŽA IELA 9, RĪGA, LV-1050|2013|479|1
Rīgas 25. vidusskola|3613900678|Latviešu|RUŠONU IELA 6, RĪGA, LV-1057|2013|832|1
Rīgas 32. vidusskola|3613900662|Krievu|VIĻĀNU IELA 13, RĪGA, LV-1003|2013|269|1
Rīgas Krievu vidusskola|3613900667|Krievu|LAUKU IELA 9, RĪGA, LV-1009|2013|333|1
Rīgas 51. vidusskola|3613900685|Krievu|MASKAVAS IELA 262, RĪGA, LV-1063|2013|609|1
Rīgas Universālā vidusskola|3613900680|Krievu|MASKAVAS IELA 273, RĪGA, LV-1063|2013|0|0
Rīgas Sergeja Žoltoka vidusskola|3613900665|Krievu|VIETALVAS IELA 15, RĪGA, LV-1035|2013|400|1
Rīgas 62. vidusskola|3613900666|Latviešu|AVIĀCIJAS IELA 15, RĪGA, LV-1057|2013|0|0
Rīgas 65. vidusskola|3613900664|Krievu|PRŪŠU IELA 32, RĪGA, LV-1057|2013|472|1
Rīgas 72. vidusskola|3613900670|Krievu|IKŠĶILES IELA 6, RĪGA, LV-1057|2013|1136|1
Rīgas 75. vidusskola|3613900682|Krievu|OGRES IELA 9, RĪGA, LV-1019|2013|576|1
Kārļa Videnieka Rīgas 77. vidusskola|3613900668|Latviešu|AVOTU IELA 44, RĪGA, LV-1009|2013|0|0
Rīgas 86. vidusskola|3613900683|Krievu|ILŪKSTES IELA 10, RĪGA, LV-1082|2013|646|1
Rīgas 88. vidusskola|3613900672|Krievu|ILŪKSTES IELA 30, RĪGA, LV-1082|2013|1201|1
Rīgas 90. vidusskola|3613900671|Latviešu|JĀŅA GRESTES IELA 14, RĪGA, LV-1021|2013|0|0
Rīgas 92. vidusskola|3613900679|Krievu|ULBROKAS IELA 3, RĪGA, LV-1021|2013|874|1
Rīgas 93. vidusskola|3613900669|Latviešu|SESKU IELA 72, RĪGA, LV-1082|2013|516|1
Rīgas komercģimnāzija|3613900674|Latviešu|SALASPILS IELA 14, RĪGA, LV-1057|2013|0|0
Rīgas pilsētas Pļavnieku ģimnāzija|3613900675|Latviešu|ANDREJA SAHAROVA IELA 35, RĪGA, LV-1082|2013|228|1
Rīgas Kristīgā vidusskola|3613900676|Latviešu|AUGUSTA DEGLAVA IELA 3, RĪGA, LV-1009|2013|209|1
Rīgas Ukraiņu vidusskola|3613900788|Ukraiņu|VISVALŽA IELA 4, RĪGA, LV-1050|2013|215|1
Rīgas Lastādijas internātvidusskola|3613902656|LK|MASKAVAS IELA 178, RĪGA, LV-1019|2013|0|0
Rīgas Lietuviešu vidusskola|3613901263|Latviešu|PRŪŠU IELA 42a, RĪGA, LV-1057|2013|392|1
"Rīgas ģimnāzija ""Maksima"""|3613800446|Krievu|BULTU IELA 10, RĪGA, LV-1057|2013|21|1
Humanitārā privātģimnāzija|3613800690|Latviešu|KURBADA IELA 2, RĪGA, LV-1009|2013|16|1
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS"""|3613801080|Krievu|VISVALŽA IELA 6, RĪGA, LV-1050|2013|188|1
"Privātā vidusskola ""Laisma"""|3613801461|LK|PRŪŠU IELA 13a, RĪGA, LV-1057|2013|42|1
Habad Ebreju privātā vidusskola|3613802155|Krievu|LĀČPLĒŠA IELA 141, RĪGA, LV-1003|2013|56|1
Privātskola „Innova”|3613802628|Krievu|MŪRNIEKU IELA 7, RĪGA, LV-1009|2013|0|0
Dienas apmācības klases pie Rīgas vakara ģimnāzijas|3614900691|LK|GAIZIŅA IELA 1, RĪGA, LV-1050|2013|0|0
Rīgas nedzirdīgo bērnu internātpamatskola|3620900695|Latviešu|ALEKSANDRA ČAKA IELA 42, RĪGA, LV-1011|2013|0|0
Rīgas speciālā pamatskola - attīstības centrs|3620900694|Latviešu|MATĪSA IELA 37/39, RĪGA, LV-1009|2013|0|0
Rīgas 2. speciālā internātpamatskola|3620900692|LK|LUDZAS IELA 43, RĪGA, LV-1003|2013|141|1
Rīgas speciālā internātpamatskola|3620900693|Krievu|AGLONAS IELA 57, RĪGA, LV-1057|2013|319|1
"Privātā sākumskola ""Namiņš"""|3711802689|Latviešu|ĀRAIŠU IELA 32, RĪGA, LV-1039|2013|20|1
Mežciema pamatskola|3712900760|Latviešu|HIPOKRĀTA IELA 29, RĪGA, LV-1079|2013|538|1
"Pamatskola ""Harmonija"""|3712800299|Latviešu|BĒRZAUNES IELA 36, RĪGA, LV-1039|2013|43|1
Rīgas Franču licejs|3713900740|Latviešu|MĒNESS IELA 8, RĪGA, LV-1013|2013|747|1
Rīgas Herdera vidusskola|3713900737|Krievu|SKOLAS IELA 32, RĪGA, LV-1010|2013|355|1
Rīgas 16. vidusskola|3713900739|Krievu|PĀLES IELA 9, RĪGA, LV-1024|2013|0|0
Rīgas 21. vidusskola|3713900750|Krievu|TOMSONA IELA 35, RĪGA, LV-1013|2013|472|1
Rīgas Teikas vidusskola|3713900746|Latviešu|AIZKRAUKLES IELA 14, RĪGA, LV-1006|2013|1110|1
Rīgas Juglas vidusskola|3713900757|Latviešu|KVĒLES IELA 64, RĪGA, LV-1064|2013|983|1
Rīgas 45. vidusskola|3713900742|Latviešu|ROPAŽU IELA 34, RĪGA, LV-1006|2013|656|1
Rīgas 49. vidusskola|3713900751|Latviešu|KRIŠJĀŅA VALDEMĀRA IELA 65, RĪGA, LV-1010|2013|812|1
Rīgas 60. vidusskola|3713900743|Krievu|VAIDAVAS IELA 6, RĪGA, LV-1084|2013|608|1
Rīgas 63. vidusskola|3713900755|Krievu|BALTEZERA IELA 6, RĪGA, LV-1024|2013|707|1
Rīgas 64. vidusskola|3713900756|Latviešu|ŪNIJAS IELA 93, RĪGA, LV-1084|2013|985|1
Rīgas 74. vidusskola|3713900758|Krievu|INDUĻA IELA 4, RĪGA, LV-1084|2013|585|1
Rīgas 80. vidusskola|3713900753|Krievu|ANDROMEDAS GATVE 11, RĪGA, LV-1084|2013|688|1
Rīgas 84. vidusskola|3713900735|Latviešu|LIELVĀRDES IELA 141, RĪGA, LV-1082|2013|871|1
Rīgas 85. vidusskola|3713900738|Latviešu|NĪCGALES IELA 22, RĪGA, LV-1035|2013|413|1
Rīgas Klasiskā ģimnāzija|3713900736|Krievu|PURVCIEMA IELA 38, RĪGA, LV-1035|2013|1358|1
Rīgas 89. vidusskola|3713900752|Krievu|HIPOKRĀTA IELA 27, RĪGA, LV-1079|2013|476|1
Rīgas Purvciema vidusskola|3713900749|Krievu|DETLAVA BRANTKALNA IELA 5, RĪGA, LV-1082|2013|1306|1
Š. Dubnova Rīgas Ebreju vidusskola|3713900754|Krievu|SILCIEMA IELA 3, RĪGA, LV-1024|2013|241|1
Rīgas 100. vidusskola|3713900745|Latviešu|LAIMDOTAS IELA 42, RĪGA, LV-1084|2013|0|0
Rīgas Hanzas vidusskola|3713900741|Latviešu|GROSTONAS IELA 5, RĪGA, LV-1013|2013|864|1
Rīgas Ezerkrastu vidusskola|3713902411|Latviešu|MALIENAS IELA 89, RĪGA, LV-1064|2013|0|0
Rīgas Itas Kozakēvičas Poļu vidusskola|3713900789|Poļu|NĪCGALES IELA 15, RĪGA, LV-1035|2013|299|1
Biznesa un vadības privātvidusskola|3713800008|Latviešu|HIPOKRĀTA IELA 27A, RĪGA, LV-1079|2013|24|1
"Privātā vidusskola ""Klasika"""|3713801443|LK|KRIMULDAS IELA 2, RĪGA, LV-1039|2013|108|1
Rīgas Centra krievu privātģimnāzija|3716800001|Krievu|KRIŠJĀŅA VALDEMĀRA IELA 113 - 2, RĪGA, LV-1013|2013|19|1
"Privātā vidusskola ""Norma"""|3713801984|Krievu|MADONAS IELA 2 - 22, RĪGA, LV-1084|2013|10|1
"Privātā vidusskola ""MAXVEL"""|3713802710|Krievu|DZELZAVAS IELA 9, RĪGA, LV-1084|2013|32|1
Dienas apmācības klases pie Rīgas 9. vakara (maiņu) vidusskolas|3714900782|LK|STĀMERIENAS IELA 8, RĪGA, LV-1006|2013|0|0
Strazdumuižas internātvidusskola - attīstības centrs vājredzīgiem un neredzīgiem bērniem|3720900835|Latviešu|JUGLAS IELA 14a, RĪGA, LV-1024|2013|106|1
Rīgas 4. speciālā internātpamatskola|3720900834|LK|TIRZAS IELA 2, RĪGA, LV-1024|2013|129|1
Rīgas sanatorijas internātpamatskola|3723901096|Latviešu|BRĪVĪBAS GATVE 384a, RĪGA, LV-1006|2013|140|1
Vispārējās vidējās izglītības izlīdzinošā programma pie Rīgas Stila un modes profesionālā vidusskolas|3331001255|Latviešu|ŪDEĻU IELA 22, RĪGA, LV-1064|2013|0|0
Rīgas Ziepniekkalna sākumskola|3811900697|Latviešu|VIENĪBAS GATVE 184, RĪGA, LV-1058|2013|330|1
Rīgas 7. internātpamatskola|3812900733|Krievu|GRAUDU IELA 21, RĪGA, LV-1058|2013|0|0
Friča Brīvzemnieka pamatskola|3812900716|Latviešu|ZEĻĻU IELA 4, RĪGA, LV-1004|2013|296|1
Rīgas Pārdaugavas pamatskola|3812900704|Krievu|KARTUPEĻU IELA 2, RĪGA, LV-1058|2013|355|1
Rīgas Angļu ģimnāzija|3813900699|Latviešu|ZVĀRDES IELA 1, RĪGA, LV-1004|2013|925|1
Rīgas 47. vidusskola|3813900728|Latviešu|SKAISTKALNES IELA 7, RĪGA, LV-1004|2013|524|1
Rīgas 53. vidusskola|3813900725|Krievu|MELNSILA IELA 6, RĪGA, LV-1046|2013|464|1
Rīgas 61. vidusskola|3813900726|Krievu|PĀRSLAS IELA 14, RĪGA, LV-1002|2013|347|1
Āgenskalna Valsts ģimnāzija|3819900703|Latviešu|LAVĪZES IELA 2a, RĪGA, LV-1002|2013|691|1
Rīgas Mūzikas internātvidusskola|3813900701|Latviešu|KALNCIEMA IELA 160, RĪGA, LV-1046|2013|299|1
Rīgas Zolitūdes ģimnāzija|3813900724|Krievu|RUSES IELA 22, RĪGA, LV-1029|2013|1417|1
Rīgas 94. vidusskola|3813900723|Latviešu|OZOLCIEMA IELA 26, RĪGA, LV-1058|2013|496|1
Rīgas 95. vidusskola|3813900727|Krievu|VIENĪBAS GATVE 178/2, RĪGA, LV-1058|2013|1025|1
Rīgas Igauņu vidusskola|3813900702|Latviešu|ATGĀZENES IELA 26, RĪGA, LV-1004|2013|0|0
Ziemeļvalstu ģimnāzija|3813900700|Latviešu|PAULA LEJIŅA IELA 12, RĪGA, LV-1029|2013|840|1
Rīgas Šampētera vidusskola|3813902514|LK|ŠAMPĒTERA IELA 98, RĪGA, LV-1046|2013|0|0
"Rīgas vispārizglītojošā privātā vidusskola ""Evrika"""|3813800960|Krievu|ANNIŅMUIŽAS IELA 9, RĪGA, LV-1029|2013|151|1
Rīgas Katoļu ģimnāzija|3813801134|Latviešu|OJĀRA VĀCIEŠA IELA 6, RĪGA, LV-1004|2013|144|1
