School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active
Rēzeknes 4. vidusskola|3113900064|Krievu|VIĻĀNU IELA 2, RĒZEKNE, LV-4600|2009|323|1
Rēzeknes 5. vidusskola|3113900065|Latviešu|RŪPNĪCAS IELA 11a, RĒZEKNE, LV-4600|2009|730|1
Rēzeknes 6. vidusskola|3113900066|Krievu|KOSMONAUTU IELA 6, RĒZEKNE, LV-4600|2009|500|1
Rēzeknes 1. vidusskola|3113900061|Latviešu|DZIRNAVU IELA 3a, RĒZEKNE, LV-4600|2009|742|1
Rēzeknes poļu vidusskola|3113902163|Poļu|LUBĀNAS IELA 49, RĒZEKNE, LV-4600|2009|421|1
Rēzeknes Katoļu vidusskola|3113802708|Latviešu|LATGALES IELA 82, RĒZEKNE, LV-4601|2009|187|1
Rēzeknes logopēdiskā internātpamatskola|3120900069|Latviešu|F. VARSLAVĀNA IELA 5, RĒZEKNE, LV-4600|2009|140|1
Ventspils 1. pamatskola|3212900030|Latviešu|Pļavas iela 25/27, VENTSPILS, LV-3600|2009|326|1
Ventspils 2. pamatskola|3212900031|LK|BĒRZU IELA 54, VENTSPILS, LV-3600|2009|341|1
Ventspils Centra pamatskola|3212902422|Latviešu|BRĪVĪBAS IELA 15, VENTSPILS, LV-3600|2009|299|1
Ventspils 1. ģimnāzija|3213900032|Latviešu|KULDĪGAS IELA 1, VENTSPILS, LV-3601|2009|408|1
Ventspils 2. vidusskola|3213900033|Krievu|KULDĪGAS IELA 65/67, VENTSPILS, LV-3600|2009|586|1
Ventspils 3. vidusskola|3213900034|Krievu|TĀRGALES IELA 5, VENTSPILS, LV-3602|2009|497|1
Ventspils 4. vidusskola|3213900035|Latviešu|RĪGAS IELA 12a, VENTSPILS, LV-3600|2009|704|1
Ventspils 6. vidusskola|3213900037|LK|SARKANMUIŽAS DAMBIS 1, VENTSPILS, LV-3600|2009|782|1
Ventspils 5. vidusskola|3213900036|Latviešu|TĀRGALES IELA 61, VENTSPILS, LV-3600|2009|477|1
Dienas apmācības klases pie Ventspils vakara vidusskolas|3214900038|LK|SAULES IELA 37, VENTSPILS, LV-3600|2009|92|1
Vispārējās vidējās izglītības izlīdzinošā programma pie Ventspils Profesionālā vidusskolas|3231001525|Latviešu|SAULES IELA 15, VENTSPILS, LV-3601|2009|33|1
Rīgas Centra sākumskola|3411900784|Latviešu|TĒRBATAS IELA 69, RĪGA, LV-1001|2009|390|1
Rīgas 24. pamatskola|3412900785|Krievu|ALEKSANDRA ČAKA IELA 139, RĪGA, LV-1012|2009|360|1
Rīgas Centra daiļamatniecības pamatskola|3412900786|Latviešu|ASPAZIJAS BULVĀRIS 34, RĪGA, LV-1050|2009|300|1
Rīgas Valda Zālīša pamatskola|3412900787|Latviešu|KALPAKA BULVĀRIS 8, RĪGA, LV-1050|2009|496|1
"Pamatskola ""Rīdze"""|3412900804|Latviešu|KRIŠJĀŅA VALDEMĀRA IELA 2, RĪGA, LV-1010|2009|398|1
Rīgas Valsts 1. ģimnāzija|3419900793|Latviešu|RAIŅA BULVĀRIS 8, RĪGA, LV-1050|2009|981|1
