IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
Saulkrastu vidusskola,84.73%,22,ANG9
Seces pagasta pamatskola,68.45%,10,ANG9
Sējas pamatskola,59.56%,9,ANG9
Sesavas pamatskola,61.50%,4,ANG9
Siguldas 1. pamatskola,72.58%,25,ANG9
Siguldas pilsētas vidusskola,72.97%,39,ANG9
Siguldas Valsts ģimnāzija,86.70%,76,ANG9
Sikšņu pamatskola,46.17%,3,ANG9
Sīļukalna pamatskola,65.58%,6,ANG9
Skaistkalnes vidusskola,63.10%,10,ANG9
Skrundas vidusskola,67.72%,30,ANG9
Slokas pamatskola,82.19%,13,ANG9
Smārdes pamatskola,52.60%,5,ANG9
Smiltenes vidusskola,74.47%,63,ANG9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",55.33%,3,ANG9
Stacijas pamatskola,72.50%,4,ANG9
Staiceles vidusskola,70.58%,6,ANG9
Stāķu pamatskola,70.38%,8,ANG9
Stalbes vidusskola,59.25%,8,ANG9
Staļģenes vidusskola,75.00%,7,ANG9
Stāmerienas pamatskola,64.36%,7,ANG9
Stelpes pamatskola,67.71%,7,ANG9
Stendes pamatskola,63.58%,6,ANG9
Stopiņu pamatskola,57.70%,15,ANG9
Straupes pamatskola,86.00%,7,ANG9
Strautiņu pamatskola,66.14%,11,ANG9
Strenču novada vidusskola,66.50%,10,ANG9
Sunākstes pamatskola,71.88%,4,ANG9
Suntažu internātpamatskola - rehabilitācijas centrs,76.00%,2,ANG9
Suntažu vidusskola,76.77%,13,ANG9
Sūnu pamatskola,61.67%,3,ANG9
Sventes vidusskola,61.00%,1,ANG9
Svētes pamatskola,68.93%,7,ANG9
Š. Dubnova Rīgas Ebreju vidusskola,81.58%,13,ANG9
Šķibes pamatskola,78.25%,2,ANG9
Špoģu vidusskola,63.45%,19,ANG9
"Tālmācības vidusskola ""Rīgas Komercskola""",85.36%,11,ANG9
Talsu 2. vidusskola,76.44%,63,ANG9
Talsu Kristīgā vidusskola,82.83%,15,ANG9
Talsu novada Vakara un neklātienes vidusskola,77.29%,7,ANG9
Talsu pamatskola,73.80%,23,ANG9
Talsu Valsts ģimnāzija,79.94%,33,ANG9
Tārgales pamatskola,74.28%,9,ANG9
Taurenes pamatskola,68.88%,4,ANG9
Taurupes pamatskola,49.83%,3,ANG9
Teteles pamatskola,41.83%,6,ANG9
Tilžas internātpamatskola,68.00%,1,ANG9
Tilžas vidusskola,71.50%,8,ANG9
Tīnūžu pamatskola,90.13%,4,ANG9
Tirzas pamatskola,60.10%,5,ANG9
Tiskādu vidusskola,30.70%,10,ANG9
Torņakalna Privātā vidusskola,96.00%,1,ANG9
Trikātas pamatskola,64.50%,5,ANG9
Tukuma 2. pamatskola,80.35%,34,ANG9
Tukuma 2. vidusskola,77.95%,37,ANG9
Tukuma 3. pamatskola,63.75%,2,ANG9
Tukuma E. Birznieka-Upīša 1. pamatskola,67.70%,23,ANG9
Tukuma Raiņa ģimnāzija,82.48%,25,ANG9
Tukuma Vakara un neklātienes vidusskola,16.50%,32,ANG9
Tumes vidusskola,54.75%,12,ANG9
Turlavas pamatskola,62.28%,9,ANG9
Ugāles vidusskola,67.54%,24,ANG9
Ulbrokas vidusskola,77.04%,53,ANG9
Umurgas pamatskola,68.92%,6,ANG9
Upesleju internātpamatskola - rehabilitācijas centrs,67.83%,3,ANG9
Uzvaras vidusskola,85.32%,11,ANG9
Užavas pamatskola,43.25%,2,ANG9
V. Plūdoņa Kuldīgas ģimnāzija,73.68%,25,ANG9
Vaboles vidusskola,77.50%,4,ANG9
Vaiņodes internātpamatskola,48.13%,4,ANG9
Vaiņodes vidusskola,71.61%,18,ANG9
Vaivaru pamatskola,83.00%,6,ANG9
Valdemārpils vidusskola,66.78%,16,ANG9
Valkas Jāņa Cimzes ģimnāzija,76.66%,41,ANG9
Valmieras 2. vidusskola,66.79%,26,ANG9
Valmieras 5. vidusskola,74.29%,26,ANG9
Valmieras Pārgaujas ģimnāzija,72.66%,68,ANG9
Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),60.33%,3,ANG9
Valmieras Valsts ģimnāzija,78.92%,59,ANG9
Valmieras Viestura vidusskola,83.46%,53,ANG9
Vandzenes pamatskola,76.00%,9,ANG9
Vānes pamatskola,48.22%,9,ANG9
Vangažu vidusskola,66.18%,22,ANG9
Varakļānu vidusskola,75.83%,12,ANG9
Variņu pamatskola,75.75%,8,ANG9
Vārkavas vidusskola,67.79%,7,ANG9
Vārmes pamatskola,56.04%,12,ANG9
Vecpiebalgas vidusskola,67.33%,9,ANG9
Vecsaules pamatskola,71.42%,18,ANG9
Vecumnieku novada Domes Valles vidusskola,55.27%,13,ANG9
Vecumnieku vidusskola,72.79%,24,ANG9
Ventspils 1. pamatskola,76.28%,25,ANG9
Ventspils 2. pamatskola,72.00%,13,ANG9
Ventspils 2. vidusskola,71.12%,42,ANG9
Ventspils 3. vidusskola,61.29%,33,ANG9
Ventspils 4. vidusskola,80.29%,52,ANG9
Ventspils 6. vidusskola,66.46%,37,ANG9
Ventspils Pārventas pamatskola,71.77%,15,ANG9
Ventspils Valsts 1. ģimnāzija,87.28%,60,ANG9
Verēmu pamatskola,76.00%,3,ANG9
Vērgales pamatskola,68.35%,10,ANG9
Vestienas pamatskola,70.00%,6,ANG9
Vidrižu pamatskola,52.38%,4,ANG9
Viduču pamatskola,68.50%,5,ANG9
Viesītes vidusskola,73.12%,13,ANG9
Vijciema pamatskola,60.75%,2,ANG9
Vilces pamatskola,76.00%,2,ANG9
Vilgāles pamatskola,46.36%,7,ANG9
Viļakas Valsts ģimnāzija,75.36%,14,ANG9
Viļānu vidusskola,58.84%,34,ANG9
Virbu pamatskola,83.80%,5,ANG9
Vircavas vidusskola,48.56%,8,ANG9
Virgas pamatskola,60.07%,7,ANG9
Z.A. Meierovica Kabiles pamatskola,64.83%,6,ANG9
Zaķumuižas pamatskola,61.73%,11,ANG9
Zaļenieku komerciālā un amatniecības vidusskola,63.58%,6,ANG9
Zasas vidusskola,55.60%,5,ANG9
Zaubes pamatskola,57.58%,6,ANG9
Zemgales vidusskola,57.96%,23,ANG9
Zemītes pamatskola,67.75%,10,ANG9
Ziemeļvalstu ģimnāzija,81.59%,53,ANG9
Ziemeru pamatskola,69.00%,4,ANG9
Zilupes vidusskola,40.57%,22,ANG9
Zūru pamatskola,58.39%,9,ANG9
Zvejniekciema vidusskola,78.81%,27,ANG9
Žīguru pamatskola,77.33%,3,ANG9
A. Spāģa Dunalkas pamatskola,68.48%,3,LAT9
Ābeļu pamatskola,64.83%,8,LAT9
Ādažu vidusskola,70.14%,60,LAT9
Āgenskalna Valsts ģimnāzija,72.66%,122,LAT9
Aglonas internātvidusskola,54.32%,8,LAT9
Aglonas Katoļu ģimnāzija,72.73%,1,LAT9
Aglonas vidusskola,70.87%,11,LAT9
Aizkraukles novada vidusskola,69.61%,66,LAT9
Aizkraukles Vakara (maiņu) vidusskola,53.84%,9,LAT9
Aizputes novada Neklātienes vidusskola,55.68%,2,LAT9
Aizputes pagasta pamatskola,64.34%,11,LAT9
Aizputes vidusskola,66.95%,30,LAT9
Aizupes pamatskola,66.09%,10,LAT9
Aknīstes vidusskola,56.65%,11,LAT9
Allažu pamatskola,64.15%,8,LAT9
Alojas Ausekļa vidusskola,64.49%,8,LAT9
Alsungas vidusskola,64.97%,13,LAT9
Alsviķu struktūrvienība (prof.) (strukt.),50.59%,10,LAT9
Alūksnes novada vidusskola,65.40%,25,LAT9
Amatas novada Skujenes pamatskola,59.22%,7,LAT9
Amatas pamatskola,64.17%,6,LAT9
Ances pamatskola,62.60%,7,LAT9
Andreja Eglīša Ļaudonas vidusskola,66.10%,12,LAT9
Andreja Pumpura Rīgas 11. pamatskola,62.93%,36,LAT9
Andreja Upīša Skrīveru vidusskola,71.77%,28,LAT9
Andrupenes pamatskola,58.73%,10,LAT9
Andzeļu pamatskola,61.01%,9,LAT9
Annas Brigaderes pamatskola,62.50%,6,LAT9
Annenieku pamatskola,62.73%,8,LAT9
Apriķu pamatskola,65.76%,3,LAT9
Asares pamatskola,37.27%,1,LAT9
Asūnes pamatskola,63.86%,4,LAT9
Ata Kronvalda Durbes pamatskola,72.99%,17,LAT9
Auces vidusskola,63.85%,28,LAT9
Augstkalnes vidusskola,68.03%,9,LAT9
Babītes vidusskola,64.08%,47,LAT9
Baldones Mūzikas pamatskola,74.90%,13,LAT9
Baldones vidusskola,70.75%,40,LAT9
Baložu vidusskola,61.87%,18,LAT9
Baltinavas vidusskola,65.50%,11,LAT9
Balvu profesionālā un vispārizglītojošā vidusskola (prof.),59.25%,28,LAT9
Balvu Valsts ģimnāzija,76.60%,51,LAT9
Barkavas pamatskola,59.68%,7,LAT9
Bārtas pamatskola,72.58%,3,LAT9
Baumaņu Kārļa Viļķenes pamatskola,63.70%,7,LAT9
Bauskas 2. vidusskola,68.90%,40,LAT9
Bauskas pilsētas pamatskola,73.22%,25,LAT9
Bauskas Valsts ģimnāzija,68.17%,50,LAT9
Bebrenes vispārizglītojošā un profesionālā vidusskola,61.09%,5,LAT9
Bebru pamatskola,60.63%,13,LAT9
Bejas pamatskola,63.03%,12,LAT9
Bēnes vidusskola,64.87%,18,LAT9
Berģu Mūzikas un mākslas pamatskola,73.64%,16,LAT9
Bērzaunes pamatskola,73.33%,9,LAT9
Bērzgales pamatskola (strukt.),60.68%,4,LAT9
Bērzpils vidusskola,63.22%,12,LAT9
Bikstu pamatskola,58.00%,5,LAT9
Bilskas pamatskola,62.88%,9,LAT9
Birzgales pamatskola,70.96%,17,LAT9
Biržu internātpamatskola,54.20%,13,LAT9
Biržu pamatskola,67.12%,9,LAT9
Blīdenes pamatskola,56.66%,14,LAT9
Blomes pamatskola,57.52%,11,LAT9
Brāļu Skrindu Atašienes vidusskola,64.85%,3,LAT9
Brocēnu vidusskola,64.45%,34,LAT9
Burtnieku Ausekļa pamatskola,71.03%,11,LAT9
Carnikavas pamatskola,72.35%,18,LAT9
Cēres pamatskola,62.91%,10,LAT9
Cēsu 1. pamatskola,72.67%,16,LAT9
Cēsu 2. pamatskola,70.01%,35,LAT9
Cēsu 2. vakara (maiņu) vidusskola,65.15%,3,LAT9
Cēsu internātpamatskola - attīstības centrs,76.21%,3,LAT9
Cēsu Pilsētas vidusskola,55.11%,24,LAT9
Cēsu Valsts ģimnāzija,79.34%,54,LAT9
Cesvaines vidusskola,63.14%,24,LAT9
Ciblas vidusskola,57.40%,11,LAT9
Codes pamatskola,62.78%,9,LAT9
Dagdas vidusskola,67.69%,43,LAT9
Daudzeses pamatskola,77.40%,7,LAT9
Daugavpils 12. vidusskola,58.29%,42,LAT9
Daugavpils Saskaņas pamatskola,71.67%,21,LAT9
Daugavpils Valsts ģimnāzija,68.73%,48,LAT9
Daugavpils Vienības pamatskola,53.68%,19,LAT9
Daugmales pamatskola,70.30%,9,LAT9
Dāvja Ozoliņa Apes vidusskola,70.00%,13,LAT9
Degumnieku pamatskola,65.39%,7,LAT9
Dekšāru pamatskola,70.91%,14,LAT9
Dignājas pamatskola,72.73%,2,LAT9
Dobeles 1. vidusskola,53.60%,48,LAT9
Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),48.14%,10,LAT9
Dobeles Kristīgā pamatskola,51.43%,14,LAT9
Dobeles Valsts ģimnāzija,73.34%,59,LAT9
Drabešu Jaunā pamatskola,55.30%,6,LAT9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,75.00%,26,LAT9
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,67.11%,96,LAT9
Dravnieku pamatskola,64.43%,8,LAT9
Dricānu vidusskola,60.28%,13,LAT9
Drustu pamatskola,76.67%,6,LAT9
Dunavas pamatskola,72.73%,1,LAT9
Dundagas vidusskola,69.35%,28,LAT9
Dzelzavas pamatskola,69.94%,14,LAT9
Dzērbenes vispārizglītojošā un mūzikas pamatskola,81.59%,4,LAT9
Dzērves pamatskola,61.21%,6,LAT9
Dzimtmisas pamatskola,56.21%,12,LAT9
Džūkstes pamatskola,59.26%,11,LAT9
Edgara Kauliņa Lielvārdes vidusskola,70.25%,36,LAT9
Ēdoles pamatskola,67.53%,9,LAT9
Eglaines pamatskola,66.87%,9,LAT9
Elejas vidusskola,62.53%,26,LAT9
Engures vidusskola,64.44%,21,LAT9
Ērgļu vidusskola,61.93%,21,LAT9
Ernsta Glika Alūksnes Valsts ģimnāzija,70.47%,62,LAT9
Ēveles pamatskola,49.24%,6,LAT9
Ezernieku vidusskola,64.06%,15,LAT9
Feimaņu pamatskola,59.94%,7,LAT9
"filiāle ""Laidzes pamatskola"" (strukt.)",71.18%,5,LAT9
Friča Brīvzemnieka pamatskola,56.29%,26,LAT9
Gaigalavas pamatskola,65.76%,6,LAT9
Gaiķu pamatskola,69.82%,5,LAT9
Galēnu pamatskola,59.44%,9,LAT9
Galgauskas pamatskola,75.64%,5,LAT9
Gardenes pamatskola,55.95%,12,LAT9
Garkalnes Mākslu un vispārizglītojošā pamatskola,68.26%,11,LAT9
Garlība Merķeļa Lēdurgas pamatskola,70.00%,8,LAT9
Garozas pamatskola,60.71%,9,LAT9
Gaujienas internātpamatskola,64.09%,2,LAT9
Gaviezes pamatskola,64.66%,4,LAT9
Gramzdas pamatskola,60.36%,5,LAT9
Griķu pamatskola,59.26%,16,LAT9
Grobiņas ģimnāzija,67.73%,64,LAT9
Grundzāles pamatskola,71.06%,6,LAT9
Gulbenes 2. vidusskola,63.04%,46,LAT9
Gulbenes novada valsts ģimnāzija,73.56%,41,LAT9
Gulbīša pamatskola,56.36%,8,LAT9
Iecavas internātpamatskola,72.95%,12,LAT9
Iecavas vidusskola,67.57%,64,LAT9
Ikšķiles vidusskola,65.49%,59,LAT9
Ilmāra Gaiša Kokneses vidusskola,64.95%,34,LAT9
Ilūkstes 1. vidusskola,69.15%,23,LAT9
Ilzenes pamatskola,74.55%,4,LAT9
Iļģuciema vidusskola,59.95%,26,LAT9
Inčukalna pamatskola,73.41%,16,LAT9
Indras pamatskola,55.41%,11,LAT9
Inešu pamatskola,78.18%,1,LAT9
Irlavas vidusskola,51.02%,8,LAT9
Īslīces vidusskola,65.68%,22,LAT9
Izglītības programmu īstenošanas vieta Ērgļi (prof.) (strukt.),52.27%,5,LAT9
Izvaltas pamatskola,58.33%,6,LAT9
J. Čakstes Liepājas pilsētas 10. vidusskola,62.59%,64,LAT9
J. Endzelīna Kauguru pamatskola,70.37%,22,LAT9
Jāņa Eglīša Preiļu Valsts ģimnāzija,76.50%,17,LAT9
Jāņa Zālīša Sausnējas pamatskola,54.77%,2,LAT9
Jaunburtnieku pamatskola,46.03%,11,LAT9
Jaunjelgavas vidusskola,74.45%,23,LAT9
Jaunmārupes pamatskola,68.16%,22,LAT9
Jaunpiebalgas vidusskola,65.08%,27,LAT9
Jaunpils vidusskola,69.19%,24,LAT9
Jaunsilavas pamatskola,72.41%,10,LAT9
Jaunstrūžānu pamatskola,52.73%,3,LAT9
Jēkabpils 3. vidusskola,63.08%,45,LAT9
Jēkabpils vakara vidusskola,65.11%,8,LAT9
Jēkabpils Valsts ģimnāzija,68.83%,97,LAT9
Jelgavas 1.internātpamatskola - attīstības centrs,65.18%,10,LAT9
Jelgavas 4. vidusskola,61.67%,87,LAT9
Jelgavas Amatu vidusskola (prof.),44.91%,16,LAT9
Jelgavas novada Neklātienes vidusskola,61.29%,6,LAT9
Jelgavas Spīdolas ģimnāzija,63.37%,84,LAT9
Jelgavas Tehnoloģiju vidusskola,62.02%,69,LAT9
Jelgavas Vakara (maiņu) vidusskola,45.45%,10,LAT9
Jelgavas Valsts ģimnāzija,75.48%,113,LAT9
Jersikas pamatskola,67.22%,9,LAT9
Jumpravas vidusskola,68.14%,11,LAT9
Jura Neikena Dikļu pamatskola,61.08%,13,LAT9
"Murjāņu sporta ģimnāzija, JŪRMALA (strukt.)",54.86%,13,LAT9
Jūrmalas Alternatīvā skola,91.98%,14,LAT9
Jūrmalas pilsētas Lielupes pamatskola,70.73%,10,LAT9
Jūrmalas vakara vidusskola,52.91%,5,LAT9
Jūrmalas Valsts ģimnāzija,70.44%,48,LAT9
Kalētu pamatskola,59.00%,5,LAT9
Kalnciema pagasta vidusskola,66.36%,5,LAT9
Kalnciema vidusskola,59.77%,18,LAT9
Kalsnavas pamatskola,56.69%,11,LAT9
Kalupes pamatskola,65.74%,8,LAT9
Kalvenes pamatskola,73.13%,9,LAT9
Kandavas internātvidusskola,62.18%,44,LAT9
Kandavas Kārļa Mīlenbaha vidusskola,67.75%,40,LAT9
Kandavas novada Zantes pamatskola,64.73%,10,LAT9
Kapsēdes pamatskola,63.07%,8,LAT9
Kārķu pamatskola,62.00%,5,LAT9
Kārsavas vidusskola,71.80%,26,LAT9
Kaunatas vidusskola,63.77%,14,LAT9
Kocēnu pamatskola,73.07%,17,LAT9
Kolkas pamatskola,68.18%,2,LAT9
Krāslavas pamatskola,65.48%,22,LAT9
Krāslavas Valsts ģimnāzija,63.66%,16,LAT9
Krimuldas vidusskola,58.99%,18,LAT9
Kristiāna Dāvida pamatskola,56.97%,3,LAT9
Krišjāņa Valdemāra Ainažu pamatskola,61.59%,6,LAT9
Krotes Kronvalda Ata pamatskola,70.91%,9,LAT9
Krustpils pamatskola,67.95%,14,LAT9
Kuldīgas 2. vidusskola,61.95%,31,LAT9
Kuldīgas Centra vidusskola,63.99%,50,LAT9
Kuldīgas Mākslas un humanitāro zinību vidusskola,65.51%,23,LAT9
Kuldīgas pamatskola,66.64%,18,LAT9
Kusas pamatskola,54.77%,2,LAT9
Ķeguma komercnovirziena vidusskola,68.72%,17,LAT9
Ķeipenes pamatskola,73.39%,11,LAT9
Ķekavas vidusskola,73.85%,65,LAT9
Ķemeru pamatskola,53.18%,10,LAT9
Lādezera pamatskola,65.28%,13,LAT9
Laidu pamatskola,62.27%,6,LAT9
Lapmežciema pamatskola,77.50%,16,LAT9
Laucienes pamatskola,66.33%,13,LAT9
"Laucienes pamatskolas filiāle ""Dursupes pamatskola"" (strukt.)",61.06%,6,LAT9
Lazdonas pamatskola,71.06%,3,LAT9
Lēdmanes pamatskola,66.41%,9,LAT9
Lejasciema vidusskola,57.58%,12,LAT9
Lielvārdes pamatskola,59.15%,22,LAT9
Liepājas 8. vidusskola,58.22%,23,LAT9
Liepājas internātpamatskola,53.70%,14,LAT9
Liepājas Katoļu pamatskola,77.81%,17,LAT9
Liepājas Raiņa 6. vidusskola,67.73%,72,LAT9
Liepājas vakara (maiņu) vidusskola,66.67%,9,LAT9
Liepājas Valsts 1. ģimnāzija,69.12%,91,LAT9
Liepas pamatskola,64.84%,14,LAT9
Liepnas internātpamatskola,61.46%,9,LAT9
Liepnas vidusskola,55.94%,13,LAT9
Liepupes vidusskola,61.27%,15,LAT9
Liezēres pamatskola,70.00%,4,LAT9
Līgatnes novada vidusskola,52.95%,14,LAT9
Limbažu 3. vidusskola,64.00%,20,LAT9
Limbažu novada ģimnāzija,67.32%,58,LAT9
Līvānu 1. vidusskola,70.40%,40,LAT9
Līvānu novada Vakara (maiņu) vidusskola,47.27%,3,LAT9
Līvbērzes pamatskola,61.17%,7,LAT9
Lizuma vidusskola,71.15%,19,LAT9
Lubānas vidusskola,58.86%,14,LAT9
Lūcijas Rancānes Makašānu Amatu vidusskola,56.82%,11,LAT9
Ludzas 2. vidusskola,64.26%,16,LAT9
Ludzas novada vakara vidusskola,49.82%,5,LAT9
Ludzas pilsētas ģimnāzija,73.40%,54,LAT9
Madlienas vidusskola,67.36%,11,LAT9
Madonas pilsētas vidusskola,64.64%,65,LAT9
Madonas Vakara un neklātienes vidusskola,57.95%,2,LAT9
Madonas Valsts ģimnāzija,80.26%,28,LAT9
Majoru vidusskola,64.71%,31,LAT9
Malienas pamatskola,64.21%,11,LAT9
Mālpils internātpamatskola,53.52%,8,LAT9
Mālpils novada vidusskola,75.91%,25,LAT9
Maltas vidusskola,61.98%,20,LAT9
Mārsnēnu pamatskola,57.88%,3,LAT9
Mārupes pamatskola,66.78%,13,LAT9
Mārupes vidusskola,68.30%,100,LAT9
Māteru Jura Kazdangas pamatskola,70.45%,11,LAT9
Matīšu pamatskola,73.05%,10,LAT9
Mazozolu filiāle (strukt.),61.97%,6,LAT9
Mazsalacas vidusskola,65.18%,28,LAT9
Mazzalves pamatskola,64.65%,13,LAT9
Medumu pamatskola,57.66%,7,LAT9
Meirānu Kalpaka pamatskola,75.68%,2,LAT9
Meņģeles filiāle (strukt.),66.36%,1,LAT9
Mērdzenes pamatskola,57.14%,10,LAT9
Mērsraga vidusskola,65.55%,10,LAT9
Mētrienas pamatskola,58.30%,8,LAT9
Mežāres pamatskola,54.09%,5,LAT9
Mežciema pamatskola,62.14%,37,LAT9
Mežgaļu pamatskola,70.68%,10,LAT9
Mežinieku pamatskola,59.13%,12,LAT9
Mežotnes pamatskola,67.31%,11,LAT9
Mežvidu pamatskola,62.95%,6,LAT9
Misas vidusskola,63.41%,10,LAT9
Mores pamatskola,64.36%,5,LAT9
Murjāņu sporta ģimnāzija,64.62%,23,LAT9
Murmastienes pamatskola,61.82%,6,LAT9
Naujenes pamatskola,60.34%,12,LAT9
Naukšēnu novada vidusskola,60.66%,18,LAT9
Nautrēnu vidusskola,66.12%,15,LAT9
Neretas Jāņa Jaunsudrabiņa vidusskola,77.18%,14,LAT9
Nīcas vidusskola,69.79%,11,LAT9
Nīgrandes pagasta Kalnu vidusskola,63.93%,17,LAT9
Nīkrāces pamatskola,62.40%,7,LAT9
Nirzas pamatskola,70.30%,6,LAT9
Nītaures vidusskola,66.23%,7,LAT9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,65.86%,41,LAT9
Ogres 1. vidusskola,70.09%,90,LAT9
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA (strukt.),60.40%,8,LAT9
Ogres Valsts ģimnāzija,65.68%,72,LAT9
Ogresgala pamatskola,54.05%,12,LAT9
Ojāra Vācieša Gaujienas pamatskola,74.29%,7,LAT9
Olaines 1. vidusskola,68.97%,68,LAT9
Oskara Kalpaka Liepājas 15. vidusskola,64.91%,65,LAT9
Ozolmuižas pamatskola,66.09%,5,LAT9
Ozolnieku vidusskola,65.76%,34,LAT9
Pāles pamatskola,65.24%,13,LAT9
Palsmanes pamatskola,76.56%,7,LAT9
"Pamatskola ""Rīdze""",69.63%,40,LAT9
Pastendes pamatskola,71.01%,13,LAT9
Pāvilostas vidusskola,69.27%,10,LAT9
Pededzes pamatskola,72.73%,9,LAT9
Pelēču pamatskola,52.00%,5,LAT9
Penkules pamatskola,65.71%,7,LAT9
Pilsrundāles vidusskola,61.66%,20,LAT9
Piltenes vidusskola,65.00%,11,LAT9
Pļaviņu novada ģimnāzija,61.54%,39,LAT9
Popes pamatskola,63.33%,6,LAT9
Praulienas pamatskola,74.09%,4,LAT9
Preiļu 1. pamatskola,62.36%,36,LAT9
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,39.09%,1,LAT9
Priekules vidusskola,55.64%,29,LAT9
Priekuļu vidusskola,63.66%,33,LAT9
Priežmalas pamatskola,37.73%,1,LAT9
"Privātā pamatskola ""Gaismas tilts 97""",73.22%,11,LAT9
"Privātā vidusskola ""Citruss""",65.00%,1,LAT9
"Privātā vidusskola ""Klasika""",73.79%,3,LAT9
"Privātā vidusskola ""Laisma""",83.45%,5,LAT9
"Privātā vidusskola ""Patnis""",64.02%,6,LAT9
"Privātā vidusskola ""RIMS""",71.82%,2,LAT9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,64.21%,23,LAT9
"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola"" (prof.)",74.80%,50,LAT9
Pumpuru vidusskola,68.17%,43,LAT9
Pūņu pamatskola,60.56%,13,LAT9
Pūres pamatskola,67.95%,18,LAT9
Pušmucovas pamatskola,57.61%,8,LAT9
Puzes pamatskola,66.27%,5,LAT9
Raiskuma internātpamatskola - rehabilitācijas centrs,73.86%,2,LAT9
Rāmuļu pamatskola,57.00%,10,LAT9
Rankas pamatskola,57.05%,2,LAT9
Raunas vidusskola,65.73%,13,LAT9
Rekavas vidusskola,73.41%,18,LAT9
Remtes pamatskola,72.80%,6,LAT9
Rencēnu pamatskola,59.20%,8,LAT9
Rēzeknes 4. vidusskola,63.18%,2,LAT9
Rēzeknes 5. vidusskola,72.39%,42,LAT9
Rēzeknes internātpamatskola-attīstības centrs,60.66%,9,LAT9
Rēzeknes Katoļu vidusskola,71.88%,15,LAT9
Rēzeknes Valsts 1. ģimnāzija,75.10%,61,LAT9
Rēzeknes valsts poļu ģimnāzija,68.82%,52,LAT9
Rēznas pamatskola,61.27%,10,LAT9
Riebiņu vidusskola,55.31%,13,LAT9
Rīgas 1. Tālmācības vidusskola,52.84%,29,LAT9
Rīgas 1. vidusskola,57.27%,14,LAT9
Rīgas 14. vakara (maiņu) vidusskola,54.36%,10,LAT9
Rīgas 18. vakara (maiņu) vidusskola,34.09%,5,LAT9
Rīgas 19. vidusskola,60.00%,8,LAT9
Rīgas 25. vidusskola,64.40%,64,LAT9
Rīgas 28. vidusskola,57.52%,29,LAT9
Rīgas 31. vidusskola,66.80%,45,LAT9
Rīgas 41. vidusskola,64.91%,40,LAT9
Rīgas 45. vidusskola,66.28%,51,LAT9
Rīgas 47. vidusskola,65.41%,32,LAT9
Rīgas 49. vidusskola,68.08%,86,LAT9
Rīgas 6. vidusskola,72.53%,54,LAT9
Rīgas 64. vidusskola,76.39%,99,LAT9
Rīgas 66. speciālā vidusskola,63.79%,12,LAT9
Rīgas 69. vidusskola,70.64%,24,LAT9
Rīgas 7. pamatskola,72.34%,7,LAT9
Rīgas 84. vidusskola,71.72%,58,LAT9
Rīgas 85. vidusskola,69.78%,31,LAT9
Rīgas 9. vakara (maiņu) vidusskola,51.50%,13,LAT9
Rīgas 93. vidusskola,65.97%,45,LAT9
Rīgas 94. vidusskola,61.16%,36,LAT9
Rīgas Angļu ģimnāzija,70.65%,78,LAT9
Rīgas Avotu pamatskola,63.64%,19,LAT9
Rīgas Centra daiļamatniecības pamatskola,70.50%,40,LAT9
Rīgas Centra humanitārā vidusskola,68.67%,77,LAT9
Rīgas Ezerkrastu pamatskola,58.51%,11,LAT9
Rīgas Franču licejs,79.76%,51,LAT9
Rīgas Hanzas vidusskola,69.91%,61,LAT9
Rīgas Igauņu pamatskola,72.27%,13,LAT9
Rīgas Imantas vidusskola,53.51%,53,LAT9
Rīgas Jāņa Poruka vidusskola,64.14%,18,LAT9
Rīgas Juglas vidusskola,62.38%,71,LAT9
Rīgas Katoļu ģimnāzija,69.75%,9,LAT9
Rīgas Kristīgā vidusskola,59.76%,23,LAT9
Rīgas Kultūru vidusskola,76.29%,44,LAT9
Rīgas Lastādijas internātpamatskola,41.21%,3,LAT9
Rīgas Lietuviešu vidusskola,75.53%,17,LAT9
Rīgas Mūzikas internātvidusskola,58.36%,10,LAT9
Rīgas Natālijas Draudziņas vidusskola ,55.69%,48,LAT9
Rīgas Pļavnieku pamatskola,61.12%,55,LAT9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,60.48%,17,LAT9
Rīgas Starptautiskā skola,70.45%,10,LAT9
Rīgas Tālmācības vidusskola,65.91%,25,LAT9
Rīgas Teikas vidusskola,74.45%,89,LAT9
Rīgas vakara ģimnāzija,59.91%,16,LAT9
Rīgas Valdorfskola,64.73%,35,LAT9
Rīgas Valsts 1. ģimnāzija,80.56%,122,LAT9
Rīgas Valsts 2. ģimnāzija,78.36%,88,LAT9
Rīgas Valsts 3. ģimnāzija,73.86%,106,LAT9
Rīgas Valsts vācu ģimnāzija,72.72%,107,LAT9
Rites pamatskola,30.00%,2,LAT9
