Novada kods,Skola,Skolas kods,Priekšmets,Kopvērtējums,Kārtotāju skaits
99,Zvejniekciema vidusskola,9931302,MAT12,26.54%,13
100,Murjāņu sporta ģimnāzija,10051301,ANG12,64.71%,13
100,Murjāņu sporta ģimnāzija,10051301,LAT12,44.84%,14
100,Murjāņu sporta ģimnāzija,10051301,MAT12,33.48%,14
101,Siguldas pilsētas vidusskola,10133311,ANG12,58.87%,21
101,Siguldas pilsētas vidusskola,10133311,LAT12,58.49%,22
101,Siguldas pilsētas vidusskola,10133311,MAT12,36.65%,22
101,Siguldas Valsts ģimnāzija,10161310,ANG12,75.77%,82
101,Siguldas Valsts ģimnāzija,10161310,LAT12,73.01%,82
101,Siguldas Valsts ģimnāzija,10161310,MAT12,55.03%,82
102,Andreja Upīša Skrīveru vidusskola,10231401,ANG12,71.43%,24
102,Andreja Upīša Skrīveru vidusskola,10231401,LAT12,66.31%,24
102,Andreja Upīša Skrīveru vidusskola,10231401,MAT12,59.69%,24
103,Skrundas vidusskola,10331307,ANG12,65.59%,11
103,Skrundas vidusskola,10331307,LAT12,63.58%,12
103,Skrundas vidusskola,10331307,MAT12,43.96%,12
104,Smiltenes Centra vidusskola,10431309,ANG12,71.33%,21
104,Smiltenes Centra vidusskola,10431309,LAT12,67.98%,23
104,Smiltenes Centra vidusskola,10431309,MAT12,38.97%,23
104,Smiltenes ģimnāzija,10451310,ANG12,73.78%,25
104,Smiltenes ģimnāzija,10451310,LAT12,65.84%,26
104,Smiltenes ģimnāzija,10451310,MAT12,46.61%,26
104,Smiltenes tehnikums,10471412,ANG12,37.32%,93
104,Smiltenes tehnikums,10471412,LAT12,40.57%,100
104,Smiltenes tehnikums,10471412,MAT12,14.29%,100
105,Ulbrokas vidusskola,10531303,ANG12,63.83%,22
105,Ulbrokas vidusskola,10531303,LAT12,55.13%,22
105,Ulbrokas vidusskola,10531303,MAT12,21.13%,22
106,Strenču novada vidusskola,10633303,ANG12,62.39%,9
106,Strenču novada vidusskola,10633303,LAT12,63.95%,9
106,Strenču novada vidusskola,10633303,MAT12,37.36%,9
107,Talsu 2. vidusskola,10731316,ANG12,65.40%,29
107,Talsu 2. vidusskola,10731316,LAT12,56.95%,30
107,Talsu 2. vidusskola,10731316,MAT12,37.98%,30
107,Talsu Kristīgā vidusskola,10731317,ANG12,77.26%,14
107,Talsu Kristīgā vidusskola,10731317,LAT12,67.80%,15
107,Talsu Kristīgā vidusskola,10731317,MAT12,43.87%,15
107,Valdemārpils vidusskola,10731324,ANG12,52.61%,10
107,Valdemārpils vidusskola,10731324,LAT12,57.95%,11
107,Valdemārpils vidusskola,10731324,MAT12,29.71%,11
107,Talsu novada Vakara un neklātienes vidusskola,10741318,ANG12,61.00%,25
107,Talsu novada Vakara un neklātienes vidusskola,10741318,LAT12,48.38%,27
107,Talsu novada Vakara un neklātienes vidusskola,10741318,MAT12,18.52%,27
107,Talsu Valsts ģimnāzija,10761321,ANG12,72.03%,35
107,Talsu Valsts ģimnāzija,10761321,LAT12,71.21%,35
107,Talsu Valsts ģimnāzija,10761321,MAT12,44.91%,35
107,Profesionālās izglītības kompetences centrs Rīgas Valsts tehnikums Laidzes teritoriālā struktūrvienība,10771403,ANG12,37.46%,21
107,Profesionālās izglītības kompetences centrs Rīgas Valsts tehnikums Laidzes teritoriālā struktūrvienība,10771403,LAT12,44.08%,22
107,Profesionālās izglītības kompetences centrs Rīgas Valsts tehnikums Laidzes teritoriālā struktūrvienība,10771403,MAT12,14.82%,21
108,Augstkalnes vidusskola,10831402,ANG12,54.91%,6
108,Augstkalnes vidusskola,10831402,LAT12,59.94%,6
108,Augstkalnes vidusskola,10831402,MAT12,41.25%,6
109,Tukuma 2. vidusskola,10931313,ANG12,65.33%,41
109,Tukuma 2. vidusskola,10931313,LAT12,52.12%,41
109,Tukuma 2. vidusskola,10931313,MAT12,29.48%,41
109,Irlavas vidusskola,10931404,ANG12,58.17%,2
109,Irlavas vidusskola,10931404,LAT12,49.20%,5
109,Irlavas vidusskola,10931404,MAT12,14.12%,5
109,Tumes vidusskola,10931420,ANG12,57.23%,12
109,Tumes vidusskola,10931420,LAT12,49.78%,13
109,Tumes vidusskola,10931420,MAT12,27.02%,13
109,Zemgales vidusskola,10931421,ANG12,70.38%,7
109,Zemgales vidusskola,10931421,LAT12,59.17%,7
109,Zemgales vidusskola,10931421,MAT12,41.34%,7
109,Tukuma Vakara un neklātienes vidusskola,10941319,ANG12,46.58%,20
109,Tukuma Vakara un neklātienes vidusskola,10941319,LAT12,39.29%,26
109,Tukuma Vakara un neklātienes vidusskola,10941319,MAT12,15.16%,24
109,Tukuma Raiņa ģimnāzija,10951317,ANG12,69.34%,67
109,Tukuma Raiņa ģimnāzija,10951317,LAT12,63.51%,67
109,Tukuma Raiņa ģimnāzija,10951317,MAT12,41.62%,67
110,Vaiņodes vidusskola,11031402,ANG12,59.24%,16
110,Vaiņodes vidusskola,11031402,LAT12,54.68%,16
110,Vaiņodes vidusskola,11031402,MAT12,31.33%,16
111,Valkas ģimnāzija,11151304,ANG12,62.07%,45
111,Valkas ģimnāzija,11151304,LAT12,49.77%,50
111,Valkas ģimnāzija,11151304,MAT12,32.88%,49
113,Valmieras 5. vidusskola,11331204,ANG12,51.18%,39
113,Valmieras 5. vidusskola,11331204,LAT12,46.25%,44
113,Valmieras 5. vidusskola,11331204,MAT12,19.62%,44
113,Valmieras Viestura vidusskola,11331213,ANG12,65.33%,57
113,Valmieras Viestura vidusskola,11331213,LAT12,62.44%,57
113,Valmieras Viestura vidusskola,11331213,MAT12,35.97%,57
113,Valmieras 2. vidusskola,11333201,ANG12,66.17%,18
113,Valmieras 2. vidusskola,11333201,LAT12,45.92%,18
113,Valmieras 2. vidusskola,11333201,MAT12,50.76%,18
113,Valmieras 2.vidusskolas filiāle,11341202,ANG12,41.21%,15
113,Valmieras 2.vidusskolas filiāle,11341202,LAT12,36.44%,47
113,Valmieras 2.vidusskolas filiāle,11341202,MAT12,18.78%,46
113,Valmieras Pārgaujas ģimnāzija,11351207,ANG12,70.84%,94
113,Valmieras Pārgaujas ģimnāzija,11351207,LAT12,70.90%,103
113,Valmieras Pārgaujas ģimnāzija,11351207,MAT12,43.00%,103
113,Valmieras Valsts ģimnāzija,11361212,ANG12,75.11%,82
113,Valmieras Valsts ģimnāzija,11361212,LAT12,69.10%,82
113,Valmieras Valsts ģimnāzija,11361212,MAT12,48.75%,82
113,Valmieras Mākslas vidusskola,11371205,ANG12,54.37%,8
113,Valmieras Mākslas vidusskola,11371205,LAT12,51.47%,5
113,Valmieras Mākslas vidusskola,11371205,MAT12,19.25%,5
113,Valmieras tehnikums,11371216,ANG12,45.86%,91
113,Valmieras tehnikums,11371216,LAT12,50.38%,92
113,Valmieras tehnikums,11371216,MAT12,17.09%,92
113,Vidzemes Augstskola,11391212,ANG12,62.83%,3
113,Vidzemes Augstskola,11391212,LAT12,53.40%,1
114,Varakļānu vidusskola,11431303,ANG12,66.78%,18
114,Varakļānu vidusskola,11431303,LAT12,69.41%,18
114,Varakļānu vidusskola,11431303,MAT12,42.15%,18
115,Vārkavas vidusskola,11531404,ANG12,56.35%,5
115,Vārkavas vidusskola,11531404,LAT12,51.56%,8
115,Vārkavas vidusskola,11531404,MAT12,40.39%,8
116,Cēsu Pilsētas vidusskolas Vecpiebalgas konsultpunkts,11631401,ANG12,19.25%,1
116,Cēsu Pilsētas vidusskolas Vecpiebalgas konsultpunkts,11631401,LAT12,31.93%,5
116,Cēsu Pilsētas vidusskolas Vecpiebalgas konsultpunkts,11631401,MAT12,9.17%,6
116,Vecpiebalgas vidusskola,11631405,ANG12,50.21%,15
116,Vecpiebalgas vidusskola,11631405,LAT12,58.33%,18
116,Vecpiebalgas vidusskola,11631405,MAT12,23.61%,18
117,Misas vidusskola,11731402,ANG12,58.99%,7
117,Misas vidusskola,11731402,LAT12,46.59%,7
117,Misas vidusskola,11731402,MAT12,32.86%,7
117,Skaistkalnes vidusskola,11731403,ANG12,56.83%,7
117,Skaistkalnes vidusskola,11731403,LAT12,45.64%,9
117,Skaistkalnes vidusskola,11731403,MAT12,27.36%,9
117,Vecumnieku novada Domes Valles vidusskola,11731406,ANG12,40.76%,6
117,Vecumnieku novada Domes Valles vidusskola,11731406,LAT12,50.37%,6
117,Vecumnieku novada Domes Valles vidusskola,11731406,MAT12,16.25%,6
117,Vecumnieku vidusskola,11731407,ANG12,57.27%,15
117,Vecumnieku vidusskola,11731407,LAT12,56.04%,17
117,Vecumnieku vidusskola,11731407,MAT12,39.01%,17
118,Piltenes vidusskola,11831303,ANG12,60.91%,8
118,Piltenes vidusskola,11831303,LAT12,52.71%,9
118,Piltenes vidusskola,11831303,MAT12,28.05%,9
118,Ugāles vidusskola,11831408,ANG12,71.16%,12
118,Ugāles vidusskola,11831408,LAT12,58.39%,13
118,Ugāles vidusskola,11831408,MAT12,42.98%,13
119,Ventspils 4. vidusskola,11931208,ANG12,73.48%,42
119,Ventspils 4. vidusskola,11931208,LAT12,69.07%,47
119,Ventspils 4. vidusskola,11931208,MAT12,52.36%,47
119,Ventspils 5. vidusskola,11931209,ANG12,73.59%,12
119,Ventspils 5. vidusskola,11931209,LAT12,63.52%,15
119,Ventspils 5. vidusskola,11931209,MAT12,43.12%,15
119,Ventspils 2. vidusskola,11933206,ANG12,56.76%,21
119,Ventspils 2. vidusskola,11933206,LAT12,47.18%,22
119,Ventspils 2. vidusskola,11933206,MAT12,54.77%,22
119,Ventspils 3. vidusskola,11933207,ANG12,65.96%,13
119,Ventspils 3. vidusskola,11933207,LAT12,43.75%,18
119,Ventspils 3. vidusskola,11933207,MAT12,51.94%,18
119,Ventspils 6. vidusskola,11933210,ANG12,67.11%,34
119,Ventspils 6. vidusskola,11933210,LAT12,60.13%,38
119,Ventspils 6. vidusskola,11933210,MAT12,49.09%,38
119,Ventspils vakara vidusskola,11943214,ANG12,51.66%,16
119,Ventspils vakara vidusskola,11943214,LAT12,37.13%,25
119,Ventspils vakara vidusskola,11943214,MAT12,15.50%,26
119,Ventspils Valsts 1. ģimnāzija,11951203,ANG12,77.09%,66
119,Ventspils Valsts 1. ģimnāzija,11951203,LAT12,70.41%,67
119,Ventspils Valsts 1. ģimnāzija,11951203,MAT12,55.81%,67
119,Ventspils Mūzikas vidusskola,11971212,ANG12,54.94%,14
119,Ventspils Mūzikas vidusskola,11971212,LAT12,62.98%,14
119,Ventspils Mūzikas vidusskola,11971212,MAT12,18.30%,14
119,Ventspils Tehnikums,11971216,ANG12,46.78%,98
119,Ventspils Tehnikums,11971216,LAT12,40.91%,106
119,Ventspils Tehnikums,11971216,MAT12,15.96%,108
120,Viesītes vidusskola,12031303,ANG12,57.00%,15
120,Viesītes vidusskola,12031303,LAT12,60.72%,17
120,Viesītes vidusskola,12031303,MAT12,40.04%,17
121,Rekavas vidusskola,12131411,ANG12,56.82%,11
121,Rekavas vidusskola,12131411,LAT12,61.11%,18
121,Rekavas vidusskola,12131411,MAT12,70.48%,18
121,Viļakas Valsts ģimnāzija,12161321,ANG12,71.93%,10
121,Viļakas Valsts ģimnāzija,12161321,LAT12,61.26%,18
121,Viļakas Valsts ģimnāzija,12161321,MAT12,57.88%,18
122,Viļānu vidusskola,12233303,ANG12,55.66%,28
122,Viļānu vidusskola,12233303,LAT12,54.30%,40
122,Viļānu vidusskola,12233303,MAT12,33.62%,40
123,Zilupes vidusskola,12333303,ANG12,38.42%,20
123,Zilupes vidusskola,12333303,LAT12,34.19%,22
123,Zilupes vidusskola,12333303,MAT12,33.01%,22
126,Mērsraga vidusskola,12631401,ANG12,64.38%,7
126,Mērsraga vidusskola,12631401,LAT12,61.77%,7
126,Mērsraga vidusskola,12631401,MAT12,27.50%,7
