Novads,Nosaukums,Kopvērtējums,Priekšmets
Jaunjelgavas novads,Seces pagasta pamatskola,66.36%,LAT9
Jaunjelgavas novads,Sunākstes pamatskola,69.70%,LAT9
Jaunjelgavas novads,Jaunjelgavas vidusskola,60.25%,LAT9
Jaunpiebalgas novads,Jaunpiebalgas vidusskola,55.34%,LAT9
Jaunpils novads,Jaunpils vidusskola,55.06%,LAT9
Jelgavas novads,Platones pamatskola,61.82%,LAT9
Jelgavas novads,Aizupes pamatskola,65.83%,LAT9
Jelgavas novads,Sesavas pamatskola,61.44%,LAT9
Jelgavas novads,Svētes pamatskola,50.61%,LAT9
Jelgavas novads,Šķibes pamatskola,47.06%,LAT9
Jelgavas novads,Vilces pamatskola,52.67%,LAT9
Jelgavas novads,Kalnciema pagasta vidusskola,56.36%,LAT9
Jelgavas novads,Elejas vidusskola,52.03%,LAT9
Jelgavas novads,Kalnciema vidusskola,64.92%,LAT9
Jelgavas novads,Līvbērzes vidusskola,67.73%,LAT9
Jelgavas novads,Staļģenes vidusskola,61.96%,LAT9
Jelgavas novads,Vircavas vidusskola,65.76%,LAT9
Jelgavas novads,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,54.85%,LAT9
Jelgavas novads,Zaļenieku komerciālā un amatniecības vidusskola,47.01%,LAT9
Jelgavas pilsēta,Jelgavas Tehnoloģiju vidusskola,57.23%,LAT9
Jelgavas pilsēta,Jelgavas 4. vidusskola,55.74%,LAT9
Jelgavas pilsēta,Jelgavas Vakara (maiņu) vidusskola,52.06%,LAT9
Jelgavas pilsēta,Jelgavas Spīdolas ģimnāzija,61.24%,LAT9
Jelgavas pilsēta,Jelgavas Valsts ģimnāzija,60.82%,LAT9
Jelgavas pilsēta,Jelgavas Amatu vidusskola,39.04%,LAT9
Jelgavas pilsēta,Jelgavas 1. internātpamatskola,53.03%,LAT9
Jēkabpils novads,Ābeļu pamatskola,55.27%,LAT9
Jēkabpils novads,Bērzgala pamatskola,62.95%,LAT9
Jēkabpils novads,Dignājas pamatskola,64.36%,LAT9
Jēkabpils novads,Dunavas pamatskola,63.90%,LAT9
Jēkabpils novads,Rubeņu pamatskola,57.40%,LAT9
Jēkabpils novads,Zasas vidusskola,61.42%,LAT9
Jēkabpils pilsēta,Jēkabpils 3. vidusskola,69.09%,LAT9
Jēkabpils pilsēta,Jēkabpils Valsts ģimnāzija,61.59%,LAT9
Jūrmalas pilsēta,Jūrmalas Alternatīvā skola,75.87%,LAT9
Jūrmalas pilsēta,Slokas pamatskola,54.55%,LAT9
Jūrmalas pilsēta,Vaivaru pamatskola,59.70%,LAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Lielupes vidusskola,70.61%,LAT9
Jūrmalas pilsēta,Ķemeru vidusskola,45.34%,LAT9
Jūrmalas pilsēta,Majoru vidusskola,57.32%,LAT9
Jūrmalas pilsēta,Jūrmalas vakara vidusskola,43.18%,LAT9
Jūrmalas pilsēta,Murjāņu sporta ģimnāzija Jūrmalas filiāle,53.13%,LAT9
Jūrmalas pilsēta,Jūrmalas Valsts ģimnāzija,70.49%,LAT9
Kandavas novads,Cēres pamatskola,54.66%,LAT9
Kandavas novads,Kandavas novada Zantes pamatskola,56.62%,LAT9
Kandavas novads,Vānes pamatskola,62.47%,LAT9
Kandavas novads,Zemītes pamatskola,42.73%,LAT9
Kandavas novads,Kandavas Kārļa Mīlenbaha vidusskola,55.48%,LAT9
Kandavas novads,Kandavas internātvidusskola,59.12%,LAT9
Kārsavas novads,Mērdzenes pamatskola,60.81%,LAT9
Kārsavas novads,Mežvidu pamatskola,51.00%,LAT9
Kārsavas novads,Salnavas pamatskola,63.25%,LAT9
Kārsavas novads,Kārsavas vidusskola,55.91%,LAT9
Kokneses novads,Bebru pamatskola,67.64%,LAT9
Kokneses novads,Pērses pamatskola,67.14%,LAT9
Kokneses novads,Ilmāra Gaiša Kokneses vidusskola,72.99%,LAT9
Kokneses novads,Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,47.73%,LAT9
Krāslavas novads,Krāslavas pamatskola,60.37%,LAT9
Krāslavas novads,Aulejas pamatskola,77.73%,LAT9
Krāslavas novads,Izvaltas pamatskola,55.56%,LAT9
Krāslavas novads,Robežnieku pamatskola,43.50%,LAT9
Krāslavas novads,Indras vidusskola,55.36%,LAT9
Krāslavas novads,Krāslavas Valsts ģimnāzija,61.44%,LAT9
Krimuldas novads,Garlība Merķeļa Lēdurgas pamatskola,62.08%,LAT9
Krimuldas novads,Krimuldas vidusskola,58.41%,LAT9
Krustpils novads,Krustpils pamatskola,59.84%,LAT9
Krustpils novads,Mežāres pamatskola,53.45%,LAT9
Krustpils novads,Sūnu pamatskola,60.91%,LAT9
Krustpils novads,Vīpes pamatskola,59.55%,LAT9
Krustpils novads,Brāļu Skrindu Atašienes vidusskola,77.73%,LAT9
Kuldīgas novads,Kuldīgas pamatskola,63.12%,LAT9
Kuldīgas novads,Ēdoles pamatskola,61.03%,LAT9
Kuldīgas novads,Laidu pamatskola,50.91%,LAT9
Kuldīgas novads,Turlavas pamatskola,48.18%,LAT9
Kuldīgas novads,Vārmes pamatskola,59.09%,LAT9
Kuldīgas novads,Vilgāles pamatskola,63.64%,LAT9
Kuldīgas novads,Z.A. Meierovica Kabiles pamatskola,48.00%,LAT9
Kuldīgas novads,Kuldīgas 2. vidusskola,54.10%,LAT9
Kuldīgas novads,Kuldīgas Centra vidusskola,60.53%,LAT9
Kuldīgas novads,Kuldīgas Mākslas un humanitāro zinību vidusskola,63.91%,LAT9
Kuldīgas novads,V. Plūdoņa Kuldīgas ģimnāzija,60.82%,LAT9
Ķeguma novads,Birzgales pamatskola,64.82%,LAT9
Ķeguma novads,Ķeguma komercnovirziena vidusskola,65.73%,LAT9
Ķekavas novads,Daugmales pamatskola,65.91%,LAT9
Ķekavas novads,"Privātā pamatskola ""Gaismas tilts 97""",69.32%,LAT9
Ķekavas novads,Ķekavas vidusskola,69.81%,LAT9
Ķekavas novads,Baložu vidusskola,58.68%,LAT9
Lielvārdes novads,Lēdmanes pamatskola,59.26%,LAT9
Lielvārdes novads,Lielvārdes pamatskola,54.66%,LAT9
Lielvārdes novads,Edgara Kauliņa Lielvārdes vidusskola,62.16%,LAT9
Lielvārdes novads,Jumpravas vidusskola,63.39%,LAT9
Liepājas pilsēta,Liepājas Katoļu pamatskola,72.42%,LAT9
Liepājas pilsēta,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,59.79%,LAT9
Liepājas pilsēta,J. Čakstes Liepājas pilsētas 10. vidusskola,61.26%,LAT9
Liepājas pilsēta,Liepājas 15. vidusskola,57.06%,LAT9
Liepājas pilsēta,Liepājas Raiņa 6. vidusskola,54.50%,LAT9
Liepājas pilsēta,Liepājas 8. vidusskola,57.67%,LAT9
Liepājas pilsēta,Liepājas vakara (maiņu) vidusskola,57.61%,LAT9
Liepājas pilsēta,Liepājas Valsts 1. ģimnāzija,72.44%,LAT9
Liepājas pilsēta,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",46.25%,LAT9
Liepājas pilsēta,Liepājas internātpamatskola,55.05%,LAT9
Limbažu novads,Baumaņu Kārļa Viļķenes pamatskola,60.45%,LAT9
Limbažu novads,Lādezera pamatskola,53.33%,LAT9
Limbažu novads,Pāles pamatskola,68.07%,LAT9
Limbažu novads,Umurgas pamatskola,54.34%,LAT9
Limbažu novads,Vidrižu pamatskola,58.36%,LAT9
Limbažu novads,Limbažu 3. vidusskola,58.69%,LAT9
Limbažu novads,Limbažu 3. vidusskolas struktūrvienība,50.91%,LAT9
Limbažu novads,Limbažu novada ģimnāzija,61.22%,LAT9
Līgatnes novads,Līgatnes novada vidusskola,59.05%,LAT9
Līvānu novads,Jaunsilavas pamatskola,64.14%,LAT9
Līvānu novads,Jersikas pamatskola,55.82%,LAT9
Līvānu novads,Rožupes pamatskola,57.60%,LAT9
Līvānu novads,Sutru pamatskola,68.30%,LAT9
Līvānu novads,Līvānu 1. vidusskola,66.41%,LAT9
Līvānu novads,Rudzātu vidusskola,60.52%,LAT9
Līvānu novads,Līvānu novada Vakara (maiņu) vidusskola,48.18%,LAT9
Lubānas novads,Meirānu Kalpaka pamatskola,62.12%,LAT9
Lubānas novads,Lubānas vidusskola,60.64%,LAT9
Ludzas novads,Nirzas pamatskola,50.76%,LAT9
Ludzas novads,Pildas pamatskola,60.08%,LAT9
Ludzas novads,Ludzas novada vakara vidusskola,51.69%,LAT9
Ludzas novads,Ludzas pilsētas ģimnāzija,71.64%,LAT9
Madonas novads,Barkavas pamatskola,63.43%,LAT9
Madonas novads,Degumnieku pamatskola,66.14%,LAT9
Madonas novads,Dzelzavas pamatskola,61.17%,LAT9
Madonas novads,Kalsnavas pamatskola,73.64%,LAT9
Madonas novads,Kusas pamatskola,66.88%,LAT9
Madonas novads,Lazdonas pamatskola,47.58%,LAT9
Madonas novads,Liezēres pamatskola,59.36%,LAT9
Madonas novads,Mārcienas pamatskola,53.86%,LAT9
Madonas novads,Mētrienas pamatskola,45.45%,LAT9
Madonas novads,Praulienas pamatskola,63.64%,LAT9
Madonas novads,Sarkaņu pamatskola,54.18%,LAT9
Madonas novads,Vestienas pamatskola,65.45%,LAT9
Madonas novads,Madonas pilsētas 1. vidusskola,63.50%,LAT9
Madonas novads,Madonas pilsētas 2. vidusskola,64.24%,LAT9
Madonas novads,Andreja Eglīša Ļaudonas vidusskola,61.42%,LAT9
Madonas novads,Madonas Vakara un neklātienes vidusskola,47.45%,LAT9
Madonas novads,Madonas Valsts ģimnāzija,70.10%,LAT9
Mazsalacas novads,Mazsalacas vidusskola,60.79%,LAT9
Mālpils novads,Sidgundas pamatskola,66.36%,LAT9
Mālpils novads,Mālpils novada vidusskola,70.36%,LAT9
Mālpils novads,Mālpils internātpamatskola,49.50%,LAT9
Mārupes novads,Mārupes pamatskola,46.45%,LAT9
Mārupes novads,Mārupes vidusskola,57.32%,LAT9
Naukšēnu novads,Naukšēnu novada vidusskola,54.72%,LAT9
Naukšēnu novads,"Sociālās korekcijas izglītības iestāde ""Naukšēni""",47.05%,LAT9
Neretas novads,Mazzalves pamatskola,59.89%,LAT9
Neretas novads,Sproģu pamatskola,50.91%,LAT9
Neretas novads,Neretas Jāņa Jaunsudrabiņa vidusskola,68.35%,LAT9
Nīcas novads,Rudes pamatskola,67.95%,LAT9
Nīcas novads,Nīcas vidusskola,68.94%,LAT9
Ogres novads,Ķeipenes pamatskola,72.83%,LAT9
Ogres novads,Ogresgala pamatskola,55.23%,LAT9
Ogres novads,Taurupes pamatskola,68.18%,LAT9
Ogres novads,Ogres 1. vidusskola,70.86%,LAT9
Ogres novads,Madlienas vidusskola,60.97%,LAT9
Ogres novads,Mazozolu filiāle,58.55%,LAT9
Ogres novads,Meņģeles filiāle,70.36%,LAT9
Ogres novads,Suntažu vidusskola,63.09%,LAT9
Ogres novads,OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,53.82%,LAT9
Ogres novads,Ogres Valsts ģimnāzija,64.25%,LAT9
Ogres novads,Suntažu internātpamatskola - rehabilitācijas centrs,58.73%,LAT9
Olaines novads,Olaines 1. vidusskola,65.64%,LAT9
Ozolnieku novads,Garozas pamatskola,68.96%,LAT9
Ozolnieku novads,Salgales pamatskola,51.01%,LAT9
Ozolnieku novads,Teteles pamatskola,60.34%,LAT9
Ozolnieku novads,Ozolnieku vidusskola,69.38%,LAT9
Pārgaujas novads,Straupes pamatskola,57.61%,LAT9
Pārgaujas novads,Stalbes vidusskola,64.73%,LAT9
Pārgaujas novads,Raiskuma internātpamatskola – rehabilitācijas centrs,44.55%,LAT9
Pāvilostas novads,Vērgales pamatskola,75.15%,LAT9
Pāvilostas novads,Pāvilostas vidusskola,63.54%,LAT9
Pļaviņu novads,Pļaviņu novada ģimnāzija,61.17%,LAT9
Preiļu novads,Preiļu 1. pamatskola,62.00%,LAT9
Preiļu novads,Pelēču pamatskola,49.64%,LAT9
Preiļu novads,Priekuļu pamatskola,70.00%,LAT9
Preiļu novads,Salas pamatskola,48.64%,LAT9
Preiļu novads,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,58.18%,LAT9
Priekules novads,Gramzdas pamatskola,56.06%,LAT9
Priekules novads,Kalētu pamatskola,59.72%,LAT9
Priekules novads,Krotes Kronvalda Ata pamatskola,71.93%,LAT9
Priekules novads,Virgas pamatskola,44.77%,LAT9
Priekules novads,Priekules vidusskola,55.97%,LAT9
Priekuļu novads,Liepas pamatskola,55.56%,LAT9
Priekuļu novads,Mārsnēnu pamatskola,55.86%,LAT9
Priekuļu novads,Priekuļu vidusskola,62.04%,LAT9
Raunas novads,Drustu pamatskola,73.18%,LAT9
Raunas novads,Raunas vidusskola,60.67%,LAT9
Rēzeknes novads,Rikavas pamatskola,53.03%,LAT9
Rēzeknes novads,Bērzgales pamatskola,61.02%,LAT9
Rēzeknes novads,Feimaņu pamatskola,60.68%,LAT9
Rēzeknes novads,Gaigalavas pamatskola,61.04%,LAT9
Rēzeknes novads,Jaunstrūžānu pamatskola,60.36%,LAT9
Rēzeknes novads,Kalnezeru Katoļu pamatskola,60.00%,LAT9
Rēzeknes novads,Rēznas pamatskola,53.38%,LAT9
Rēzeknes novads,Verēmu pamatskola,61.36%,LAT9
Rēzeknes novads,Sakstagala Jāņa Klīdzēja pamatskola,63.50%,LAT9
Rēzeknes novads,Dricānu vidusskola,62.73%,LAT9
Rēzeknes novads,Lūcijas Rancānes Makašānu Amatu vidusskola,45.58%,LAT9
Rēzeknes novads,Nautrēnu vidusskola,60.42%,LAT9
Rēzeknes novads,Kaunatas vidusskola,68.07%,LAT9
Rēzeknes novads,Maltas vidusskola,57.38%,LAT9
Rēzeknes pilsēta,Rēzeknes 1. vidusskola,69.11%,LAT9
Rēzeknes pilsēta,Rēzeknes 5. vidusskola,63.31%,LAT9
Rēzeknes pilsēta,Rēzeknes Katoļu vidusskola,68.77%,LAT9
Rēzeknes pilsēta,Rēzeknes vakara vidusskola,47.42%,LAT9
Rēzeknes pilsēta,Rēzeknes valsts poļu ģimnāzija,69.48%,LAT9
Rēzeknes pilsēta,Rēzeknes logopēdiskā internātpamatskola,47.64%,LAT9
Riebiņu novads,Dravnieku pamatskola,60.81%,LAT9
Riebiņu novads,Galēnu pamatskola,64.09%,LAT9
Riebiņu novads,Rušonas pamatskola,48.18%,LAT9
Riebiņu novads,Riebiņu vidusskola,49.29%,LAT9
Rīgas pilsēta (Centra raj.),"Pamatskola ""Rīdze""",61.78%,LAT9
Rīgas pilsēta (Centra raj.),O.Kalpaka Rīgas Tautas daiļamatu pamatskola,65.92%,LAT9
Rīgas pilsēta (Centra raj.),Rīgas Centra daiļamatniecības pamatskola,67.93%,LAT9
Rīgas pilsēta (Centra raj.),Rīgas Centra humanitārā vidusskola,66.48%,LAT9
Rīgas pilsēta (Centra raj.),Rīgas Natālijas Draudziņas vidusskola,48.86%,LAT9
Rīgas pilsēta (Centra raj.),Rīgas Raiņa 8. vakara (maiņu) vidusskola,58.57%,LAT9
Rīgas pilsēta (Centra raj.),Rīgas Valsts 3. ģimnāzija,64.82%,LAT9
Rīgas pilsēta (Kurzemes raj.),Rīgas Valdorfskola,56.85%,LAT9
Rīgas pilsēta (Kurzemes raj.),Iļģuciema vidusskola,66.92%,LAT9
Rīgas pilsēta (Kurzemes raj.),"Privātā vidusskola ""Patnis""",64.55%,LAT9
Rīgas pilsēta (Kurzemes raj.),Rīgas 19. vidusskola,57.27%,LAT9
Rīgas pilsēta (Kurzemes raj.),Rīgas 41. vidusskola,57.66%,LAT9
Rīgas pilsēta (Kurzemes raj.),Rīgas 69. vidusskola,62.84%,LAT9
Rīgas pilsēta (Kurzemes raj.),Rīgas Imantas vidusskola,53.99%,LAT9
Rīgas pilsēta (Kurzemes raj.),Rīgas Valsts vācu ģimnāzija,68.81%,LAT9
Rīgas pilsēta (Kurzemes raj.),Emīla Dārziņa mūzikas vidusskola,79.02%,LAT9
Rīgas pilsēta (Kurzemes raj.),Rīgas Doma kora skola,78.24%,LAT9
Rīgas pilsēta (Latgales priekšp.),Andreja Pumpura Rīgas 11. pamatskola,53.60%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas Pļavnieku pamatskola,61.19%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas 25. vidusskola,56.19%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas 6. vidusskola,59.70%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas 93. vidusskola,61.55%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas Kristīgā vidusskola,63.16%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas Lietuviešu vidusskola,60.33%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas 1. vidusskola,58.94%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas Tālmācības vidusskola,60.47%,LAT9
Rīgas pilsēta (Latgales priekšp.),"Tālmācības vidusskola ""Rīgas Komercskola""",51.36%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas vakara ģimnāzija,53.24%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas 1. Tālmācības vidusskola,46.23%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas pilsētas Pļavnieku ģimnāzija,50.66%,LAT9
Rīgas pilsēta (Latgales priekšp.),Rīgas Lastādijas internātpamatskola,35.91%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Mežciema pamatskola,66.28%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Ezerkrastu pamatskola,56.00%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 45. vidusskola,57.82%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 49. vidusskola,69.95%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 64. vidusskola,68.01%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 84. vidusskola,61.20%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 85. vidusskola,56.02%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Hanzas vidusskola,66.57%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Juglas vidusskola,65.75%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Teikas vidusskola,70.28%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Privātā alternatīvā vidusskola,50.91%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),"Privātā vidusskola ""Klasika""",80.45%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),"Privātā vidusskola ""Laisma""",75.45%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 9. vakara (maiņu) vidusskola,48.42%,LAT9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Franču licejs,66.08%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Friča Brīvzemnieka pamatskola,65.54%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Igauņu pamatskola,57.78%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 47. vidusskola,56.05%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 94. vidusskola,57.44%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 14. vakara (maiņu) vidusskola,44.95%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Angļu ģimnāzija,62.20%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Katoļu ģimnāzija,64.09%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Ziemeļvalstu ģimnāzija,60.66%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Āgenskalna Valsts ģimnāzija,72.73%,LAT9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Mūzikas internātvidusskola,53.78%,LAT9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 7. pamatskola,48.98%,LAT9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 28. vidusskola,51.90%,LAT9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 31. vidusskola,52.55%,LAT9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Jāņa Poruka vidusskola,59.00%,LAT9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Kultūru vidusskola,64.05%,LAT9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 18. vakara (maiņu) vidusskola,50.45%,LAT9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Valsts 2. ģimnāzija,71.86%,LAT9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 66. speciālā vidusskola,66.48%,LAT9
Rojas novads,Mērsraga vidusskola,56.45%,LAT9
Rojas novads,Rojas vidusskola,71.10%,LAT9
Ropažu novads,Zaķumuižas pamatskola,65.63%,LAT9
Ropažu novads,Ropažu vidusskola,59.88%,LAT9
Rucavas novads,Rucavas pamatskola,59.32%,LAT9
Rucavas novads,Sikšņu pamatskola,58.86%,LAT9
Rugāju novads,Rugāju novada Eglaines pamatskola,65.09%,LAT9
Rugāju novads,Rugāju novada vidusskola,59.09%,LAT9
Rundāles novads,Pilsrundāles vidusskola,54.34%,LAT9
Rūjienas novads,Jeru pamatskola,54.96%,LAT9
Rūjienas novads,Rūjienas vidusskola,64.35%,LAT9
Salacgrīvas novads,Krišjāņa Valdemāra Ainažu pamatskola,67.27%,LAT9
Salacgrīvas novads,Salacgrīvas vidusskola,74.55%,LAT9
Salacgrīvas novads,Liepupes vidusskola,65.11%,LAT9
Salas novads,Biržu pamatskola,60.61%,LAT9
Salas novads,Salas vidusskola,60.11%,LAT9
Salas novads,Biržu internātpamatskola,55.06%,LAT9
Salaspils novads,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",68.33%,LAT9
Salaspils novads,"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",65.08%,LAT9
Saldus novads,Saldus pamatskola,59.12%,LAT9
Saldus novads,Saldus novada pašvaldības Jaunlutriņu pamatskola,58.18%,LAT9
Saldus novads,Saldus novada pašvaldības Kursīšu pamatskola,63.12%,LAT9
Saldus novads,Saldus novada pašvaldības Lutriņu pamatskola,68.45%,LAT9
Saldus novads,Saldus novada pašvaldības Nīgrandes pamatskola,65.76%,LAT9
Saldus novads,Saldus novada pašvaldības Pampāļu pamatskola,60.23%,LAT9
Saldus novads,Saldus novada pašvaldības Rubas pamatskola,69.59%,LAT9
Saldus novads,Saldus novada pašvaldības Striķu pamatskola,63.48%,LAT9
Saldus novads,Saldus novada pašvaldības Zirņu pamatskola,60.45%,LAT9
Saldus novads,Saldus 2. vidusskola,71.27%,LAT9
Saldus novads,Saldus 1.vidusskola,71.73%,LAT9
Saldus novads,Saldus novada pašvaldības Druvas vidusskola,69.00%,LAT9
Saldus novads,Saldus novada pašvaldības Ezeres vidusskola,64.82%,LAT9
Saldus novads,Saldus novada pašvaldības Kalnu vidusskola,58.25%,LAT9
Saldus novads,Saldus Vakara vidusskola,40.68%,LAT9
Saldus novads,Saldus novada pašvaldības Cieceres internātpamatskola,56.78%,LAT9
Saulkrastu novads,Saulkrastu vidusskola,55.97%,LAT9
Saulkrastu novads,Zvejniekciema vidusskola,61.07%,LAT9
Sējas novads,Murjāņu sporta ģimnāzija,56.36%,LAT9
Siguldas novads,Siguldas 1. pamatskola,70.64%,LAT9
Siguldas novads,Allažu pamatskola,64.24%,LAT9
Siguldas novads,Mores pamatskola,53.86%,LAT9
Siguldas novads,Siguldas pilsētas vidusskola,60.06%,LAT9
Siguldas novads,Siguldas Valsts ģimnāzija,74.97%,LAT9
Skrīveru novads,Andreja Upīša Skrīveru vidusskola,68.61%,LAT9
Skrundas novads,Nīkrāces pamatskola,67.14%,LAT9
Skrundas novads,Oskara Kalpaka Rudbāržu pamatskola,48.38%,LAT9
Skrundas novads,Skrundas vidusskola,62.21%,LAT9
Skrundas novads,Skrundas Profesionālā vidusskola,54.00%,LAT9
Smiltenes novads,Bilskas pamatskola,48.18%,LAT9
Smiltenes novads,Blomes pamatskola,51.82%,LAT9
Smiltenes novads,Grundzāles pamatskola,59.77%,LAT9
Smiltenes novads,Palsmanes pamatskola,67.37%,LAT9
Smiltenes novads,Variņu pamatskola,57.88%,LAT9
Smiltenes novads,Smiltenes Centra vidusskola,59.27%,LAT9
Smiltenes novads,Smiltenes ģimnāzija,61.14%,LAT9
Stopiņu novads,Ulbrokas vidusskola,57.13%,LAT9
Stopiņu novads,Upesleju internātpamatskola – rehabilitācijas centrs,69.00%,LAT9
Strenču novads,Strenču novada vidusskola,59.47%,LAT9
Talsu novads,Stendes pamatskola,59.55%,LAT9
Talsu novads,Talsu pamatskola,58.09%,LAT9
Talsu novads,"filiāle ""Laidzes pamatskola""",70.71%,LAT9
Talsu novads,Laucienes pamatskola,57.44%,LAT9
Talsu novads,Laucienes pamatskolas filiāle,68.64%,LAT9
Talsu novads,Pastendes pamatskola,71.95%,LAT9
Talsu novads,Pūņu pamatskola,61.93%,LAT9
Talsu novads,Virbu pamatskola,69.82%,LAT9
Talsu novads,Vandzenes pamatskola,62.86%,LAT9
Talsu novads,Sabiles vidusskola,56.50%,LAT9
Talsu novads,Talsu 2. vidusskola,61.70%,LAT9
Talsu novads,Talsu Kristīgā vidusskola,71.82%,LAT9
Talsu novads,Valdemārpils vidusskola,68.32%,LAT9
Talsu novads,Talsu novada Vakara un neklātienes vidusskola,52.89%,LAT9
Talsu novads,Talsu Valsts ģimnāzija,70.91%,LAT9
Tērvetes novads,Annas Brigaderes pamatskola,55.23%,LAT9
Tērvetes novads,Augstkalnes vidusskola,58.91%,LAT9
Tukuma novads,Tukuma 2. pamatskola,66.05%,LAT9
Tukuma novads,Tukuma E. Birznieka-Upīša 1. pamatskola,59.89%,LAT9
Tukuma novads,Džūkstes pamatskola,60.50%,LAT9
Tukuma novads,Pūres pamatskola,74.36%,LAT9
Tukuma novads,Tukuma 3. pamatskola,55.18%,LAT9
Tukuma novads,Tukuma 2. vidusskola,60.23%,LAT9
Tukuma novads,Irlavas vidusskola,57.20%,LAT9
Tukuma novads,Tumes vidusskola,60.86%,LAT9
Tukuma novads,Zemgales vidusskola,55.33%,LAT9
Tukuma novads,Tukuma Vakara un neklātienes vidusskola,48.94%,LAT9
Tukuma novads,Tukuma Raiņa ģimnāzija,68.71%,LAT9
Vaiņodes novads,Vaiņodes vidusskola,67.60%,LAT9
Vaiņodes novads,Vaiņodes internātpamatskola,49.09%,LAT9
Valkas novads,Valkas pamatskola,57.51%,LAT9
Valkas novads,Ērģemes pamatskola,56.59%,LAT9
Valkas novads,Kārķu pamatskola,65.00%,LAT9
Valkas novads,Ozolu pamatskola,56.75%,LAT9
Valkas novads,Vijciema pamatskola,60.52%,LAT9
Valkas novads,Valkas ģimnāzija,60.95%,LAT9
Valmieras novads,Jaunburtnieku pamatskola,52.91%,LAT9
Valmieras novads,Jura Neikena Dikļu pamatskola,60.80%,LAT9
Valmieras novads,Kocēnu pamatskola,62.00%,LAT9
Valmieras novads,Rubenes pamatskola,55.64%,LAT9
Valmieras pilsēta,Valmieras 5. vidusskola,55.28%,LAT9
Valmieras pilsēta,Valmieras Viestura vidusskola,61.39%,LAT9
Valmieras pilsēta,Valmieras 2.vidusskolas filiāle,51.53%,LAT9
Valmieras pilsēta,Valmieras Pārgaujas ģimnāzija,66.17%,LAT9
Valmieras pilsēta,Valmieras Valsts ģimnāzija,71.26%,LAT9
Varakļānu novads,Murmastienes pamatskola,59.82%,LAT9
Varakļānu novads,Varakļānu novada pašvaldības Stirnienes pamatskola,71.82%,LAT9
Varakļānu novads,Varakļānu vidusskola,70.00%,LAT9
Vārkavas novads,Vārkavas pamatskola,67.39%,LAT9
