Priekšmets,Skola,Kopvērtējums
MAT12,Jaunpiebalgas vidusskola,35.60%
LAT12,Jaunpiebalgas vidusskola,56.20%
ANG12,Jaunpils vidusskola,50.00%
MAT12,Jaunpils vidusskola,57.10%
LAT12,Jaunpils vidusskola,60.30%
ANG12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,62.20%
MAT12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,48.80%
LAT12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,63.10%
ANG12,Jēkabpils 2. vidusskola,51.50%
MAT12,Jēkabpils 2. vidusskola,44.90%
LAT12,Jēkabpils 2. vidusskola,43.90%
ANG12,Jēkabpils 3. vidusskola,52.80%
MAT12,Jēkabpils 3. vidusskola,43.50%
LAT12,Jēkabpils 3. vidusskola,60.10%
ANG12,Jēkabpils Agrobiznesa koledža,51.20%
MAT12,Jēkabpils Agrobiznesa koledža,35.90%
LAT12,Jēkabpils Agrobiznesa koledža,53.10%
ANG12,Jēkabpils vakara vidusskola,38.80%
MAT12,Jēkabpils vakara vidusskola,20.30%
LAT12,Jēkabpils vakara vidusskola,44.80%
ANG12,Jēkabpils Valsts ģimnāzija,66.50%
MAT12,Jēkabpils Valsts ģimnāzija,59.00%
LAT12,Jēkabpils Valsts ģimnāzija,69.90%
ANG12,Jelgavas 1. ģimnāzija,54.60%
MAT12,Jelgavas 1. ģimnāzija,43.20%
LAT12,Jelgavas 1. ģimnāzija,60.10%
ANG12,Jelgavas 4. vidusskola,54.40%
MAT12,Jelgavas 4. vidusskola,40.70%
LAT12,Jelgavas 4. vidusskola,57.70%
ANG12,Jelgavas 5. vidusskola,61.50%
MAT12,Jelgavas 5. vidusskola,62.60%
LAT12,Jelgavas 5. vidusskola,46.30%
ANG12,Jelgavas 6. vidusskola,58.60%
MAT12,Jelgavas 6. vidusskola,52.30%
LAT12,Jelgavas 6. vidusskola,43.10%
ANG12,Jelgavas AMAT12u vidusskola,34.10%
MAT12,Jelgavas AMAT12u vidusskola,20.40%
LAT12,Jelgavas AMAT12u vidusskola,42.90%
ANG12,Jelgavas Mūzikas vidusskola,57.30%
MAT12,Jelgavas Mūzikas vidusskola,40.70%
LAT12,Jelgavas Mūzikas vidusskola,69.30%
ANG12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,31.80%
MAT12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,25.90%
LAT12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,36.30%
ANG12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,63.40%
MAT12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,36.10%
LAT12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,40.10%
ANG12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,51.40%
MAT12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,21.10%
LAT12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,43.90%
ANG12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,21.40%
MAT12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,23.30%
LAT12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,44.70%
ANG12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,16.60%
MAT12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,9.80%
LAT12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,35.10%
ANG12,Jelgavas Spīdolas ģimnāzija,74.70%
MAT12,Jelgavas Spīdolas ģimnāzija,58.40%
LAT12,Jelgavas Spīdolas ģimnāzija,65.80%
ANG12,Jelgavas Vakara (maiņu) vidusskola,39.50%
MAT12,Jelgavas Vakara (maiņu) vidusskola,21.10%
LAT12,Jelgavas Vakara (maiņu) vidusskola,41.50%
ANG12,Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,30.90%
MAT12,Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,23.90%
LAT12,Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,28.20%
ANG12,Jelgavas Valsts ģimnāzija,70.30%
MAT12,Jelgavas Valsts ģimnāzija,55.60%
LAT12,Jelgavas Valsts ģimnāzija,69.90%
ANG12,Jumpravas vidusskola,60.80%
MAT12,Jumpravas vidusskola,54.30%
LAT12,Jumpravas vidusskola,62.10%
ANG12,Jūrmalas pilsētas Jaundubultu vidusskola,50.90%
MAT12,Jūrmalas pilsētas Jaundubultu vidusskola,43.70%
