Novads,Skola,Priekšmets,Kopvērtējums,Kārtotāju skaits
101,Aglonas Katoļu ģimnāzija,LAT12,74.7%,2
101,Aglonas Katoļu ģimnāzija,MAT12,47.2%,2
101,Aglonas vidusskola,ANG12,54.8%,11
101,Aglonas vidusskola,LAT12,57.0%,15
101,Aglonas vidusskola,MAT12,47.8%,15
102,Aizkraukles novada vidusskola,ANG12,66.9%,32
102,Aizkraukles novada vidusskola,LAT12,63.0%,35
102,Aizkraukles novada vidusskola,MAT12,42.1%,35
102,Aizkraukles Profesionālā vidusskola (prof.),ANG12,37.9%,37
102,Aizkraukles Profesionālā vidusskola (prof.),LAT12,32.8%,38
102,Aizkraukles Profesionālā vidusskola (prof.),MAT12,14.9%,36
102,Aizkraukles Vakara (maiņu) vidusskola,ANG12,64.1%,12
102,Aizkraukles Vakara (maiņu) vidusskola,LAT12,40.7%,24
102,Aizkraukles Vakara (maiņu) vidusskola,MAT12,15.1%,26
103,Aizputes novada Neklātienes vidusskola,ANG12,41.8%,27
103,Aizputes novada Neklātienes vidusskola,LAT12,38.6%,45
103,Aizputes novada Neklātienes vidusskola,MAT12,23.8%,45
103,Aizputes vidusskola,ANG12,60.6%,28
103,Aizputes vidusskola,LAT12,50.7%,27
103,Aizputes vidusskola,MAT12,32.0%,27
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),ANG12,31.0%,28
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),LAT12,25.8%,29
103,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība (prof.) (strukt.),MAT12,17.1%,30
104,Aknīstes vidusskola,ANG12,59.3%,9
104,Aknīstes vidusskola,LAT12,57.7%,13
104,Aknīstes vidusskola,MAT12,34.1%,13
105,Alojas Ausekļa vidusskola,ANG12,61.7%,11
105,Alojas Ausekļa vidusskola,LAT12,60.3%,12
105,Alojas Ausekļa vidusskola,MAT12,29.0%,12
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),ANG12,41.4%,5
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),LAT12,40.1%,8
105,Ģenerāļa Pētera Radziņa Staiceles Sporta profesionālā vidusskola (prof.),MAT12,20.1%,8
106,Alsungas vidusskola,ANG12,61.1%,14
106,Alsungas vidusskola,LAT12,62.6%,15
106,Alsungas vidusskola,MAT12,29.5%,15
107,Alūksnes novada vidusskola,ANG12,49.6%,14
107,Alūksnes novada vidusskola,LAT12,46.4%,21
107,Alūksnes novada vidusskola,MAT12,14.8%,21
107,Ernsta Glika Alūksnes Valsts ģimnāzija,ANG12,73.5%,34
107,Ernsta Glika Alūksnes Valsts ģimnāzija,LAT12,68.6%,38
107,Ernsta Glika Alūksnes Valsts ģimnāzija,MAT12,41.7%,38
107,Liepnas vidusskola,ANG12,21.8%,3
107,Liepnas vidusskola,LAT12,29.6%,6
107,Liepnas vidusskola,MAT12,7.1%,6
108,Nītaures vidusskola,ANG12,71.7%,10
108,Nītaures vidusskola,LAT12,64.3%,13
108,Nītaures vidusskola,MAT12,37.5%,13
109,Dāvja Ozoliņa Apes vidusskola,ANG12,58.4%,9
109,Dāvja Ozoliņa Apes vidusskola,LAT12,61.6%,10
109,Dāvja Ozoliņa Apes vidusskola,MAT12,22.6%,10
110,Auces vidusskola,ANG12,61.4%,25
110,Auces vidusskola,LAT12,63.0%,28
110,Auces vidusskola,MAT12,36.5%,28
110,Bēnes vidusskola,ANG12,51.2%,10
110,Bēnes vidusskola,LAT12,52.2%,9
110,Bēnes vidusskola,MAT12,20.6%,9
111,Ādažu vidusskola,ANG12,74.7%,31
111,Ādažu vidusskola,LAT12,61.1%,33
111,Ādažu vidusskola,MAT12,47.1%,33
111,Privātā vidusskola Ādažu Brīvā Valdorfa skola,ANG12,77.6%,15
111,Privātā vidusskola Ādažu Brīvā Valdorfa skola,LAT12,56.7%,15
111,Privātā vidusskola Ādažu Brīvā Valdorfa skola,MAT12,41.9%,15
112,Babītes vidusskola,ANG12,77.8%,29
112,Babītes vidusskola,LAT12,58.7%,34
112,Babītes vidusskola,MAT12,44.6%,33
113,Baldones vidusskola,ANG12,73.2%,17
113,Baldones vidusskola,LAT12,59.5%,18
113,Baldones vidusskola,MAT12,39.5%,17
114,Baltinavas vidusskola,ANG12,76.9%,6
114,Baltinavas vidusskola,LAT12,56.7%,11
114,Baltinavas vidusskola,MAT12,36.0%,11
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),ANG12,47.3%,19
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),LAT12,32.2%,35
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),MAT12,25.1%,35
115,Balvu Valsts ģimnāzija,ANG12,72.7%,40
115,Balvu Valsts ģimnāzija,LAT12,65.8%,43
115,Balvu Valsts ģimnāzija,MAT12,39.3%,43
115,Bērzpils vidusskola,ANG12,51.4%,9
115,Bērzpils vidusskola,LAT12,40.7%,14
115,Bērzpils vidusskola,MAT12,20.3%,14
115,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība (prof.) (strukt.),ANG12,43.6%,11
115,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība (prof.) (strukt.),LAT12,47.4%,11
115,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība (prof.) (strukt.),MAT12,20.2%,11
115,Tilžas vidusskola,ANG12,48.5%,8
115,Tilžas vidusskola,LAT12,50.7%,8
115,Tilžas vidusskola,MAT12,33.0%,8
116,Bauskas 2. vidusskola,ANG12,61.0%,28
116,Bauskas 2. vidusskola,LAT12,46.2%,32
116,Bauskas 2. vidusskola,MAT12,25.7%,32
116,Bauskas Valsts ģimnāzija,ANG12,68.3%,50
116,Bauskas Valsts ģimnāzija,LAT12,64.8%,56
116,Bauskas Valsts ģimnāzija,MAT12,39.5%,56
118,Brocēnu vidusskola,ANG12,59.4%,12
118,Brocēnu vidusskola,LAT12,61.1%,14
118,Brocēnu vidusskola,MAT12,30.2%,14
121,Cesvaines vidusskola,ANG12,61.0%,18
121,Cesvaines vidusskola,LAT12,59.1%,19
121,Cesvaines vidusskola,MAT12,36.9%,19
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),ANG12,62.2%,14
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),LAT12,67.7%,17
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),MAT12,29.9%,16
122,Cēsu 2. vakara (maiņu) vidusskola,ANG12,52.4%,3
122,Cēsu 2. vakara (maiņu) vidusskola,LAT12,41.4%,5
122,Cēsu 2. vakara (maiņu) vidusskola,MAT12,17.3%,5
122,Cēsu Pilsētas vidusskola,ANG12,64.6%,28
122,Cēsu Pilsētas vidusskola,LAT12,44.4%,34
122,Cēsu Pilsētas vidusskola,MAT12,25.4%,33
122,Cēsu Tehnoloģiju un Dizaina vidusskola (prof.),ANG12,46.9%,33
122,Cēsu Tehnoloģiju un Dizaina vidusskola (prof.),LAT12,34.0%,33
122,Cēsu Tehnoloģiju un Dizaina vidusskola (prof.),MAT12,18.5%,34
122,Cēsu Valsts ģimnāzija,ANG12,80.5%,65
122,Cēsu Valsts ģimnāzija,LAT12,77.5%,64
122,Cēsu Valsts ģimnāzija,MAT12,56.7%,64
122,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,ANG12,75.7%,38
122,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,LAT12,67.4%,38
122,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,MAT12,38.3%,38
123,Ciblas vidusskola,ANG12,80.5%,4
123,Ciblas vidusskola,LAT12,65.2%,6
123,Ciblas vidusskola,MAT12,31.7%,6
124,Dagdas vidusskola,ANG12,65.1%,20
124,Dagdas vidusskola,LAT12,52.8%,36
124,Dagdas vidusskola,MAT12,42.6%,37
124,Ezernieku vidusskola,ANG12,66.4%,5
124,Ezernieku vidusskola,LAT12,60.3%,20
124,Ezernieku vidusskola,MAT12,44.4%,20
124,IPĪV_Dagda (prof.) (strukt.),ANG12,29.6%,20
124,IPĪV_Dagda (prof.) (strukt.),LAT12,25.9%,20
124,IPĪV_Dagda (prof.) (strukt.),MAT12,17.4%,20
125,Malnavas koledžas izglītības programmu īstenošanas vieta Višķi (strukt.),ANG12,28.7%,17
125,Malnavas koledžas izglītības programmu īstenošanas vieta Višķi (strukt.),LAT12,30.9%,17
125,Malnavas koledžas izglītības programmu īstenošanas vieta Višķi (strukt.),MAT12,29.7%,17
125,Salienas vidusskola,ANG12,44.5%,3
125,Salienas vidusskola,LAT12,48.9%,6
125,Salienas vidusskola,MAT12,63.4%,6
125,Špoģu vidusskola,ANG12,50.7%,14
125,Špoģu vidusskola,LAT12,60.4%,18
125,Špoģu vidusskola,MAT12,46.0%,18
125,Sventes vidusskola,ANG12,61.5%,5
125,Sventes vidusskola,LAT12,41.7%,23
125,Sventes vidusskola,MAT12,48.5%,22
125,Vaboles vidusskola,ANG12,75.7%,5
125,Vaboles vidusskola,LAT12,68.5%,8
125,Vaboles vidusskola,MAT12,59.8%,8
125,Zemgales vidusskola.,ANG12,55.7%,7
125,Zemgales vidusskola.,LAT12,33.8%,7
125,Zemgales vidusskola.,MAT12,50.2%,7
126,Daugavgrīvas cietums (strukt.),ANG12,19.8%,16
126,Daugavgrīvas cietums (strukt.),LAT12,21.1%,16
126,Daugavgrīvas cietums (strukt.),MAT12,12.8%,17
126,Daugavpils 10. vidusskola,ANG12,54.6%,43
126,Daugavpils 10. vidusskola,LAT12,43.3%,43
126,Daugavpils 10. vidusskola,MAT12,39.5%,43
126,Daugavpils 12. vidusskola,ANG12,63.9%,46
126,Daugavpils 12. vidusskola,LAT12,53.2%,67
126,Daugavpils 12. vidusskola,MAT12,33.0%,66
126,Daugavpils 13. vidusskola,ANG12,53.6%,30
126,Daugavpils 13. vidusskola,LAT12,36.6%,30
126,Daugavpils 13. vidusskola,MAT12,40.2%,30
126,Daugavpils 15. vidusskola,ANG12,57.8%,28
126,Daugavpils 15. vidusskola,LAT12,44.5%,28
126,Daugavpils 15. vidusskola,MAT12,45.0%,28
126,Daugavpils 16. vidusskola,ANG12,56.2%,21
126,Daugavpils 16. vidusskola,LAT12,49.3%,21
126,Daugavpils 16. vidusskola,MAT12,33.6%,21
126,Daugavpils 17. vidusskola,ANG12,49.2%,23
126,Daugavpils 17. vidusskola,LAT12,31.7%,33
126,Daugavpils 17. vidusskola,MAT12,25.4%,27
126,Daugavpils 3. vidusskola,ANG12,70.7%,49
126,Daugavpils 3. vidusskola,LAT12,58.0%,49
126,Daugavpils 3. vidusskola,MAT12,62.7%,49
126,Daugavpils 9. vidusskola,ANG12,66.6%,26
126,Daugavpils 9. vidusskola,LAT12,52.4%,26
126,Daugavpils 9. vidusskola,MAT12,47.8%,26
126,Daugavpils Būvniecības tehnikums (prof.),ANG12,24.8%,73
126,Daugavpils Būvniecības tehnikums (prof.),LAT12,21.2%,73
126,Daugavpils Būvniecības tehnikums (prof.),MAT12,10.1%,76
126,Daugavpils Centra vidusskola,ANG12,57.8%,23
126,Daugavpils Centra vidusskola,LAT12,44.4%,23
126,Daugavpils Centra vidusskola,MAT12,54.9%,23
126,Daugavpils Krievu vidusskola - licejs,ANG12,77.1%,57
126,Daugavpils Krievu vidusskola - licejs,LAT12,62.8%,59
126,Daugavpils Krievu vidusskola - licejs,MAT12,71.4%,59
126,Daugavpils tehnikums (prof.),ANG12,34.2%,165
126,Daugavpils tehnikums (prof.),LAT12,28.0%,157
126,Daugavpils tehnikums (prof.),MAT12,22.2%,158
126,Daugavpils Universitāte,ANG12,40.5%,5
126,Daugavpils Universitāte,LAT12,33.9%,4
126,Daugavpils Universitāte,MAT12,59.4%,1
126,Daugavpils Valsts ģimnāzija,ANG12,67.2%,55
126,Daugavpils Valsts ģimnāzija,LAT12,73.0%,58
126,Daugavpils Valsts ģimnāzija,MAT12,56.8%,58
126,J. Raiņa Daugavpils 6. vidusskola,ANG12,40.1%,17
126,J. Raiņa Daugavpils 6. vidusskola,LAT12,39.9%,17
126,J. Raiņa Daugavpils 6. vidusskola,MAT12,33.9%,17
126,J.Pilsudska Daugavpils valsts poļu ģimnāzija,ANG12,59.4%,19
126,J.Pilsudska Daugavpils valsts poļu ģimnāzija,LAT12,49.6%,19
126,J.Pilsudska Daugavpils valsts poļu ģimnāzija,MAT12,44.5%,19
126,"Profesionālās izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola ""Saules skola"""" (prof.)",ANG12,43.5%,20
126,"Profesionālās izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola ""Saules skola"""" (prof.)",LAT12,54.4%,19
126,"Profesionālās izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola ""Saules skola"""" (prof.)",MAT12,20.6%,18
126,Staņislava Broka Daugavpils Mūzikas vidusskola (prof.),ANG12,57.1%,11
126,Staņislava Broka Daugavpils Mūzikas vidusskola (prof.),LAT12,59.7%,10
126,Staņislava Broka Daugavpils Mūzikas vidusskola (prof.),MAT12,26.8%,10
127,Dobeles 1. vidusskola,ANG12,61.7%,18
127,Dobeles 1. vidusskola,LAT12,49.1%,20
127,Dobeles 1. vidusskola,MAT12,21.1%,20
127,Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),ANG12,45.4%,28
127,Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),LAT12,35.5%,36
127,Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),MAT12,7.0%,36
127,Dobeles Valsts ģimnāzija,ANG12,75.1%,61
127,Dobeles Valsts ģimnāzija,LAT12,63.8%,62
127,Dobeles Valsts ģimnāzija,MAT12,47.1%,62
128,Dundagas vidusskola,ANG12,75.2%,14
128,Dundagas vidusskola,LAT12,69.6%,14
128,Dundagas vidusskola,MAT12,35.9%,14
130,Engures vidusskola,ANG12,64.7%,13
130,Engures vidusskola,LAT12,55.4%,13
130,Engures vidusskola,MAT12,29.1%,13
131,Ērgļu vidusskola,ANG12,71.7%,8
131,Ērgļu vidusskola,LAT12,63.8%,8
131,Ērgļu vidusskola,MAT12,40.8%,8
133,Grobiņas ģimnāzija (likv.),ANG12,81.2%,24
133,Grobiņas ģimnāzija (likv.),LAT12,72.2%,25
133,Grobiņas ģimnāzija (likv.),MAT12,42.6%,25
134,Gulbenes 2. vidusskola,ANG12,62.3%,37
134,Gulbenes 2. vidusskola,LAT12,57.2%,42
134,Gulbenes 2. vidusskola,MAT12,29.3%,41
134,Gulbenes novada valsts ģimnāzija,ANG12,67.9%,27
134,Gulbenes novada valsts ģimnāzija,LAT12,56.4%,31
134,Gulbenes novada valsts ģimnāzija,MAT12,37.2%,31
134,Gulbenes Vakara (maiņu) vidusskola,ANG12,37.8%,7
134,Gulbenes Vakara (maiņu) vidusskola,LAT12,44.0%,9
134,Gulbenes Vakara (maiņu) vidusskola,MAT12,20.3%,9
134,Lejasciema vidusskola,ANG12,55.1%,8
134,Lejasciema vidusskola,LAT12,51.6%,8
134,Lejasciema vidusskola,MAT12,18.8%,8
134,Lizuma vidusskola,ANG12,76.8%,6
134,Lizuma vidusskola,LAT12,57.3%,7
134,Lizuma vidusskola,MAT12,34.6%,7
134,RANKAS KONSULTĀCIJU PUNKTS (strukt.),ANG12,25.5%,7
134,RANKAS KONSULTĀCIJU PUNKTS (strukt.),LAT12,28.9%,9
134,RANKAS KONSULTĀCIJU PUNKTS (strukt.),MAT12,16.3%,9
134,Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),ANG12,28.2%,7
134,Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),LAT12,25.9%,9
134,Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),MAT12,9.7%,9
135,Iecavas vidusskola,ANG12,70.7%,30
135,Iecavas vidusskola,LAT12,60.3%,34
135,Iecavas vidusskola,MAT12,29.6%,34
136,Ikšķiles vidusskola,ANG12,80.4%,11
136,Ikšķiles vidusskola,LAT12,60.7%,14
136,Ikšķiles vidusskola,MAT12,35.2%,14
136,Ogres tehnikums (prof.),ANG12,50.7%,186
136,Ogres tehnikums (prof.),LAT12,37.7%,189
136,Ogres tehnikums (prof.),MAT12,13.1%,188
137,Bebrenes vispārizglītojošā un profesionālā vidusskola,ANG12,70.8%,8
137,Bebrenes vispārizglītojošā un profesionālā vidusskola,LAT12,61.9%,9
137,Bebrenes vispārizglītojošā un profesionālā vidusskola,MAT12,37.0%,9
137,Ilūkstes Raiņa vidusskola,ANG12,57.9%,33
137,Ilūkstes Raiņa vidusskola,LAT12,46.9%,59
137,Ilūkstes Raiņa vidusskola,MAT12,31.3%,59
138,Vangažu vidusskola,ANG12,68.2%,10
138,Vangažu vidusskola,LAT12,49.5%,13
138,Vangažu vidusskola,MAT12,33.7%,13
140,Jaunpiebalgas vidusskola,ANG12,67.1%,16
140,Jaunpiebalgas vidusskola,LAT12,64.1%,16
140,Jaunpiebalgas vidusskola,MAT12,28.0%,16
141,Jaunpils vidusskola,ANG12,60.8%,11
141,Jaunpils vidusskola,LAT12,40.2%,11
141,Jaunpils vidusskola,MAT12,18.8%,11
142,Elejas vidusskola,ANG12,55.4%,11
142,Elejas vidusskola,LAT12,51.9%,18
142,Elejas vidusskola,MAT12,30.0%,18
142,Jelgavas novada Neklātienes vidusskola,ANG12,55.2%,22
142,Jelgavas novada Neklātienes vidusskola,LAT12,33.2%,38
142,Jelgavas novada Neklātienes vidusskola,MAT12,11.7%,39
142,Kalnciema pagasta vidusskola,ANG12,65.4%,4
142,Kalnciema pagasta vidusskola,LAT12,36.4%,8
142,Kalnciema pagasta vidusskola,MAT12,26.4%,8
142,Kalnciema vidusskola,ANG12,65.6%,8
142,Kalnciema vidusskola,LAT12,35.5%,9
142,Kalnciema vidusskola,MAT12,14.9%,9
142,Staļģenes vidusskola,ANG12,51.9%,3
142,Staļģenes vidusskola,LAT12,32.1%,8
142,Staļģenes vidusskola,MAT12,9.9%,9
142,Vircavas vidusskola,ANG12,72.5%,5
142,Vircavas vidusskola,LAT12,58.5%,6
142,Vircavas vidusskola,MAT12,29.4%,6
142,Zaļenieku komerciālā un amatniecības vidusskola,ANG12,23.6%,3
142,Zaļenieku komerciālā un amatniecības vidusskola,LAT12,37.4%,6
142,Zaļenieku komerciālā un amatniecības vidusskola,MAT12,7.0%,7
143,Jelgavas 4. vidusskola,ANG12,77.9%,24
143,Jelgavas 4. vidusskola,LAT12,59.0%,24
143,Jelgavas 4. vidusskola,MAT12,37.7%,24
143,Jelgavas 5. vidusskola,ANG12,67.4%,23
143,Jelgavas 5. vidusskola,LAT12,58.0%,23
143,Jelgavas 5. vidusskola,MAT12,62.8%,23
143,Jelgavas 6. vidusskola,ANG12,55.3%,21
143,Jelgavas 6. vidusskola,LAT12,46.0%,21
143,Jelgavas 6. vidusskola,MAT12,36.5%,21
143,Jelgavas Amatu vidusskola (prof.),ANG12,45.6%,23
143,Jelgavas Amatu vidusskola (prof.),LAT12,32.1%,46
143,Jelgavas Amatu vidusskola (prof.),MAT12,11.2%,46
143,Jelgavas cietums (strukt.),LAT12,27.3%,1
143,Jelgavas cietums (strukt.),MAT12,5.0%,2
143,Jelgavas Mūzikas vidusskola (prof.),ANG12,76.5%,16
143,Jelgavas Mūzikas vidusskola (prof.),LAT12,68.2%,12
143,Jelgavas Mūzikas vidusskola (prof.),MAT12,32.3%,10
143,Jelgavas Spīdolas Valsts ģimnāzija,ANG12,75.2%,71
143,Jelgavas Spīdolas Valsts ģimnāzija,LAT12,66.1%,74
143,Jelgavas Spīdolas Valsts ģimnāzija,MAT12,39.5%,74
143,Jelgavas Tehnikums (prof.),ANG12,53.8%,146
143,Jelgavas Tehnikums (prof.),LAT12,33.9%,178
143,Jelgavas Tehnikums (prof.),MAT12,15.9%,180
143,Jelgavas Tehnoloģiju vidusskola,ANG12,66.8%,22
143,Jelgavas Tehnoloģiju vidusskola,LAT12,55.3%,31
143,Jelgavas Tehnoloģiju vidusskola,MAT12,25.2%,30
143,Jelgavas Vakara (maiņu) vidusskola,ANG12,48.7%,6
143,Jelgavas Vakara (maiņu) vidusskola,LAT12,42.4%,12
143,Jelgavas Vakara (maiņu) vidusskola,MAT12,17.6%,11
143,Jelgavas Valsts ģimnāzija,ANG12,76.1%,98
143,Jelgavas Valsts ģimnāzija,LAT12,66.1%,106
143,Jelgavas Valsts ģimnāzija,MAT12,43.9%,106
144,Zasas vidusskola,ANG12,39.5%,8
144,Zasas vidusskola,LAT12,56.6%,10
144,Zasas vidusskola,MAT12,19.3%,10
145,Jēkabpils 2. vidusskola,ANG12,44.8%,33
145,Jēkabpils 2. vidusskola,LAT12,35.5%,33
145,Jēkabpils 2. vidusskola,MAT12,32.1%,33
145,Jēkabpils 3. vidusskola,ANG12,61.7%,33
145,Jēkabpils 3. vidusskola,LAT12,57.2%,36
145,Jēkabpils 3. vidusskola,MAT12,25.9%,36
145,Jēkabpils Agrobiznesa koledža,ANG12,58.4%,55
145,Jēkabpils Agrobiznesa koledža,LAT12,44.9%,70
145,Jēkabpils Agrobiznesa koledža,MAT12,21.2%,69
145,Jēkabpils vakara vidusskola,ANG12,63.5%,8
145,Jēkabpils vakara vidusskola,LAT12,44.9%,14
145,Jēkabpils vakara vidusskola,MAT12,24.5%,14
145,Jēkabpils Valsts ģimnāzija,ANG12,73.0%,76
145,Jēkabpils Valsts ģimnāzija,LAT12,72.2%,85
145,Jēkabpils Valsts ģimnāzija,MAT12,43.3%,85
146,JŪRMALA (strukt.),ANG12,60.0%,9
146,JŪRMALA (strukt.),LAT12,51.8%,9
146,JŪRMALA (strukt.),MAT12,24.9%,9
146,Jūrmalas pilsētas Jaundubultu vidusskola,ANG12,42.1%,8
146,Jūrmalas pilsētas Jaundubultu vidusskola,LAT12,29.5%,9
146,Jūrmalas pilsētas Jaundubultu vidusskola,MAT12,20.3%,9
146,Jūrmalas pilsētas Kauguru vidusskola,ANG12,56.0%,35
146,Jūrmalas pilsētas Kauguru vidusskola,LAT12,44.0%,35
146,Jūrmalas pilsētas Kauguru vidusskola,MAT12,36.7%,35
146,Jūrmalas pilsētas Mežmalas vidusskola,ANG12,41.3%,20
146,Jūrmalas pilsētas Mežmalas vidusskola,LAT12,28.5%,20
146,Jūrmalas pilsētas Mežmalas vidusskola,MAT12,21.3%,20
146,Jūrmalas vakara vidusskola,ANG12,43.7%,17
146,Jūrmalas vakara vidusskola,LAT12,39.3%,25
146,Jūrmalas vakara vidusskola,MAT12,12.5%,25
146,Jūrmalas Valsts ģimnāzija,ANG12,76.6%,35
146,Jūrmalas Valsts ģimnāzija,LAT12,61.5%,40
146,Jūrmalas Valsts ģimnāzija,MAT12,41.3%,40
146,Majoru vidusskola,ANG12,65.1%,16
146,Majoru vidusskola,LAT12,41.8%,17
146,Majoru vidusskola,MAT12,25.1%,17
146,Pumpuru vidusskola,ANG12,74.7%,24
146,Pumpuru vidusskola,LAT12,53.9%,34
146,Pumpuru vidusskola,MAT12,29.5%,34
146,"Sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola"" (prof.)",ANG12,51.2%,26
146,"Sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola"" (prof.)",LAT12,43.7%,27
146,"Sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola"" (prof.)",MAT12,14.1%,28
146,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola (prof.),ANG12,40.7%,5
146,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola (prof.),LAT12,45.6%,5
146,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola (prof.),MAT12,27.8%,5
147,Kandavas Kārļa Mīlenbaha vidusskola,ANG12,62.7%,16
147,Kandavas Kārļa Mīlenbaha vidusskola,LAT12,61.8%,16
147,Kandavas Kārļa Mīlenbaha vidusskola,MAT12,45.0%,15
147,Kandavas Lauksaimniecības tehnikums (prof.),ANG12,42.8%,89
147,Kandavas Lauksaimniecības tehnikums (prof.),LAT12,39.1%,87
147,Kandavas Lauksaimniecības tehnikums (prof.),MAT12,16.0%,89
147,Kandavas Reģionālā vidusskola,ANG12,71.2%,2
147,Kandavas Reģionālā vidusskola,LAT12,49.4%,2
147,Kandavas Reģionālā vidusskola,MAT12,25.9%,2
148,Kārsavas vidusskola,ANG12,74.3%,10
148,Kārsavas vidusskola,LAT12,59.0%,14
148,Kārsavas vidusskola,MAT12,55.4%,14
148,Malnavas koledža,ANG12,46.7%,26
148,Malnavas koledža,LAT12,33.4%,55
148,Malnavas koledža,MAT12,15.8%,60
149,Ilmāra Gaiša Kokneses vidusskola,ANG12,69.9%,25
149,Ilmāra Gaiša Kokneses vidusskola,LAT12,50.7%,27
149,Ilmāra Gaiša Kokneses vidusskola,MAT12,25.5%,27
150,Krāslavas Valsts ģimnāzija,ANG12,61.4%,21
150,Krāslavas Valsts ģimnāzija,LAT12,46.2%,45
150,Krāslavas Valsts ģimnāzija,MAT12,40.4%,45
150,Krāslavas Varavīksnes vidusskola,ANG12,53.3%,20
150,Krāslavas Varavīksnes vidusskola,LAT12,38.7%,20
150,Krāslavas Varavīksnes vidusskola,MAT12,38.2%,20
150,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība (prof.) (strukt.),ANG12,29.2%,20
150,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība (prof.) (strukt.),LAT12,25.9%,19
150,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība (prof.) (strukt.),MAT12,24.1%,19
151,Krimuldas vidusskola,ANG12,61.9%,11
151,Krimuldas vidusskola,LAT12,51.1%,13
151,Krimuldas vidusskola,MAT12,28.5%,13
152,Brāļu Skrindu Atašienes vidusskola,LAT12,39.2%,1
152,Brāļu Skrindu Atašienes vidusskola,MAT12,35.0%,1
153,Kuldīgas 2. vidusskola,ANG12,56.7%,30
153,Kuldīgas 2. vidusskola,LAT12,41.2%,32
153,Kuldīgas 2. vidusskola,MAT12,19.4%,32
153,Kuldīgas Centra vidusskola,ANG12,70.9%,29
153,Kuldīgas Centra vidusskola,LAT12,61.2%,30
153,Kuldīgas Centra vidusskola,MAT12,31.9%,30
153,Kuldīgas Mākslas un humanitāro zinību vidusskola,ANG12,76.9%,23
153,Kuldīgas Mākslas un humanitāro zinību vidusskola,LAT12,66.8%,24
153,Kuldīgas Mākslas un humanitāro zinību vidusskola,MAT12,46.5%,24
153,Kuldīgas Tehnoloģiju un tūrisma tehnikums (prof.),ANG12,49.8%,49
153,Kuldīgas Tehnoloģiju un tūrisma tehnikums (prof.),LAT12,36.8%,49
153,Kuldīgas Tehnoloģiju un tūrisma tehnikums (prof.),MAT12,16.8%,50
153,V. Plūdoņa Kuldīgas vidusskola,ANG12,70.1%,13
153,V. Plūdoņa Kuldīgas vidusskola,LAT12,64.8%,13
153,V. Plūdoņa Kuldīgas vidusskola,MAT12,32.8%,13
154,Ķeguma komercnovirziena vidusskola,ANG12,72.8%,9
154,Ķeguma komercnovirziena vidusskola,LAT12,61.8%,10
154,Ķeguma komercnovirziena vidusskola,MAT12,38.3%,10
155,Baložu vidusskola,ANG12,83.1%,7
155,Baložu vidusskola,LAT12,59.2%,5
155,Baložu vidusskola,MAT12,25.4%,5
155,Ķekavas vidusskola,ANG12,74.7%,28
155,Ķekavas vidusskola,LAT12,59.7%,30
155,Ķekavas vidusskola,MAT12,32.3%,30
