Izglītības iestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
Dricānu vidusskola,39.11%,12,MAT9
Drustu pamatskola,52.00%,5,MAT9
Dundagas vidusskola,53.76%,22,MAT9
Dzelzavas pamatskola,37.52%,7,MAT9
Dzērves pamatskola,38.67%,6,MAT9
Dzimtmisas pamatskola,47.33%,8,MAT9
Džūkstes pamatskola,57.87%,10,MAT9
Edgara Kauliņa Lielvārdes vidusskola,44.24%,45,MAT9
Ēdoles pamatskola,51.47%,5,MAT9
Elejas vidusskola,54.62%,31,MAT9
Emīla Dārziņa mūzikas skola,75.00%,32,MAT9
Engures vidusskola,50.48%,14,MAT9
Ērģemes pamatskola,46.33%,4,MAT9
Ērgļu vidusskola,53.25%,17,MAT9
Ernsta Glika Alūksnes Valsts ģimnāzija,59.97%,53,MAT9
Ēveles pamatskola,44.67%,8,MAT9
Ezernieku vidusskola,47.37%,21,MAT9
Feimaņu pamatskola,63.83%,8,MAT9
"filiāle ""Laidzes pamatskola""",41.33%,8,MAT9
Friča Brīvzemnieka pamatskola,38.83%,25,MAT9
Gaigalavas pamatskola,34.86%,7,MAT9
Gaiķu pamatskola,52.00%,1,MAT9
Galēnu pamatskola,49.78%,6,MAT9
Galgauskas pamatskola,44.00%,2,MAT9
Gardenes pamatskola,40.44%,9,MAT9
Garkalnes Mākslu un vispārizglītojošā pamatskola,59.67%,24,MAT9
Garlība Merķeļa Lēdurgas pamatskola,60.00%,7,MAT9
Garozas pamatskola,35.38%,15,MAT9
Gaujienas pamatskola,44.53%,5,MAT9
Gaviezes pamatskola,42.67%,3,MAT9
Griķu pamatskola,43.22%,12,MAT9
Grobiņas ģimnāzija,61.79%,55,MAT9
Grundzāles pamatskola,61.45%,11,MAT9
Gulbenes 2. vidusskola,43.00%,67,MAT9
Gulbenes novada valsts ģimnāzija,61.52%,28,MAT9
Gulbīša pamatskola,37.67%,8,MAT9
Habad Ebreju privātā vidusskola,42.22%,3,MAT9
Iecavas internātpamatskola,47.71%,14,MAT9
Iecavas vidusskola,50.04%,55,MAT9
Ikšķiles vidusskola,61.41%,74,MAT9
Iļģuciema vidusskola,49.59%,31,MAT9
Ilmāra Gaiša Kokneses vidusskola,43.08%,42,MAT9
Ilūkstes Raiņa vidusskola,50.06%,31,MAT9
Inčukalna pamatskola,51.28%,13,MAT9
Indras pamatskola,45.09%,11,MAT9
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",76.80%,10,MAT9
IPĪV_Dagda,40.89%,6,MAT9
Irlavas pamatskola,51.11%,9,MAT9
J. Čakstes Liepājas pilsētas 10. vidusskola,46.19%,48,MAT9
J. Endzelīna Kauguru pamatskola,46.11%,12,MAT9
J. Raiņa Daugavpils 6. vidusskola,55.40%,31,MAT9
J.G.Herdera Rīgas Grīziņkalna vidusskola,48.59%,50,MAT9
J.Pilsudska Daugavpils valsts poļu ģimnāzija,47.35%,35,MAT9
Jāņa Eglīša Preiļu Valsts ģimnāzija,62.53%,20,MAT9
Jāņa Zālīša Sausnējas pamatskola,50.00%,6,MAT9
Jankas Kupalas Rīgas Baltkrievu pamatskola,50.46%,13,MAT9
Jaunannas Mūzikas un mākslas pamatskola,74.67%,4,MAT9
Jaunjelgavas vidusskola,52.75%,23,MAT9
Jaunmārupes pamatskola,49.30%,37,MAT9
Jaunogres vidusskola,51.22%,43,MAT9
Jaunpiebalgas vidusskola,49.97%,25,MAT9
Jaunpils vidusskola,48.13%,21,MAT9
Jaunsilavas pamatskola,59.73%,10,MAT9
Jaunstrūžānu pamatskola,43.41%,9,MAT9
Jēkabpils 2. vidusskola,52.40%,47,MAT9
Jēkabpils 3. vidusskola,48.32%,63,MAT9
Jēkabpils vakara vidusskola,44.33%,4,MAT9
Jēkabpils Valsts ģimnāzija,57.45%,93,MAT9
Jelgavas 2. pamatskola,61.13%,47,MAT9
Jelgavas 4. vidusskola,46.92%,94,MAT9
Jelgavas 5. vidusskola,54.42%,54,MAT9
Jelgavas 6. vidusskola,54.87%,47,MAT9
Jelgavas Amatu vidusskola,34.92%,16,MAT9
Jelgavas novada Neklātienes vidusskola,22.27%,10,MAT9
"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",52.00%,7,MAT9
Jelgavas Spīdolas Valsts ģimnāzija,67.02%,90,MAT9
Jelgavas Tehnoloģiju vidusskola,44.03%,81,MAT9
Jelgavas Vakara (maiņu) vidusskola,30.67%,3,MAT9
Jelgavas Valsts ģimnāzija,56.40%,120,MAT9
Jersikas pamatskola,49.00%,8,MAT9
Jumpravas pamatskola,56.78%,17,MAT9
Jura Neikena Dikļu pamatskola,45.00%,8,MAT9
JŪRMALA,51.73%,10,MAT9
Jūrmalas Alternatīvā skola,74.95%,19,MAT9
Jūrmalas pilsētas Jaundubultu vidusskola,63.47%,20,MAT9
Jūrmalas pilsētas Kauguru vidusskola,63.59%,45,MAT9
Jūrmalas pilsētas Lielupes pamatskola,63.73%,10,MAT9
Jūrmalas pilsētas Mežmalas vidusskola,52.98%,30,MAT9
Jūrmalas vakara vidusskola,31.11%,3,MAT9
Jūrmalas Valsts ģimnāzija,63.03%,51,MAT9
Kalētu Mūzikas un mākslas pamatskola,60.80%,10,MAT9
Kalnciema pagasta vidusskola,51.52%,11,MAT9
Kalnciema vidusskola,51.33%,16,MAT9
Kalsnavas pamatskola,49.14%,14,MAT9
Kalupes pamatskola,57.13%,13,MAT9
Kalvenes pamatskola,55.33%,8,MAT9
Kandavas internātvidusskola,40.12%,23,MAT9
Kandavas Kārļa Mīlenbaha vidusskola,50.88%,31,MAT9
Kandavas novada Zantes pamatskola,20.17%,8,MAT9
Kapsēdes pamatskola,48.30%,9,MAT9
Kārsavas vidusskola,60.14%,19,MAT9
Kaunatas vidusskola,45.78%,15,MAT9
Ķeguma komercnovirziena vidusskola,57.48%,27,MAT9
Ķeipenes pamatskola,52.61%,11,MAT9
Ķekavas vidusskola,63.57%,86,MAT9
Kocēnu pamatskola,54.84%,23,MAT9
Kolkas pamatskola,67.33%,2,MAT9
Krāslavas gr. Plāteru v.n. Poļu pamatskola,45.33%,5,MAT9
Krāslavas pamatskola,51.70%,27,MAT9
Krāslavas Valsts ģimnāzija,65.74%,23,MAT9
Krāslavas Varavīksnes vidusskola,53.53%,41,MAT9
Krimuldas vidusskola,47.33%,22,MAT9
Krišjāņa Valdemāra Ainažu pamatskola,46.33%,8,MAT9
Kristiāna Dāvida pamatskola,50.67%,1,MAT9
Krotes Kronvalda Ata pamatskola,50.67%,7,MAT9
Krustpils pamatskola,48.33%,12,MAT9
Kuldīgas 2. vidusskola,37.78%,42,MAT9
Kuldīgas Centra vidusskola,51.87%,52,MAT9
Kuldīgas Mākslas un humanitāro zinību vidusskola,57.18%,26,MAT9
Kusas pamatskola,39.11%,12,MAT9
Lāču pamatskola,46.87%,13,MAT9
Lādezera pamatskola,44.84%,19,MAT9
Laidu pamatskola,31.33%,4,MAT9
Lapmežciema pamatskola,59.43%,7,MAT9
Laucesas pamatskola,61.85%,13,MAT9
Laucienes pamatskola,56.78%,17,MAT9
Lazdonas pamatskola,34.89%,6,MAT9
Lēdmanes pamatskola,33.78%,15,MAT9
Lejasciema vidusskola,58.33%,12,MAT9
Lielvārdes pamatskola,50.86%,35,MAT9
Liepājas 3. pamatskola,28.31%,30,MAT9
Liepājas 7. vidusskola,40.10%,64,MAT9
Liepājas 8. vidusskola,35.44%,57,MAT9
Liepājas A. Puškina 2. vidusskola,55.62%,56,MAT9
Liepājas internātpamatskola,19.60%,10,MAT9
Liepājas Katoļu pamatskola,55.33%,6,MAT9
Liepājas pilsētas 12. vidusskola,50.80%,51,MAT9
Liepājas Raiņa 6. vidusskola,37.79%,84,MAT9
Liepājas vakara (maiņu) vidusskola,30.80%,10,MAT9
Liepājas Valsts 1. ģimnāzija,53.44%,90,MAT9
Liepas pamatskola,39.27%,11,MAT9
Liepnas vidusskola,51.33%,2,MAT9
Liepu pamatskola,54.53%,10,MAT9
Liepupes pamatskola,52.00%,10,MAT9
Liezēres pamatskola,54.44%,6,MAT9
Līgatnes novada vidusskola,53.04%,9,MAT9
Limbažu 3. vidusskola,51.79%,32,MAT9
Limbažu novada ģimnāzija,62.02%,39,MAT9
Līvānu 1. vidusskola,65.71%,35,MAT9
Līvānu 2. vidusskola,50.59%,35,MAT9
Līvānu novada Vakara (maiņu) vidusskola,38.93%,5,MAT9
Līvbērzes pamatskola,30.67%,7,MAT9
Lizuma vidusskola,49.74%,13,MAT9
Lubānas vidusskola,50.53%,19,MAT9
Lūcijas Rancānes Makašānu Amatu vidusskola,36.50%,8,MAT9
Ludzas 2. vidusskola,40.49%,38,MAT9
Ludzas novada vakara vidusskola,17.78%,3,MAT9
Ludzas pilsētas ģimnāzija,48.30%,53,MAT9
Madlienas vidusskola,48.25%,16,MAT9
Madonas pilsētas vidusskola,45.59%,63,MAT9
Madonas Valsts ģimnāzija,74.60%,38,MAT9
Majoru vidusskola,61.26%,35,MAT9
Malienas pamatskola,38.00%,6,MAT9
Mālpils novada vidusskola,53.07%,25,MAT9
Maltas vidusskola,51.47%,33,MAT9
Mārupes pamatskola,49.85%,13,MAT9
Mārupes vidusskola,61.97%,84,MAT9
Māteru Jura Kazdangas pamatskola,46.18%,11,MAT9
Matīšu pamatskola,47.20%,10,MAT9
Mazozolu filiāle,58.67%,3,MAT9
Mazsalacas vidusskola,41.26%,19,MAT9
Mazzalves pamatskola,45.20%,10,MAT9
Medumu pamatskola,58.67%,6,MAT9
Meirānu Kalpaka pamatskola,28.67%,4,MAT9
Mērdzenes pamatskola,54.00%,6,MAT9
Mērsraga vidusskola,63.89%,12,MAT9
Mētrienas pamatskola,63.00%,4,MAT9
Mežāres pamatskola,53.78%,3,MAT9
Mežciema pamatskola,69.53%,54,MAT9
Mežgaļu pamatskola,65.33%,15,MAT9
Mežinieku pamatskola,42.11%,12,MAT9
Mežvidu pamatskola,52.89%,6,MAT9
Misas vidusskola,37.33%,8,MAT9
Mores pamatskola,37.33%,3,MAT9
Murjāņu sporta ģimnāzija,42.85%,37,MAT9
Murmastienes pamatskola,65.33%,2,MAT9
Naujenes pamatskola,54.00%,14,MAT9
Naukšēnu novada vidusskola,44.42%,16,MAT9
Nautrēnu vidusskola,64.89%,9,MAT9
Neretas Jāņa Jaunsudrabiņa vidusskola,64.38%,14,MAT9
Nīcas vidusskola,61.05%,19,MAT9
Nīgrandes pagasta Kalnu vidusskola,53.85%,18,MAT9
Nīkrāces pamatskola,34.22%,6,MAT9
Nītaures vidusskola,66.67%,10,MAT9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,46.70%,40,MAT9
Ogres 1. vidusskola,55.96%,95,MAT9
Ogres Valsts ģimnāzija,62.18%,77,MAT9
Ogresgala pamatskola,60.33%,12,MAT9
Ojāra Vācieša Gaujienas pamatskola,62.22%,9,MAT9
Olaines 1. vidusskola,59.70%,57,MAT9
Olaines 2. vidusskola,50.28%,72,MAT9
Oskara Kalpaka Liepājas 15. vidusskola,43.58%,54,MAT9
Ozolmuižas pamatskola,32.44%,3,MAT9
Ozolnieku vidusskola,62.33%,36,MAT9
Pāles pamatskola,50.33%,8,MAT9
Palsmanes pamatskola,44.40%,10,MAT9
"Pamatskola ""Rīdze""",66.18%,60,MAT9
Pastendes pamatskola,46.00%,10,MAT9
Pāvilostas vidusskola,58.38%,14,MAT9
Pededzes pamatskola,37.33%,5,MAT9
Pelēču pamatskola,52.27%,5,MAT9
Penkules pamatskola,62.55%,11,MAT9
Pildas pamatskola,46.00%,2,MAT9
Pilsrundāles vidusskola,50.62%,27,MAT9
Piltenes vidusskola,47.15%,11,MAT9
Pļaviņu novada ģimnāzija,64.98%,30,MAT9
Popes pamatskola,55.81%,7,MAT9
Praulienas pamatskola,47.83%,8,MAT9
Preiļu 1. pamatskola,45.22%,23,MAT9
Preiļu 2. vidusskola,56.67%,16,MAT9
Priekules vidusskola,40.63%,21,MAT9
Priekuļu tehnikums,28.38%,7,MAT9
Priekuļu vidusskola,48.98%,41,MAT9
Priežmalas pamatskola,41.90%,7,MAT9
"Privātā pamatskola ""Gaismas tilts 97""",59.73%,5,MAT9
"Privātā pamatskola ""Maksima""",84.53%,10,MAT9
Privātā Rīgas Tehnolingvistiskā ģimnāzija,54.13%,5,MAT9
"Privātā vidusskola ""Citruss""",56.00%,4,MAT9
"Privātā vidusskola ""Klasika""",60.27%,10,MAT9
"Privātā vidusskola ""Laisma""",67.56%,6,MAT9
"Privātā vidusskola ""Norma""",49.78%,3,MAT9
"Privātā vidusskola ""Patnis""",50.15%,13,MAT9
"Privātā vidusskola ""RIMS""",54.67%,5,MAT9
"Privātā vidusskola ""Templum""",39.11%,9,MAT9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,64.27%,35,MAT9
"Privātskola ""Latreia""",74.17%,8,MAT9
Pumpuru vidusskola,52.23%,57,MAT9
Pūņu pamatskola,56.24%,11,MAT9
Pūres pamatskola,45.96%,15,MAT9
Puškina licejs,65.53%,41,MAT9
Pušmucovas pamatskola,43.20%,5,MAT9
Puzes pamatskola,63.11%,3,MAT9
Rāmuļu pamatskola,34.17%,8,MAT9
Randenes pamatskola,53.33%,6,MAT9
Rankas pamatskola,36.89%,9,MAT9
Raunas vidusskola,57.07%,15,MAT9
Rekavas vidusskola,46.76%,14,MAT9
Rencēnu pamatskola,77.78%,3,MAT9
Rēzeknes 2. vidusskola,64.69%,48,MAT9
Rēzeknes 3. vidusskola,64.95%,31,MAT9
Rēzeknes 4. vidusskola,55.67%,20,MAT9
Rēzeknes 5. vidusskola,66.15%,44,MAT9
Rēzeknes 6. vidusskola,57.09%,38,MAT9
Rēzeknes internātpamatskola-attīstības centrs,37.33%,6,MAT9
Rēzeknes Katoļu vidusskola,54.30%,11,MAT9
Rēzeknes Valsts 1. ģimnāzija,62.90%,63,MAT9
Rēzeknes valsts poļu ģimnāzija,60.10%,40,MAT9
Rēznas pamatskola,49.33%,8,MAT9
Riebiņu vidusskola,44.82%,13,MAT9
Rīgas 1. Privātā tālmācības vidusskola,53.33%,1,MAT9
Rīgas 1. Tālmācības vidusskola,34.51%,42,MAT9
Rīgas 1. vidusskola,32.11%,47,MAT9
Rīgas 10. vidusskola,72.50%,67,MAT9
Rīgas 13. vidusskola,70.35%,46,MAT9
Rīgas 14. vakara (maiņu) vidusskola,13.83%,8,MAT9
Rīgas 15. vidusskola,33.75%,29,MAT9
Rīgas 18. vakara (maiņu) vidusskola,21.11%,12,MAT9
Rīgas 19. vidusskola,37.43%,27,MAT9
Rīgas 21. vidusskola,56.99%,39,MAT9
Rīgas 22. vidusskola,66.81%,55,MAT9
Rīgas 25. vidusskola,49.11%,48,MAT9
Rīgas 28. vidusskola,37.33%,15,MAT9
Rīgas 29. vidusskola,17.90%,7,MAT9
Rīgas 31. vidusskola,46.95%,33,MAT9
Rīgas 33. vidusskola,49.94%,66,MAT9
Rīgas 34. vidusskola,71.50%,88,MAT9
Rīgas 37. vidusskola,58.67%,11,MAT9
Rīgas 40. vidusskola,76.74%,74,MAT9
Rīgas 41. vidusskola,42.25%,35,MAT9
Rīgas 45. vidusskola,50.72%,55,MAT9
Rīgas 46. vidusskola,58.67%,33,MAT9
Rīgas 47. vidusskola,51.37%,40,MAT9
Rīgas 49. vidusskola,77.89%,86,MAT9
Rīgas 51. vidusskola,51.69%,34,MAT9
Rīgas 53. vidusskola,44.96%,25,MAT9
Rīgas 54. vidusskola,48.57%,28,MAT9
Rīgas 6. vidusskola,60.35%,57,MAT9
Rīgas 60. vidusskola,48.83%,50,MAT9
Rīgas 61. vidusskola,57.68%,19,MAT9
Rīgas 63. vidusskola,48.55%,53,MAT9
Rīgas 64. vidusskola,72.17%,84,MAT9
Rīgas 65. vidusskola,56.41%,26,MAT9
Rīgas 66. speciālā vidusskola,48.39%,17,MAT9
Rīgas 69. vidusskola,61.93%,18,MAT9
Rīgas 7. pamatskola,61.90%,7,MAT9
Rīgas 71. vidusskola,58.04%,38,MAT9
Rīgas 72. vidusskola,57.91%,85,MAT9
Rīgas 74. vidusskola,46.19%,28,MAT9
Rīgas 75. vidusskola,45.42%,45,MAT9
Rīgas 80. vidusskola,44.00%,41,MAT9
Rīgas 84. vidusskola,61.78%,66,MAT9
Rīgas 85. vidusskola,55.59%,23,MAT9
Rīgas 86. vidusskola,50.70%,41,MAT9
Rīgas 88. vidusskola,50.92%,64,MAT9
Rīgas 89. vidusskola,40.21%,44,MAT9
Rīgas 9. vakara (maiņu) vidusskola,24.62%,15,MAT9
Rīgas 92. vidusskola,42.21%,50,MAT9
Rīgas 93. vidusskola,54.16%,37,MAT9
Rīgas 94. vidusskola,53.54%,33,MAT9
Rīgas 95. vidusskola,46.23%,58,MAT9
Rīgas 96. vidusskola,52.60%,71,MAT9
Rīgas Angļu ģimnāzija,61.47%,85,MAT9
Rīgas Anniņmuižas vidusskola,47.57%,56,MAT9
Rīgas Austrumu vidusskola,48.11%,35,MAT9
Rīgas Avotu pamatskola,42.67%,18,MAT9
Rīgas Centra daiļamatniecības pamatskola,57.93%,20,MAT9
Rīgas Centra humanitārā vidusskola,73.69%,89,MAT9
Rīgas Daugavgrīvas vidusskola,70.22%,30,MAT9
Rīgas Doma kora skola,60.44%,24,MAT9
Rīgas Ezerkrastu pamatskola,27.33%,16,MAT9
Rīgas Franču licejs,64.32%,59,MAT9
Rīgas Hanzas vidusskola,50.71%,67,MAT9
Rīgas Igauņu pamatskola,65.13%,13,MAT9
Rīgas Imantas vidusskola,55.51%,54,MAT9
Rīgas internātvidusskola bērniem ar dzirdes traucējumiem,0.00%,1,MAT9
Rīgas Itas Kozakēvičas Poļu vidusskola,53.39%,23,MAT9
Rīgas Jāņa Poruka vidusskola,32.05%,25,MAT9
Rīgas Juglas vidusskola,58.92%,114,MAT9
Rīgas Katoļu ģimnāzija,43.20%,10,MAT9
Rīgas Ķengaraga vidusskola,54.22%,60,MAT9
Rīgas Klasiskā ģimnāzija,66.35%,94,MAT9
Rīgas Kristīgā vidusskola,48.98%,19,MAT9
Rīgas Kultūru vidusskola,60.48%,50,MAT9
Rīgas Lastādijas internātpamatskola,22.93%,15,MAT9
Rīgas Lietuviešu vidusskola,72.72%,26,MAT9
Rīgas Mūzikas internātvidusskola,25.00%,16,MAT9
Rīgas Natālijas Draudziņas vidusskola ,57.26%,37,MAT9
Rīgas Ostvalda vidusskola,62.01%,49,MAT9
Rīgas Pārdaugavas pamatskola,49.72%,31,MAT9
Rīgas Pļavnieku pamatskola,51.76%,45,MAT9
Rīgas Purvciema vidusskola,69.71%,110,MAT9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,17.60%,20,MAT9
Rīgas Rīnūžu vidusskola,56.16%,50,MAT9
Rīgas Sergeja Žoltoka vidusskola,42.20%,20,MAT9
Rīgas Tālmācības vidusskola,40.16%,17,MAT9
Rīgas Teikas vidusskola,70.37%,90,MAT9
Rīgas Ukraiņu vidusskola,74.60%,21,MAT9
Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola,63.24%,7,MAT9
Rīgas vakara ģimnāzija,40.98%,34,MAT9
Rīgas Valdorfskola,66.32%,19,MAT9
Rīgas Valsts 1. ģimnāzija,97.76%,124,MAT9
Rīgas Valsts 2. ģimnāzija,88.48%,115,MAT9
Rīgas Valsts 3. ģimnāzija,90.75%,93,MAT9
Rīgas Valsts vācu ģimnāzija,64.74%,107,MAT9
"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",85.33%,3,MAT9
Rīgas Zolitūdes ģimnāzija,69.51%,120,MAT9
Robežnieku pamatskola,49.67%,4,MAT9
Rojas vidusskola,48.46%,29,MAT9
Ropažu vidusskola,55.93%,19,MAT9
Rožupes pamatskola,54.67%,1,MAT9
Rubenes pamatskola,54.53%,10,MAT9
Rubeņu pamatskola,60.72%,13,MAT9
Rucavas pamatskola,68.00%,6,MAT9
Rudzātu vidusskola,74.29%,7,MAT9
Rugāju novada Eglaines pamatskola,61.60%,5,MAT9
Rugāju novada vidusskola,39.82%,15,MAT9
Rūjienas vidusskola,56.67%,44,MAT9
Rušonas pamatskola,58.67%,5,MAT9
Š. Dubnova Rīgas Ebreju vidusskola,66.00%,14,MAT9
Sabiles pamatskola,38.37%,9,MAT9
Sakstagala Jāņa Klīdzēja pamatskola,43.93%,18,MAT9
Salacgrīvas vidusskola,51.36%,29,MAT9
Salas pamatskola,61.33%,4,MAT9
Salas vidusskola,48.27%,20,MAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",54.65%,68,MAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",54.97%,52,MAT9
Saldus novada pašvaldības Druvas vidusskola,60.57%,35,MAT9
Saldus novada pašvaldības Ezeres pamatskola,61.09%,11,MAT9
Saldus novada pašvaldības Jaunlutriņu pamatskola,41.78%,3,MAT9
Saldus novada pašvaldības Kursīšu pamatskola,53.07%,5,MAT9
Saldus novada pašvaldības Lutriņu pamatskola,42.93%,5,MAT9
Saldus novada pašvaldības Pampāļu pamatskola,59.17%,8,MAT9
Saldus novada pašvaldības Rubas pamatskola,62.00%,10,MAT9
Saldus novada pašvaldības Zirņu pamatskola,42.22%,9,MAT9
Saldus pamatskola,55.10%,31,MAT9
Saldus vidusskola,52.28%,48,MAT9
Salgales pamatskola,41.50%,8,MAT9
Salienas vidusskola,51.90%,13,MAT9
Salnavas pamatskola,56.00%,3,MAT9
Saulkrastu vidusskola,54.71%,28,MAT9
Seces pagasta pamatskola,49.67%,8,MAT9
Sējas pamatskola,52.00%,17,MAT9
Sesavas pamatskola,36.67%,4,MAT9
Siguldas 1. pamatskola,52.26%,31,MAT9
Siguldas pilsētas vidusskola,49.87%,20,MAT9
Siguldas Valsts ģimnāzija,79.61%,83,MAT9
Sikšņu pamatskola,47.33%,4,MAT9
Silenes pamatskola,62.00%,6,MAT9
Sīļukalna pamatskola,35.33%,2,MAT9
Skaistkalnes vidusskola,56.44%,18,MAT9
Šķibes pamatskola,61.64%,13,MAT9
Skrundas vidusskola,50.74%,37,MAT9
Slokas pamatskola,64.99%,27,MAT9
Smārdes pamatskola,55.92%,17,MAT9
Smiltenes vidusskola,49.38%,64,MAT9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",57.33%,2,MAT9
Špoģu vidusskola,61.12%,31,MAT9
Stacijas pamatskola,43.81%,7,MAT9
Staiceles pamatskola,48.53%,10,MAT9
Stāķu pamatskola,46.52%,9,MAT9
Stalbes vidusskola,51.67%,8,MAT9
Staļģenes vidusskola,45.44%,13,MAT9
Stāmerienas pamatskola,42.44%,6,MAT9
Stelpes pamatskola,42.33%,4,MAT9
Stendes pamatskola,55.15%,11,MAT9
Stopiņu pamatskola,49.33%,8,MAT9
Straupes pamatskola,58.67%,5,MAT9
Strautiņu pamatskola,59.26%,9,MAT9
Strenču novada vidusskola,58.61%,23,MAT9
Sunākstes pamatskola,54.67%,1,MAT9
Suntažu pamatskola - rehabilitācijas centrs,35.33%,2,MAT9
Suntažu vidusskola,51.75%,16,MAT9
Sūnu pamatskola,46.78%,12,MAT9
Sventes vidusskola,55.33%,8,MAT9
Svētes pamatskola,49.56%,18,MAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",41.97%,25,MAT9
Talsu 2. vidusskola,51.96%,60,MAT9
Talsu Kristīgā vidusskola,60.40%,20,MAT9
Talsu novada Vakara un neklātienes vidusskola,37.33%,10,MAT9
Talsu pamatskola,52.58%,16,MAT9
Talsu Valsts ģimnāzija,58.37%,40,MAT9
Tārgales pamatskola,49.82%,11,MAT9
Taurupes pamatskola,36.44%,3,MAT9
Teteles pamatskola,54.37%,18,MAT9
Tilžas internātpamatskola,46.13%,5,MAT9
Tilžas vidusskola,55.88%,11,MAT9
Tirzas pamatskola,44.15%,9,MAT9
Tiskādu vidusskola,46.81%,27,MAT9
Torņakalna Privātā vidusskola,50.40%,5,MAT9
Trikātas pamatskola,41.33%,7,MAT9
Tukuma 2. pamatskola,62.57%,40,MAT9
Tukuma 2. vidusskola,38.00%,60,MAT9
Tukuma 3. pamatskola,51.11%,18,MAT9
Tukuma E. Birznieka-Upīša 1. pamatskola,49.48%,9,MAT9
Tukuma Raiņa ģimnāzija,66.45%,31,MAT9
Tukuma Vakara un neklātienes vidusskola,30.22%,6,MAT9
Tumes vidusskola,42.12%,17,MAT9
Turlavas pamatskola,46.13%,10,MAT9
Ugāles vidusskola,50.56%,12,MAT9
Ulbrokas vidusskola,55.44%,62,MAT9
Umurgas pamatskola,66.81%,9,MAT9
Upesleju internātpamatskola - rehabilitācijas centrs,45.33%,4,MAT9
Užavas pamatskola,34.42%,11,MAT9
V. Plūdoņa Kuldīgas vidusskola,52.29%,51,MAT9
Vaboles vidusskola,72.57%,7,MAT9
Vaiņodes vidusskola,35.50%,16,MAT9
Vaivaru pamatskola,41.07%,10,MAT9
Valdemārpils vidusskola,49.26%,19,MAT9
Valkas Jāņa Cimzes ģimnāzija,48.02%,59,MAT9
Valmieras 2. vidusskola,44.84%,35,MAT9
Valmieras 5. vidusskola,45.93%,18,MAT9
Valmieras Gaujas krasta vidusskola - attīstības centrs,0.00%,6,MAT9
Valmieras Pārgaujas ģimnāzija,59.86%,86,MAT9
Valmieras tehnikums Rankas teritoriālā struktūrvienība,33.33%,1,MAT9
Valmieras Valsts ģimnāzija,67.72%,66,MAT9
Valmieras Viestura vidusskola,51.14%,71,MAT9
Valsts izglītības satura centrs (VISC),0.00%,1,MAT9
Vandzenes pamatskola,40.44%,9,MAT9
Vānes pamatskola,48.12%,11,MAT9
Vangažu vidusskola,60.05%,28,MAT9
Varakļānu vidusskola,49.53%,27,MAT9
Variņu pamatskola,41.67%,4,MAT9
Vārkavas vidusskola,43.20%,15,MAT9
Vārmes pamatskola,57.67%,16,MAT9
Vecpiebalgas novada pamatskola,60.67%,2,MAT9
Vecpiebalgas vidusskola,51.52%,14,MAT9
Vecsaules pamatskola,48.80%,15,MAT9
Vecumnieku novada Domes Valles vidusskola,37.18%,17,MAT9
Vecumnieku vidusskola,48.38%,21,MAT9
Ventspils 1. pamatskola,51.27%,31,MAT9
Ventspils 2. pamatskola,42.98%,17,MAT9
Ventspils 2. vidusskola,71.67%,41,MAT9
Ventspils 3. vidusskola,49.69%,34,MAT9
Ventspils 4. vidusskola,57.39%,48,MAT9
Ventspils 6. vidusskola,47.21%,39,MAT9
Ventspils Pārventas pamatskola,51.67%,20,MAT9
Ventspils Valsts 1. ģimnāzija,67.92%,64,MAT9
Verēmu pamatskola,68.67%,10,MAT9
Vērgales pamatskola,56.00%,8,MAT9
Vestienas pamatskola,56.00%,7,MAT9
Vidrižu pamatskola,42.40%,5,MAT9
Viduču pamatskola,71.41%,9,MAT9
Viesītes vidusskola,62.54%,32,MAT9
Viļakas Valsts ģimnāzija,49.76%,22,MAT9
Viļānu vidusskola,53.98%,35,MAT9
Vilces pamatskola,50.00%,6,MAT9
Vilgāles pamatskola,33.67%,8,MAT9
Vīpes pamatskola,49.56%,6,MAT9
Virbu pamatskola,40.67%,10,MAT9
Vircavas vidusskola,35.22%,34,MAT9
Virgas pamatskola,49.19%,9,MAT9
Z.A. Meierovica Kabiles pamatskola,66.29%,7,MAT9
Zaķumuižas pamatskola,51.18%,13,MAT9
Zaļenieku komerciālā un amatniecības vidusskola,32.00%,10,MAT9
Zasas vidusskola,31.71%,14,MAT9
Zaubes pamatskola,37.56%,6,MAT9
Zemgales vidusskola,64.89%,12,MAT9
Zemītes pamatskola,33.33%,1,MAT9
Ziemeļvalstu ģimnāzija,50.89%,67,MAT9
Ziemeru pamatskola,47.33%,6,MAT9
Žīguru pamatskola,52.00%,4,MAT9
Zilupes vidusskola,44.10%,28,MAT9
