"Novada 
kods",Skola,"Skolas 
kods",Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
26,J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,MAT12,50.95%,21
26,J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,LAT12,50.70%,21
26,Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,ANG12,35.77%,8
26,Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,MAT12,22.42%,8
26,Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,LAT12,48.22%,8
27,Dobeles 1. vidusskola,2731307,ANG12,54.22%,18
27,Dobeles 1. vidusskola,2731307,MAT12,21.55%,21
27,Dobeles 1. vidusskola,2731307,LAT12,54.51%,21
27,Dobeles AMAT12niecības un vispārizglītojošā vidusskola,2771322,ANG12,39.30%,57
27,Dobeles AMAT12niecības un vispārizglītojošā vidusskola,2771322,MAT12,12.14%,77
27,Dobeles AMAT12niecības un vispārizglītojošā vidusskola,2771322,LAT12,37.22%,76
27,Dobeles Valsts ģimnāzija,2761312,ANG12,72.50%,41
27,Dobeles Valsts ģimnāzija,2761312,MAT12,48.75%,42
27,Dobeles Valsts ģimnāzija,2761312,LAT12,61.43%,42
28,Dundagas vidusskola,2831401,ANG12,66.78%,13
28,Dundagas vidusskola,2831401,MAT12,30.48%,13
28,Dundagas vidusskola,2831401,LAT12,56.99%,13
30,Engures vidusskola,3031401,ANG12,66.14%,4
30,Engures vidusskola,3031401,MAT12,29.00%,5
30,Engures vidusskola,3031401,LAT12,58.29%,5
31,Ērgļu vidusskola,3131402,ANG12,65.57%,12
31,Ērgļu vidusskola,3131402,MAT12,30.16%,12
31,Ērgļu vidusskola,3131402,LAT12,44.93%,12
31,"Priekuļu tehnikums, izglītības programmu īstenošanas vieta Ērgļi",3171401,ANG12,37.07%,8
31,"Priekuļu tehnikums, izglītības programmu īstenošanas vieta Ērgļi",3171401,MAT12,16.82%,11
31,"Priekuļu tehnikums, izglītības programmu īstenošanas vieta Ērgļi",3171401,LAT12,33.67%,11
32,Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,ANG12,66.06%,4
32,Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,MAT12,38.75%,4
32,Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,LAT12,52.98%,4
33,Grobiņas ģimnāzija,3351303,ANG12,62.76%,28
33,Grobiņas ģimnāzija,3351303,MAT12,42.61%,28
33,Grobiņas ģimnāzija,3351303,LAT12,61.36%,28
34,Gulbenes 2. vidusskola,3431304,ANG12,63.81%,26
34,Gulbenes 2. vidusskola,3431304,MAT12,26.53%,33
34,Gulbenes 2. vidusskola,3431304,LAT12,56.85%,33
34,Gulbenes novada valsts ģimnāzija,3461306,ANG12,79.80%,20
34,Gulbenes novada valsts ģimnāzija,3461306,MAT12,45.41%,21
34,Gulbenes novada valsts ģimnāzija,3461306,LAT12,65.88%,21
34,Gulbenes Vakara (maiņu) vidusskola,3441307,ANG12,60.94%,7
34,Gulbenes Vakara (maiņu) vidusskola,3441307,MAT12,18.80%,13
34,Gulbenes Vakara (maiņu) vidusskola,3441307,LAT12,43.84%,12
34,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,ANG12,32.87%,4
34,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,MAT12,9.73%,7
34,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,LAT12,37.98%,7
34,Gulbenes vidusskola,3431309,ANG12,67.01%,6
34,Gulbenes vidusskola,3431309,MAT12,35.31%,6
34,Gulbenes vidusskola,3431309,LAT12,58.24%,6
34,Lejasciema vidusskola,3431413,ANG12,66.46%,2
34,Lejasciema vidusskola,3431413,MAT12,18.75%,4
34,Lejasciema vidusskola,3431413,LAT12,41.76%,4
34,Lizuma vidusskola,3431415,ANG12,65.24%,10
34,Lizuma vidusskola,3431415,MAT12,41.50%,10
34,Lizuma vidusskola,3431415,LAT12,59.54%,10
34,Valmieras tehnikums Rankas teritoriālā struktūrvienība,3471417,ANG12,32.39%,4
34,Valmieras tehnikums Rankas teritoriālā struktūrvienība,3471417,MAT12,15.83%,6
34,Valmieras tehnikums Rankas teritoriālā struktūrvienība,3471417,LAT12,30.21%,6
35,Iecavas vidusskola,3531303,ANG12,70.74%,33
35,Iecavas vidusskola,3531303,MAT12,35.94%,36
35,Iecavas vidusskola,3531303,LAT12,55.05%,36
36,Ikšķiles vidusskola,3631301,ANG12,68.30%,13
36,Ikšķiles vidusskola,3631301,MAT12,49.37%,14
36,Ikšķiles vidusskola,3631301,LAT12,57.63%,14
36,Ogres tehnikums,3671421,ANG12,43.40%,179
36,Ogres tehnikums,3671421,MAT12,14.38%,176
36,Ogres tehnikums,3671421,LAT12,38.31%,177
37,Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,ANG12,61.72%,12
37,Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,MAT12,37.24%,17
37,Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,LAT12,52.13%,17
37,Ilūkstes 1. vidusskola,3731304,ANG12,49.29%,27
