Novads,Skola,Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
126,"Profesionālās izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola ""Saules skola"""" (prof.)",ANG12,47.74,21
126,"Profesionālās izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola ""Saules skola"""" (prof.)",LAT12,45.59,21
126,"Profesionālās izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola ""Saules skola"""" (prof.)",MAT12,17.2,23
126,Staņislava Broka Daugavpils Mūzikas vidusskola (prof.),ANG12,45.55,13
126,Staņislava Broka Daugavpils Mūzikas vidusskola (prof.),LAT12,51.06,14
126,Staņislava Broka Daugavpils Mūzikas vidusskola (prof.),MAT12,33.48,14
127,Dobeles 1. vidusskola,ANG12,61.87,16
127,Dobeles 1. vidusskola,LAT12,56.78,16
127,Dobeles 1. vidusskola,MAT12,30.55,16
127,Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),ANG12,42.51,49
127,Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),LAT12,40.79,64
127,Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),MAT12,14.49,67
127,Dobeles Valsts ģimnāzija,ANG12,76.27,55
127,Dobeles Valsts ģimnāzija,LAT12,63.54,62
127,Dobeles Valsts ģimnāzija,MAT12,51.37,62
128,Dundagas vidusskola,ANG12,63.47,12
128,Dundagas vidusskola,LAT12,70.5,12
128,Dundagas vidusskola,MAT12,40.78,12
130,Engures vidusskola,ANG12,68.89,11
130,Engures vidusskola,LAT12,62.91,11
130,Engures vidusskola,MAT12,38.07,11
131,Ērgļu vidusskola,ANG12,64.83,14
131,Ērgļu vidusskola,LAT12,57.31,14
131,Ērgļu vidusskola,MAT12,32.59,14
131,Izglītības programmu īstenošanas vieta Ērgļi (prof.) (strukt.),ANG12,49.19,6
131,Izglītības programmu īstenošanas vieta Ērgļi (prof.) (strukt.),LAT12,47.97,7
131,Izglītības programmu īstenošanas vieta Ērgļi (prof.) (strukt.),MAT12,29.38,7
133,Grobiņas ģimnāzija,ANG12,78.51,20
133,Grobiņas ģimnāzija,LAT12,74.4,20
133,Grobiņas ģimnāzija,MAT12,37.75,20
134,Gulbenes 2. vidusskola,ANG12,57.61,27
134,Gulbenes 2. vidusskola,LAT12,60.5,29
134,Gulbenes 2. vidusskola,MAT12,30.65,29
134,Gulbenes novada valsts ģimnāzija,ANG12,72.66,30
134,Gulbenes novada valsts ģimnāzija,LAT12,70.77,31
134,Gulbenes novada valsts ģimnāzija,MAT12,48.75,31
134,Gulbenes Vakara (maiņu) vidusskola,ANG12,55.62,12
134,Gulbenes Vakara (maiņu) vidusskola,LAT12,43.14,15
134,Gulbenes Vakara (maiņu) vidusskola,MAT12,30.5,15
134,Lejasciema vidusskola,ANG12,47,9
134,Lejasciema vidusskola,LAT12,55.49,9
134,Lejasciema vidusskola,MAT12,23.47,9
134,Lizuma vidusskola,ANG12,52.55,11
134,Lizuma vidusskola,LAT12,72.21,11
134,Lizuma vidusskola,MAT12,25.97,11
134,RANKAS KONSULTĀCIJU PUNKTS (strukt.),ANG12,29.28,6
134,RANKAS KONSULTĀCIJU PUNKTS (strukt.),LAT12,34.09,9
134,RANKAS KONSULTĀCIJU PUNKTS (strukt.),MAT12,8.19,9
134,Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),ANG12,33.88,10
134,Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),LAT12,29.96,11
134,Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),MAT12,11.12,10
135,Iecavas vidusskola,ANG12,72.34,29
135,Iecavas vidusskola,LAT12,55.65,35
135,Iecavas vidusskola,MAT12,34.61,35
136,Ikšķiles vidusskola,ANG12,72.77,22
136,Ikšķiles vidusskola,LAT12,57.21,23
136,Ikšķiles vidusskola,MAT12,40,23
136,Ogres tehnikums (prof.),ANG12,50.9,152
136,Ogres tehnikums (prof.),LAT12,43.02,151
136,Ogres tehnikums (prof.),MAT12,16.81,155
137,Bebrenes vispārizglītojošā un profesionālā vidusskola,ANG12,44.36,20
137,Bebrenes vispārizglītojošā un profesionālā vidusskola,LAT12,42.36,25
137,Bebrenes vispārizglītojošā un profesionālā vidusskola,MAT12,28.18,25
137,Ilūkstes 1. vidusskola,ANG12,66.6,21
137,Ilūkstes 1. vidusskola,LAT12,57.52,30
137,Ilūkstes 1. vidusskola,MAT12,64.06,30
137,Ilūkstes Sadraudzības vidusskola,ANG12,37.63,15
137,Ilūkstes Sadraudzības vidusskola,LAT12,33.13,20
137,Ilūkstes Sadraudzības vidusskola,MAT12,24.69,20
138,Vangažu vidusskola,ANG12,72.68,13
138,Vangažu vidusskola,LAT12,59.52,16
138,Vangažu vidusskola,MAT12,30.15,17
139,Jaunjelgavas vidusskola,ANG12,73.2,8
139,Jaunjelgavas vidusskola,LAT12,50.28,8
139,Jaunjelgavas vidusskola,MAT12,23.44,8
140,Jaunpiebalgas vidusskola,ANG12,58.23,14
140,Jaunpiebalgas vidusskola,LAT12,56.45,14
140,Jaunpiebalgas vidusskola,MAT12,28.35,14
141,Jaunpils vidusskola,ANG12,46.69,7
