Skola,skolas kods,Priekšmets,Kopvērtējums,Kārtotāju skaits
Aglonas vidusskola,131403,MAT12,69.87%,10
Aglonas vidusskola,131403,ANG12,60.70%,10
Aglonas vidusskola,131403,LAT12,59.43%,10
Aglonas Katoļu ģimnāzija,151402,MAT12,56.25%,1
Aglonas Katoļu ģimnāzija,151402,LAT12,41.47%,1
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,ANG12,31.54%,2
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,LAT12,24.43%,1
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,MAT12,17.13%,10
Aglonas internātvidusskola,181401,LAT12,55.68%,4
Aglonas internātvidusskola,181401,MAT12,35.63%,4
Aglonas internātvidusskola,181401,ANG12,34.64%,4
Aizkraukles 1. vidusskola,233301,ANG12,58.98%,16
Aizkraukles 1. vidusskola,233301,MAT12,53.44%,16
Aizkraukles 1. vidusskola,233301,LAT12,49.78%,16
Aizkraukles Vakara (maiņu) vidusskola,241306,ANG12,44.62%,10
Aizkraukles Vakara (maiņu) vidusskola,241306,LAT12,42.70%,26
Aizkraukles Vakara (maiņu) vidusskola,241306,MAT12,19.72%,25
Aizkraukles novada ģimnāzija,251303,ANG12,65.17%,42
Aizkraukles novada ģimnāzija,251303,LAT12,62.05%,46
Aizkraukles novada ģimnāzija,251303,MAT12,56.07%,46
Aizkraukles Profesionālā vidusskola,271309,LAT12,29.01%,31
Aizkraukles Profesionālā vidusskola,271309,ANG12,25.03%,21
Aizkraukles Profesionālā vidusskola,271309,MAT12,21.40%,30
Aizputes vidusskola,331306,ANG12,55.79%,27
Aizputes vidusskola,331306,MAT12,55.62%,27
Aizputes vidusskola,331306,LAT12,48.04%,27
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,ANG12,34.84%,7
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,LAT12,32.13%,11
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,MAT12,26.12%,10
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,ANG12,50.66%,1
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,LAT12,35.79%,7
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,MAT12,16.96%,7
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,LAT12,32.70%,39
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,ANG12,26.22%,18
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,MAT12,22.76%,38
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,LAT12,47.30%,4
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,ANG12,36.36%,3
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,MAT12,25.50%,5
Cīravas Profesionālā vidusskola,371408,LAT12,31.53%,18
Cīravas Profesionālā vidusskola,371408,MAT12,30.69%,20
Cīravas Profesionālā vidusskola,371408,ANG12,26.42%,18
Aknīstes vidusskola,431301,ANG12,73.47%,7
Aknīstes vidusskola,431301,MAT12,49.66%,13
Aknīstes vidusskola,431301,LAT12,49.38%,13
Alojas Ausekļa vidusskola,531301,ANG12,86.91%,1
Alojas Ausekļa vidusskola,531301,LAT12,81.81%,1
Alojas Ausekļa vidusskola,531301,MAT12,75.62%,1
Staiceles vidusskola,531304,LAT12,45.49%,13
Staiceles vidusskola,531304,ANG12,38.24%,10
Staiceles vidusskola,531304,MAT12,29.81%,13
Alsungas vidusskola,631301,ANG12,57.73%,5
Alsungas vidusskola,631301,LAT12,57.15%,5
Alsungas vidusskola,631301,MAT12,53.87%,5
Alūksnes novada vidusskola,731323,ANG12,56.75%,24
Alūksnes novada vidusskola,731323,LAT12,40.25%,33
Alūksnes novada vidusskola,731323,MAT12,34.54%,33
Liepnas vidusskola,731413,LAT12,40.29%,12
Liepnas vidusskola,731413,ANG12,36.43%,12
Liepnas vidusskola,731413,MAT12,25.31%,12
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,LAT12,68.31%,58
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,ANG12,66.24%,51
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,MAT12,54.09%,58
Nītaures vidusskola,831405,LAT12,70.68%,5
Nītaures vidusskola,831405,ANG12,59.97%,3
Nītaures vidusskola,831405,MAT12,43.25%,5
Dāvja Ozoliņa Apes vidusskola,931301,LAT12,45.45%,6
Dāvja Ozoliņa Apes vidusskola,931301,ANG12,43.06%,4
Dāvja Ozoliņa Apes vidusskola,931301,MAT12,31.35%,6
Ojāra Vācieša Gaujienas vidusskola,931403,ANG12,56.62%,7
Ojāra Vācieša Gaujienas vidusskola,931403,LAT12,52.76%,7
Ojāra Vācieša Gaujienas vidusskola,931403,MAT12,51.69%,7
Auces vidusskola,1031301,LAT12,59.55%,22
Auces vidusskola,1031301,ANG12,50.48%,17
Auces vidusskola,1031301,MAT12,49.00%,22
Bēnes vidusskola,1031402,LAT12,56.25%,10
Bēnes vidusskola,1031402,ANG12,35.07%,10
Bēnes vidusskola,1031402,MAT12,24.88%,10
Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,ANG12,71.91%,6
Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,LAT12,59.31%,5
Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,MAT12,51.12%,5
Ādažu vidusskola,1133301,ANG12,72.15%,17
Ādažu vidusskola,1133301,LAT12,65.07%,19
Ādažu vidusskola,1133301,MAT12,56.61%,19
Babītes vidusskola,1231402,LAT12,69.21%,11
Babītes vidusskola,1231402,ANG12,64.89%,10
Babītes vidusskola,1231402,MAT12,52.72%,11
Baldones vidusskola,1331302,ANG12,73.14%,18
Baldones vidusskola,1331302,LAT12,66.68%,19
Baldones vidusskola,1331302,MAT12,54.21%,19
Baltinavas vidusskola,1431302,MAT12,76.78%,7
Baltinavas vidusskola,1431302,LAT12,71.99%,7
Baltinavas vidusskola,1431302,ANG12,59.21%,7
Balvu profesionālā un vispārizglītojošā vidusskola,1531302,ANG12,46.60%,13
Balvu profesionālā un vispārizglītojošā vidusskola,1531302,LAT12,41.13%,23
Balvu profesionālā un vispārizglītojošā vidusskola,1531302,MAT12,25.76%,23
Bērzpils vidusskola,1531407,MAT12,63.91%,8
Bērzpils vidusskola,1531407,ANG12,58.31%,7
Bērzpils vidusskola,1531407,LAT12,54.33%,8
Tilžas vidusskola,1531415,LAT12,57.69%,13
Tilžas vidusskola,1531415,MAT12,54.42%,13
Tilžas vidusskola,1531415,ANG12,54.15%,12
Balvu Valsts ģimnāzija,1561305,LAT12,61.56%,56
Balvu Valsts ģimnāzija,1561305,ANG12,59.79%,54
Balvu Valsts ģimnāzija,1561305,MAT12,49.50%,56
"PIKC ""Rīgas Valsts tehnikums"" Balvu teritoriālā struktūrvienība",1571312,MAT12,54.37%,12
"PIKC ""Rīgas Valsts tehnikums"" Balvu teritoriālā struktūrvienība",1571312,LAT12,45.50%,12
"PIKC ""Rīgas Valsts tehnikums"" Balvu teritoriālā struktūrvienība",1571312,ANG12,42.09%,14
Bauskas 2. vidusskola,1631302,ANG12,51.02%,28
Bauskas 2. vidusskola,1631302,LAT12,50.41%,41
Bauskas 2. vidusskola,1631302,MAT12,44.71%,41
Īslīces vidusskola,1631411,LAT12,57.10%,10
Īslīces vidusskola,1631411,MAT12,39.06%,10
Īslīces vidusskola,1631411,ANG12,38.68%,7
Uzvaras vidusskola,1631419,LAT12,51.89%,3
Uzvaras vidusskola,1631419,ANG12,50.24%,3
Uzvaras vidusskola,1631419,MAT12,36.46%,3
Bauskas Valsts ģimnāzija,1661301,ANG12,70.59%,39
Bauskas Valsts ģimnāzija,1661301,LAT12,70.01%,41
Bauskas Valsts ģimnāzija,1661301,MAT12,67.02%,41
Brocēnu vidusskola,1831302,LAT12,58.72%,25
Brocēnu vidusskola,1831302,ANG12,52.08%,22
Brocēnu vidusskola,1831302,MAT12,37.67%,25
Cesvaines vidusskola,2131302,LAT12,61.68%,21
Cesvaines vidusskola,2131302,ANG12,52.50%,20
Cesvaines vidusskola,2131302,MAT12,48.75%,21
Cēsu 2. vidusskola,2231306,LAT12,56.51%,41
Cēsu 2. vidusskola,2231306,ANG12,49.58%,29
Cēsu 2. vidusskola,2231306,MAT12,25.84%,40
Cēsu 2. vakara (maiņu) vidusskola,2243305,LAT12,48.29%,1
Cēsu 2. vakara (maiņu) vidusskola,2243305,ANG12,41.91%,1
Cēsu 2. vakara (maiņu) vidusskola,2243305,MAT12,29.37%,1
Cēsu Valsts ģimnāzija,2261313,ANG12,72.88%,77
Cēsu Valsts ģimnāzija,2261313,LAT12,68.89%,79
Cēsu Valsts ģimnāzija,2261313,MAT12,66.56%,79
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,ANG12,70.23%,51
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,LAT12,65.88%,51
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,MAT12,54.94%,51
Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,LAT12,56.81%,4
Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,ANG12,48.21%,4
Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,MAT12,29.06%,4
Cēsu Profesionālā vidusskola,2271311,ANG12,37.24%,48
Cēsu Profesionālā vidusskola,2271311,LAT12,35.71%,46
Cēsu Profesionālā vidusskola,2271311,MAT12,18.23%,46
Ciblas vidusskola,2331402,LAT12,54.76%,8
Ciblas vidusskola,2331402,ANG12,49.88%,7
Ciblas vidusskola,2331402,MAT12,43.20%,8
Dagdas vidusskola,2431306,LAT12,53.44%,47
Dagdas vidusskola,2431306,ANG12,51.76%,19
Dagdas vidusskola,2431306,MAT12,47.63%,47
Ezernieku vidusskola,2431407,MAT12,57.64%,13
Ezernieku vidusskola,2431407,LAT12,57.51%,13
Ezernieku vidusskola,2431407,ANG12,37.66%,1
Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,MAT12,42.67%,15
Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,LAT12,27.65%,15
Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,ANG12,26.31%,15
Sventes vidusskola,2531415,MAT12,61.79%,45
Sventes vidusskola,2531415,ANG12,47.41%,19
Sventes vidusskola,2531415,LAT12,33.39%,46
Vaboles vidusskola,2531418,MAT12,64.62%,10
Vaboles vidusskola,2531418,LAT12,61.30%,10
Vaboles vidusskola,2531418,ANG12,40.93%,8
Zemgales vidusskola,2532420,MAT12,50.00%,8
Zemgales vidusskola,2532420,ANG12,39.37%,8
Zemgales vidusskola,2532420,LAT12,36.50%,8
Salienas vidusskola,2533412,MAT12,49.02%,16
Salienas vidusskola,2533412,ANG12,36.95%,8
Salienas vidusskola,2533412,LAT12,29.54%,16
Špoģu vidusskola,2533416,ANG12,72.74%,10
Špoģu vidusskola,2533416,MAT12,66.17%,17
Špoģu vidusskola,2533416,LAT12,59.79%,17
Viduslatgales Profesionālā vidusskola Višķi,2571419,LAT12,31.91%,17
Viduslatgales Profesionālā vidusskola Višķi,2571419,MAT12,30.00%,18
Viduslatgales Profesionālā vidusskola Višķi,2571419,ANG12,25.92%,17
Daugavpils 12. vidusskola,2631205,ANG12,51.40%,36
Daugavpils 12. vidusskola,2631205,LAT12,49.52%,50
Daugavpils 12. vidusskola,2631205,MAT12,46.49%,49
Daugavpils 10. vidusskola,2632203,MAT12,50.44%,37
Daugavpils 10. vidusskola,2632203,ANG12,49.49%,37
Daugavpils 10. vidusskola,2632203,LAT12,41.29%,37
Daugavpils 15. vidusskola,2632207,MAT12,57.96%,23
Daugavpils 15. vidusskola,2632207,ANG12,51.47%,23
Daugavpils 15. vidusskola,2632207,LAT12,42.88%,23
Daugavpils 3. vidusskola,2632210,MAT12,78.98%,37
Daugavpils 3. vidusskola,2632210,ANG12,63.96%,37
Daugavpils 3. vidusskola,2632210,LAT12,53.74%,37
J. Raiņa Daugavpils 6. vidusskola,2632228,MAT12,48.98%,16
J. Raiņa Daugavpils 6. vidusskola,2632228,ANG12,40.54%,16
J. Raiņa Daugavpils 6. vidusskola,2632228,LAT12,36.29%,16
Daugavpils Centra vidusskola,2632290,MAT12,67.39%,29
Daugavpils Centra vidusskola,2632290,ANG12,56.73%,30
Daugavpils Centra vidusskola,2632290,LAT12,41.23%,30
Daugavpils 13. vidusskola,2633206,MAT12,73.33%,33
Daugavpils 13. vidusskola,2633206,ANG12,67.14%,33
Daugavpils 13. vidusskola,2633206,LAT12,42.92%,33
Daugavpils 16. vidusskola,2633208,MAT12,49.77%,19
Daugavpils 16. vidusskola,2633208,ANG12,44.45%,19
Daugavpils 16. vidusskola,2633208,LAT12,37.49%,19
Daugavpils 17. vidusskola,2633209,ANG12,31.30%,28
Daugavpils 17. vidusskola,2633209,MAT12,30.86%,34
Daugavpils 17. vidusskola,2633209,LAT12,27.68%,36
Daugavpils 9. vidusskola,2633215,ANG12,63.93%,25
Daugavpils 9. vidusskola,2633215,MAT12,60.35%,25
Daugavpils 9. vidusskola,2633215,LAT12,45.31%,25
Daugavpils Krievu vidusskola - licejs,2652217,MAT12,77.86%,47
Daugavpils Krievu vidusskola - licejs,2652217,ANG12,73.15%,47
Daugavpils Krievu vidusskola - licejs,2652217,LAT12,60.13%,47
J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,ANG12,51.86%,24
J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,MAT12,50.73%,23
J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,LAT12,45.36%,24
Daugavpils Valsts ģimnāzija,2661226,MAT12,69.87%,52
Daugavpils Valsts ģimnāzija,2661226,ANG12,65.85%,53
Daugavpils Valsts ģimnāzija,2661226,LAT12,63.33%,53
Daugavpils Būvniecības tehnikums,2671216,MAT12,24.73%,49
Daugavpils Būvniecības tehnikums,2671216,LAT12,24.13%,52
Daugavpils Būvniecības tehnikums,2671216,ANG12,21.17%,46
"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,LAT12,47.69%,15
"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,MAT12,34.00%,15
"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,ANG12,28.52%,16
Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,ANG12,49.83%,9
Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,LAT12,49.68%,9
Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,MAT12,44.14%,8
Daugavpils Profesionālā vidusskola,2671231,MAT12,32.66%,222
Daugavpils Profesionālā vidusskola,2671231,LAT12,30.92%,221
Daugavpils Profesionālā vidusskola,2671231,ANG12,28.58%,220
Daugavpils Universitāte,2691228,ANG12,45.18%,4
Daugavpils Universitāte,2691228,LAT12,45.07%,9
Dobeles 1. vidusskola,2731307,ANG12,56.24%,16
Dobeles 1. vidusskola,2731307,LAT12,49.09%,17
Dobeles 1. vidusskola,2731307,MAT12,41.91%,17
Dobeles Valsts ģimnāzija,2761312,ANG12,69.40%,73
Dobeles Valsts ģimnāzija,2761312,LAT12,66.71%,76
Dobeles Valsts ģimnāzija,2761312,MAT12,65.37%,76
Dobeles amatniecības un vispārizglītojošā vidusskola,2771322,LAT12,38.99%,69
Dobeles amatniecības un vispārizglītojošā vidusskola,2771322,ANG12,36.32%,56
Dobeles amatniecības un vispārizglītojošā vidusskola,2771322,MAT12,17.04%,69
Dundagas vidusskola,2831401,ANG12,69.68%,14
Dundagas vidusskola,2831401,LAT12,67.51%,17
Dundagas vidusskola,2831401,MAT12,47.43%,17
Engures vidusskola,3031401,ANG12,60.66%,10
Engures vidusskola,3031401,LAT12,59.14%,10
Engures vidusskola,3031401,MAT12,46.25%,10
Ērgļu vidusskola,3131402,ANG12,52.40%,20
Ērgļu vidusskola,3131402,LAT12,51.62%,20
Ērgļu vidusskola,3131402,MAT12,43.81%,20
Ērgļu Profesionālā vidusskola,3171401,LAT12,21.30%,2
Ērgļu Profesionālā vidusskola,3171401,MAT12,11.25%,2
Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,ANG12,48.09%,6
Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,LAT12,43.82%,8
Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,MAT12,37.03%,8
Grobiņas ģimnāzija,3351303,LAT12,59.80%,35
Grobiņas ģimnāzija,3351303,ANG12,54.28%,35
Grobiņas ģimnāzija,3351303,MAT12,47.69%,35
Gulbenes 2. vidusskola,3431304,LAT12,60.18%,29
Gulbenes 2. vidusskola,3431304,ANG12,56.16%,24
Gulbenes 2. vidusskola,3431304,MAT12,50.41%,29
Gulbenes vidusskola,3431309,ANG12,64.67%,9
Gulbenes vidusskola,3431309,LAT12,50.51%,10
Gulbenes vidusskola,3431309,MAT12,43.81%,10
Gulbīša vidusskola,3431410,ANG12,80.14%,3
Gulbīša vidusskola,3431410,MAT12,69.06%,4
Gulbīša vidusskola,3431410,LAT12,59.66%,4
Lejasciema vidusskola,3431413,LAT12,61.13%,5
Lejasciema vidusskola,3431413,ANG12,55.10%,5
Lejasciema vidusskola,3431413,MAT12,42.00%,5
Lizuma vidusskola,3431415,ANG12,51.35%,12
Lizuma vidusskola,3431415,LAT12,46.26%,12
Lizuma vidusskola,3431415,MAT12,36.61%,12
Gulbenes Vakara (maiņu) vidusskola,3441307,ANG12,45.45%,9
Gulbenes Vakara (maiņu) vidusskola,3441307,LAT12,41.47%,13
Gulbenes Vakara (maiņu) vidusskola,3441307,MAT12,35.45%,14
Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,LAT12,33.86%,10
Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,ANG12,21.03%,8
Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,MAT12,14.75%,10
Gulbenes novada valsts ģimnāzija,3461306,ANG12,66.84%,25
Gulbenes novada valsts ģimnāzija,3461306,LAT12,66.39%,27
Gulbenes novada valsts ģimnāzija,3461306,MAT12,62.40%,27
Jaungulbenes Professionālā vidusskola,3471411,LAT12,40.34%,10
Jaungulbenes Professionālā vidusskola,3471411,ANG12,35.07%,9
Jaungulbenes Professionālā vidusskola,3471411,MAT12,18.49%,12
Rankas Profesionālā vidusskola,3471417,LAT12,34.97%,9
Rankas Profesionālā vidusskola,3471417,ANG12,32.20%,5
Rankas Profesionālā vidusskola,3471417,MAT12,17.50%,9
Iecavas vidusskola,3531303,ANG12,63.01%,31
Iecavas vidusskola,3531303,LAT12,57.61%,35
Iecavas vidusskola,3531303,MAT12,48.00%,35
Ikšķiles vidusskola,3631301,ANG12,65.48%,20
Ikšķiles vidusskola,3631301,LAT12,54.80%,20
Ikšķiles vidusskola,3631301,MAT12,54.03%,20
Ogres tehnikums,3671421,LAT12,39.53%,209
Ogres tehnikums,3671421,ANG12,39.22%,210
Ogres tehnikums,3671421,MAT12,24.02%,211
Ilūkstes 1. vidusskola,3731304,MAT12,63.66%,35
Ilūkstes 1. vidusskola,3731304,LAT12,57.97%,35
Ilūkstes 1. vidusskola,3731304,ANG12,57.39%,32
Ilūkstes Sadraudzības vidusskola,3733307,LAT12,32.20%,35
Ilūkstes Sadraudzības vidusskola,3733307,ANG12,31.69%,33
Ilūkstes Sadraudzības vidusskola,3733307,MAT12,30.51%,37
Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,LAT12,53.84%,17
Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,ANG12,46.30%,16
Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,MAT12,45.11%,17
Vangažu vidusskola,3833302,LAT12,51.83%,9
Vangažu vidusskola,3833302,ANG12,50.52%,9
Vangažu vidusskola,3833302,MAT12,41.80%,9
Jaunjelgavas vidusskola,3931302,ANG12,67.93%,4
Jaunjelgavas vidusskola,3931302,LAT12,60.08%,4
Jaunjelgavas vidusskola,3931302,MAT12,48.28%,4
Jaunpiebalgas vidusskola,4031401,ANG12,48.96%,13
Jaunpiebalgas vidusskola,4031401,LAT12,47.32%,14
Jaunpiebalgas vidusskola,4031401,MAT12,36.11%,14
Jaunpils vidusskola,4131401,MAT12,60.28%,9
Jaunpils vidusskola,4131401,LAT12,59.91%,9
Jaunpils vidusskola,4131401,ANG12,54.78%,9
Kalnciema pagasta vidusskola,4231309,ANG12,60.66%,3
Kalnciema pagasta vidusskola,4231309,LAT12,42.04%,5
Kalnciema pagasta vidusskola,4231309,MAT12,30.25%,5
Elejas vidusskola,4231402,ANG12,59.15%,10
Elejas vidusskola,4231402,MAT12,54.00%,15
Elejas vidusskola,4231402,LAT12,52.80%,15
Kalnciema vidusskola,4231410,ANG12,56.57%,8
Kalnciema vidusskola,4231410,LAT12,52.27%,9
Kalnciema vidusskola,4231410,MAT12,24.10%,9
Līvbērzes vidusskola,4231414,ANG12,59.54%,2
Līvbērzes vidusskola,4231414,LAT12,49.30%,9
Līvbērzes vidusskola,4231414,MAT12,33.82%,9
Staļģenes vidusskola,4231418,LAT12,36.20%,7
Staļģenes vidusskola,4231418,ANG12,25.02%,4
Staļģenes vidusskola,4231418,MAT12,15.00%,8
Vircavas vidusskola,4231422,LAT12,26.13%,2
Vircavas vidusskola,4231422,MAT12,24.69%,2
Vircavas vidusskola,4231422,ANG12,21.96%,2
Jelgavas novada Neklātienes vidusskola,4241213,LAT12,39.77%,9
Jelgavas novada Neklātienes vidusskola,4241213,ANG12,36.36%,3
Jelgavas novada Neklātienes vidusskola,4241213,MAT12,16.25%,10
Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,4241406,ANG12,45.17%,24
Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,4241406,LAT12,35.35%,36
Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,4241406,MAT12,18.91%,36
Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,4241407,ANG12,44.66%,3
Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,4241407,LAT12,39.89%,18
Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,4241407,MAT12,21.35%,18
Zaļenieku komerciālā un amatniecības vidusskola,4271424,LAT12,30.41%,23
Zaļenieku komerciālā un amatniecības vidusskola,4271424,ANG12,27.68%,23
Zaļenieku komerciālā un amatniecības vidusskola,4271424,MAT12,13.61%,22
Jelgavas Tehnoloģiju vidusskola,4331201,LAT12,56.46%,37
Jelgavas Tehnoloģiju vidusskola,4331201,ANG12,55.10%,34
Jelgavas Tehnoloģiju vidusskola,4331201,MAT12,45.13%,37
Jelgavas 4. vidusskola,4331207,ANG12,63.11%,27
Jelgavas 4. vidusskola,4331207,LAT12,54.90%,27
Jelgavas 4. vidusskola,4331207,MAT12,42.08%,27
Jelgavas 5. vidusskola,4333208,ANG12,63.20%,28
Jelgavas 5. vidusskola,4333208,MAT12,62.74%,28
Jelgavas 5. vidusskola,4333208,LAT12,41.84%,28
Jelgavas 6. vidusskola,4333209,ANG12,51.79%,19
Jelgavas 6. vidusskola,4333209,MAT12,49.93%,19
Jelgavas 6. vidusskola,4333209,LAT12,40.16%,19
Jelgavas Vakara (maiņu) vidusskola,4341217,ANG12,46.87%,15
Jelgavas Vakara (maiņu) vidusskola,4341217,LAT12,42.65%,28
Jelgavas Vakara (maiņu) vidusskola,4341217,MAT12,24.35%,28
Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,4343218,MAT12,36.59%,11
Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,4343218,LAT12,21.12%,11
Jelgavas Spīdolas ģimnāzija,4351216,ANG12,69.71%,51
Jelgavas Spīdolas ģimnāzija,4351216,LAT12,61.00%,55
Jelgavas Spīdolas ģimnāzija,4351216,MAT12,54.53%,55
Jelgavas Valsts ģimnāzija,4361218,ANG12,73.67%,76
Jelgavas Valsts ģimnāzija,4361218,LAT12,62.85%,78
Jelgavas Valsts ģimnāzija,4361218,MAT12,60.99%,78
Jelgavas Amatu vidusskola,4371211,ANG12,34.79%,54
Jelgavas Amatu vidusskola,4371211,LAT12,34.30%,68
Jelgavas Amatu vidusskola,4371211,MAT12,21.87%,67
Jelgavas Mūzikas vidusskola,4371212,LAT12,58.07%,10
Jelgavas Mūzikas vidusskola,4371212,ANG12,42.17%,11
Jelgavas Mūzikas vidusskola,4371212,MAT12,41.33%,8
Jelgavas Tehnikums,4371222,LAT12,35.14%,119
Jelgavas Tehnikums,4371222,ANG12,34.63%,121
Jelgavas Tehnikums,4371222,MAT12,19.14%,123
Zasas vidusskola,4431409,ANG12,50.63%,4
Zasas vidusskola,4431409,LAT12,50.57%,6
Zasas vidusskola,4431409,MAT12,42.39%,6
Jēkabpils 3. vidusskola,4531202,ANG12,61.20%,19
Jēkabpils 3. vidusskola,4531202,LAT12,58.69%,23
Jēkabpils 3. vidusskola,4531202,MAT12,51.55%,23
Jēkabpils 2. vidusskola,4532201,ANG12,44.64%,17
Jēkabpils 2. vidusskola,4532201,MAT12,39.45%,17
Jēkabpils 2. vidusskola,4532201,LAT12,37.63%,17
Jēkabpils vakara vidusskola,4543206,ANG12,48.75%,9
Jēkabpils vakara vidusskola,4543206,LAT12,37.92%,24
Jēkabpils vakara vidusskola,4543206,MAT12,19.98%,27
Jēkabpils Valsts ģimnāzija,4561207,LAT12,67.26%,76
Jēkabpils Valsts ģimnāzija,4561207,ANG12,65.86%,70
Jēkabpils Valsts ģimnāzija,4561207,MAT12,59.41%,75
Jēkabpils Agrobiznesa koledža,4571203,ANG12,50.03%,45
Jēkabpils Agrobiznesa koledža,4571203,LAT12,45.03%,60
Jēkabpils Agrobiznesa koledža,4571203,MAT12,40.64%,61
Jūrmalas pilsētas Lielupes vidusskola,4631205,ANG12,67.36%,13
Jūrmalas pilsētas Lielupes vidusskola,4631205,LAT12,52.63%,11
Jūrmalas pilsētas Lielupes vidusskola,4631205,MAT12,36.93%,11
Pumpuru vidusskola,4631216,ANG12,62.16%,34
Pumpuru vidusskola,4631216,LAT12,48.16%,40
Pumpuru vidusskola,4631216,MAT12,35.00%,40
Majoru vidusskola,4631223,ANG12,65.79%,15
Majoru vidusskola,4631223,MAT12,50.00%,16
Majoru vidusskola,4631223,LAT12,48.47%,16
Jūrmalas pilsētas Kauguru vidusskola,4632204,MAT12,48.00%,30
Jūrmalas pilsētas Kauguru vidusskola,4632204,ANG12,47.94%,30
Jūrmalas pilsētas Kauguru vidusskola,4632204,LAT12,34.11%,30
Jūrmalas pilsētas Mežmalas vidusskola,4632206,ANG12,46.52%,19
Jūrmalas pilsētas Mežmalas vidusskola,4632206,LAT12,32.26%,19
Jūrmalas pilsētas Mežmalas vidusskola,4632206,MAT12,31.28%,19
Jūrmalas pilsētas Jaundubultu vidusskola,4633203,ANG12,67.52%,3
Jūrmalas pilsētas Jaundubultu vidusskola,4633203,MAT12,52.08%,3
Jūrmalas pilsētas Jaundubultu vidusskola,4633203,LAT12,37.88%,3
Jūrmalas vakara vidusskola,4643210,ANG12,43.81%,23
Jūrmalas vakara vidusskola,4643210,MAT12,37.02%,29
Jūrmalas vakara vidusskola,4643210,LAT12,34.86%,30
Murjāņu sporta ģimnāzija Jūrmalas filiāle,4651215,ANG12,58.57%,14
Murjāņu sporta ģimnāzija Jūrmalas filiāle,4651215,LAT12,42.81%,14
Murjāņu sporta ģimnāzija Jūrmalas filiāle,4651215,MAT12,37.99%,14
Jūrmalas Valsts ģimnāzija,4661211,ANG12,68.99%,38
Jūrmalas Valsts ģimnāzija,4661211,LAT12,62.03%,46
Jūrmalas Valsts ģimnāzija,4661211,MAT12,53.25%,46
