Nosaukums,Skolas kods,Kopvērtējums,Skaits,Priekšmets
Aglonas vidusskola,131403,84.00%,4,ANG9
Aglonas internātvidusskola,181401,69.50%,2,ANG9
Aizkraukles 1. vidusskola,233301,65.67%,9,ANG9
Aizkraukles Vakara (maiņu) vidusskola,241306,54.33%,9,ANG9
Aizkraukles novada ģimnāzija,251303,76.91%,47,ANG9
Aizputes pagasta pamatskola,321405,77.36%,11,ANG9
Dzērves pamatskola,321409,69.14%,14,ANG9
Kalvenes pamatskola,321410,72.40%,5,ANG9
Māteru Jura Kazdangas pamatskola,321413,55.22%,9,ANG9
Aizputes vidusskola,331306,67.66%,44,ANG9
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,44.50%,2,ANG9
Asares pamatskola,421402,67.00%,6,ANG9
Aknīstes vidusskola,431301,70.13%,8,ANG9
Ozolmuižas pamatskola,521402,51.75%,4,ANG9
Alojas Ausekļa vidusskola,531301,77.25%,8,ANG9
Staiceles vidusskola,531304,59.36%,14,ANG9
Alsungas vidusskola,631301,62.83%,18,ANG9
Bejas pamatskola,721408,57.67%,3,ANG9
Ilzenes pamatskola,721410,59.00%,1,ANG9
Jaunlaicenes pamatskola,721411,64.00%,4,ANG9
Malienas pamatskola,721414,52.50%,2,ANG9
Mālupes pamatskola,721415,33.50%,2,ANG9
Mārkalnes pamatskola,721416,42.75%,4,ANG9
Pededzes pamatskola,721417,61.33%,6,ANG9
Strautiņu pamatskola,721419,89.40%,5,ANG9
Ziemeru pamatskola,721422,57.20%,5,ANG9
Jaunannas Mūzikas un mākslas pamatskola,721429,76.50%,2,ANG9
Alūksnes novada vidusskola,731323,63.00%,8,ANG9
Liepnas vidusskola,731413,65.33%,3,ANG9
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,79.39%,38,ANG9
Smiltenes tehnikums Alsviķu teritoriālā struktūrvienība,771401,63.50%,2,ANG9
Liepnas internātpamatskola,781412,43.00%,5,ANG9
Amatas pamatskola,821402,73.00%,7,ANG9
Sērmūkšu pamatskola,821406,89.00%,2,ANG9
Skujenes pamatskola,821407,60.33%,3,ANG9
Nītaures vidusskola,831405,79.33%,9,ANG9
Drabešu internātpamatskola,881403,37.40%,5,ANG9
Vidagas Sikšņu pamatskola,921404,74.17%,6,ANG9
Trapenes pamatskola,921405,63.80%,5,ANG9
Dāvja Ozoliņa Apes vidusskola,931301,59.82%,11,ANG9
Ojāra Vācieša Gaujienas vidusskola,931403,73.00%,7,ANG9
Gaujienas internātpamatskola,981402,42.43%,7,ANG9
Auces vidusskola,1031301,56.62%,34,ANG9
Bēnes vidusskola,1031402,59.11%,18,ANG9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,80.82%,22,ANG9
Ādažu vidusskola,1133301,76.23%,64,ANG9
Babītes vidusskola,1231402,83.71%,52,ANG9
Baldones Mūzikas pamatskola,1321301,93.33%,3,ANG9
Baldones vidusskola,1331302,73.67%,27,ANG9
Baltinavas vidusskola,1431302,85.50%,4,ANG9
Bērzpils vidusskolas Krišjāņu filiāle,1521309,70.33%,3,ANG9
Briežuciema pamatskola,1521408,61.80%,5,ANG9
Stacijas pamatskola,1521413,83.00%,2,ANG9
Balvu pamatskola,1523303,71.00%,3,ANG9
Balvu profesionālā un vispārizglītojošā vidusskola,1531302,67.25%,4,ANG9
Bērzpils vidusskola,1531407,64.00%,5,ANG9
Tilžas vidusskola,1531415,67.50%,10,ANG9
Balvu Valsts ģimnāzija,1561305,75.36%,47,ANG9
Tilžas internātpamatskola,1581414,44.67%,3,ANG9
Bauskas pilsētas pamatskola,1621304,64.29%,17,ANG9
Codes pamatskola,1621408,57.25%,4,ANG9
Griķu pamatskola,1621410,75.89%,9,ANG9
Jaunsaules pamatskola,1621411,44.50%,4,ANG9
Mežgaļu pamatskola,1621413,61.20%,5,ANG9
Mežotnes pamatskola,1621415,70.00%,4,ANG9
Ozolaines pamatskola,1621416,58.14%,7,ANG9
Vecsaules pamatskola,1621420,74.00%,6,ANG9
Bauskas 2. vidusskola,1631302,70.40%,25,ANG9
Īslīces vidusskola,1631411,73.07%,15,ANG9
Uzvaras vidusskola,1631419,71.71%,7,ANG9
Bauskas Valsts ģimnāzija,1661301,79.86%,44,ANG9
Mežotnes internātvidusskola,1681414,51.00%,2,ANG9
J. Endzelīna Kauguru pamatskola,1721402,61.20%,10,ANG9
Trikātas pamatskola,1721403,70.00%,4,ANG9
Blīdenes pamatskola,1821401,63.50%,4,ANG9
Gaiķu pamatskola,1821403,73.50%,4,ANG9
Remtes pamatskola,1821404,64.00%,5,ANG9
Brocēnu vidusskola,1831302,69.36%,25,ANG9
Ēveles pamatskola,1921402,67.00%,2,ANG9
Matīšu pamatskola,1921403,73.17%,6,ANG9
Rencēnu pamatskola,1921404,67.83%,6,ANG9
Burtnieku Ausekļa vidusskola,1931401,69.50%,4,ANG9
Carnikavas pamatskola,2021301,82.29%,14,ANG9
Cesvaines vidusskola,2131302,69.79%,24,ANG9
Cesvaines internātpamatskola,2181301,39.00%,4,ANG9
Cēsu 1. pamatskola,2221303,83.50%,26,ANG9
Cēsu 2. pamatskola,2221304,73.54%,24,ANG9
Līvu pamatskola,2221415,66.67%,3,ANG9
Rāmuļu pamatskola,2221416,83.20%,5,ANG9
Cēsu Pilsētas vidusskola,2231306,66.26%,34,ANG9
Cēsu Valsts ģimnāzija,2261313,89.83%,42,ANG9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,79.92%,38,ANG9
Cēsu internātpamatskola - rehabilitācijas centrs,2281312,81.43%,7,ANG9
Pušmucovas pamatskola,2321405,94.00%,1,ANG9
Ciblas vidusskola,2331402,86.00%,2,ANG9
Andrupenes pamatskola,2421402,89.00%,2,ANG9
Andzeļu pamatskola,2421403,56.00%,2,ANG9
Šķaunes pamatskola,2421410,91.00%,1,ANG9
Asūnes pamatskola,2423404,71.00%,2,ANG9
Dagdas vidusskola,2431306,69.50%,10,ANG9
Ezernieku vidusskola,2431407,93.67%,3,ANG9
Kalupes pamatskola,2521404,79.00%,1,ANG9
Medumu pamatskola,2521408,69.33%,3,ANG9
Naujenes pamatskola,2521409,70.50%,2,ANG9
Nīcgales pamatskola,2521410,88.00%,4,ANG9
Biķernieku pamatskola,2522401,40.30%,10,ANG9
Birznieku pamatskola,2522402,58.13%,8,ANG9
Randenes pamatskola,2522411,47.25%,4,ANG9
Tabores pamatskola,2522417,47.20%,10,ANG9
Lāču pamatskola,2523405,54.36%,11,ANG9
Silenes pamatskola,2523413,46.17%,6,ANG9
Sventes vidusskola,2531415,65.00%,2,ANG9
Vaboles vidusskola,2531418,87.50%,6,ANG9
Zemgales vidusskola (Daugavpils novads),2532420,54.00%,11,ANG9
Salienas vidusskola,2533412,57.00%,12,ANG9
Špoģu vidusskola,2533416,62.45%,22,ANG9
Daugavpils Vienības pamatskola,2621227,66.55%,11,ANG9
Daugavpils 11. pamatskola,2623204,25.56%,16,ANG9
Daugavpils Saskaņas pamatskola,2623224,73.61%,51,ANG9
Daugavpils 12. vidusskola,2631205,70.08%,24,ANG9
Daugavpils 10. vidusskola,2632203,59.13%,70,ANG9
Daugavpils 15. vidusskola,2632207,51.39%,69,ANG9
Daugavpils 3. vidusskola,2632210,67.55%,49,ANG9
J. Raiņa Daugavpils 6. vidusskola,2632228,44.66%,29,ANG9
Daugavpils Centra vidusskola,2632290,54.76%,34,ANG9
Daugavpils 13. vidusskola,2633206,53.77%,43,ANG9
Daugavpils 16. vidusskola,2633208,56.43%,47,ANG9
Daugavpils 17. vidusskola,2633209,49.92%,25,ANG9
Daugavpils 9. vidusskola,2633215,70.53%,40,ANG9
Daugavpils Krievu vidusskola - licejs,2652217,79.40%,53,ANG9
J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,66.07%,14,ANG9
Daugavpils Valsts ģimnāzija,2661226,79.50%,22,ANG9
Daugavpils logopēdiskā internātpamatskola - attīstības centrs,2683218,58.88%,8,ANG9
Dobeles Kristīgā pamatskola,2721310,56.83%,12,ANG9
Annenieku pamatskola,2721401,68.00%,2,ANG9
Bikstu pamatskola,2721406,63.50%,4,ANG9
Gardenes pamatskola,2721413,71.00%,3,ANG9
Mežinieku pamatskola,2721418,66.82%,11,ANG9
Penkules pamatskola,2721420,46.80%,5,ANG9
Dobeles 1. vidusskola,2731307,69.57%,30,ANG9
Dobeles Valsts ģimnāzija,2761312,78.00%,48,ANG9
Dobeles Amatniecības un vispārizglītojošā vidusskola,2771322,64.33%,3,ANG9
Kolkas pamatskola,2821402,62.50%,12,ANG9
Dundagas vidusskola,2831401,77.26%,23,ANG9
A. Spāģa Dunalkas pamatskola,2921401,33.00%,1,ANG9
Ata Kronvalda Durbes vidusskola,2931302,75.86%,14,ANG9
Lapmežciema pamatskola,3021402,78.30%,10,ANG9
Smārdes pamatskola,3021404,51.14%,7,ANG9
Engures vidusskola,3031401,68.67%,27,ANG9
Jāņa Zālīša Sausnējas pamatskola,3121403,69.50%,2,ANG9
Ērgļu vidusskola,3131402,70.40%,10,ANG9
"Priekuļu tehnikums, izglītības programmu īstenošanas vieta Ērgļi",3171401,44.67%,6,ANG9
Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,87.00%,6,ANG9
Berģu Mūzikas un mākslas pamatskola,3281401,74.00%,1,ANG9
Bārtas pamatskola,3321401,51.71%,7,ANG9
Gaviezes pamatskola,3321402,57.33%,3,ANG9
Kapsēdes pamatskola,3321406,57.25%,8,ANG9
Grobiņas ģimnāzija,3351303,75.81%,58,ANG9
Daukstes pamatskola,3421401,70.17%,6,ANG9
Druvienas pamatskola,3421402,64.50%,4,ANG9
Galgauskas pamatskola,3421403,64.00%,7,ANG9
K. Valdemāra pamatskola,3421412,57.67%,3,ANG9
Litenes pamatskola,3421414,66.67%,3,ANG9
Rankas pamatskola,3421418,61.57%,7,ANG9
Stāķu pamatskola,3421421,65.08%,13,ANG9
Stāmerienas pamatskola,3421422,55.00%,2,ANG9
Tirzas pamatskola,3421424,51.00%,5,ANG9
Gulbenes 2. vidusskola,3431304,68.96%,24,ANG9
Gulbenes vidusskola,3431309,68.89%,19,ANG9
Gulbīša vidusskola,3431410,52.33%,3,ANG9
Lejasciema vidusskola,3431413,67.64%,14,ANG9
Lizuma vidusskola,3431415,72.86%,7,ANG9
Gulbenes novada valsts ģimnāzija,3461306,79.81%,16,ANG9
Valmieras tehnikums Rankas teritoriālā struktūrvienība,3471417,22.00%,2,ANG9
Dzimtmisas pamatskola,3521301,66.22%,9,ANG9
Iecavas vidusskola,3531303,77.18%,44,ANG9
Iecavas internātpamatskola,3581302,53.29%,7,ANG9
Tīnūžu pamatskola,3621403,77.08%,12,ANG9
Ikšķiles vidusskola,3631301,82.20%,41,ANG9
Subates pamatskola,3721309,89.00%,1,ANG9
Eglaines pamatskola,3721403,72.00%,3,ANG9
Ilūkstes 1. vidusskola,3731304,77.67%,15,ANG9
Ilūkstes Sadraudzības vidusskola,3733307,53.73%,15,ANG9
Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,76.89%,9,ANG9
Inčukalna pamatskola,3821401,70.75%,8,ANG9
Vangažu vidusskola,3833302,72.58%,19,ANG9
Daudzeses pamatskola,3921401,58.00%,2,ANG9
Seces pagasta pamatskola,3921403,78.57%,7,ANG9
Sunākstes pamatskola,3921404,59.75%,4,ANG9
Jaunjelgavas vidusskola,3931302,77.25%,12,ANG9
Jaunpiebalgas vidusskola,4031401,60.00%,26,ANG9
Jaunpils vidusskola,4131401,55.25%,16,ANG9
Platones pamatskola,4221315,72.00%,5,ANG9
Aizupes pamatskola,4221401,68.36%,14,ANG9
Sesavas pamatskola,4221416,64.00%,8,ANG9
Svētes pamatskola,4221419,52.50%,6,ANG9
Šķibes pamatskola,4221420,70.75%,4,ANG9
Vilces pamatskola,4221421,75.00%,5,ANG9
Kalnciema pagasta vidusskola,4231309,68.00%,4,ANG9
Elejas vidusskola,4231402,61.33%,15,ANG9
Kalnciema vidusskola,4231410,68.86%,7,ANG9
Līvbērzes vidusskola,4231414,76.67%,3,ANG9
Staļģenes vidusskola,4231418,87.25%,8,ANG9
Vircavas vidusskola,4231422,74.83%,6,ANG9
Jelgavas novada Neklātienes vidusskola,4241213,60.00%,2,ANG9
Zaļenieku komerciālā un amatniecības vidusskola,4271424,62.42%,12,ANG9
Jelgavas 2. pamatskola,4322204,54.93%,30,ANG9
Jelgavas Tehnoloģiju vidusskola,4331201,66.30%,40,ANG9
Jelgavas 4. vidusskola,4331207,74.12%,65,ANG9
Jelgavas 5. vidusskola,4333208,60.75%,60,ANG9
Jelgavas 6. vidusskola,4333209,57.00%,40,ANG9
Jelgavas Vakara (maiņu) vidusskola,4341217,55.50%,2,ANG9
Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,4343218,30.20%,5,ANG9
Jelgavas Spīdolas ģimnāzija,4351216,82.90%,79,ANG9
Jelgavas Valsts ģimnāzija,4361218,81.98%,96,ANG9
Jelgavas Amatu vidusskola,4371211,62.33%,6,ANG9
Jelgavas 1. internātpamatskola,4381203,44.00%,2,ANG9
Ābeļu pamatskola,4421401,53.75%,4,ANG9
Dignājas pamatskola,4421403,69.00%,4,ANG9
Dunavas pamatskola,4421404,54.00%,1,ANG9
Rubeņu pamatskola,4421407,71.00%,4,ANG9
Zasas vidusskola,4431409,66.27%,11,ANG9
Jēkabpils 3. vidusskola,4531202,77.00%,25,ANG9
Jēkabpils 2. vidusskola,4532201,47.57%,63,ANG9
Jēkabpils vakara vidusskola,4543206,72.00%,1,ANG9
Jēkabpils Valsts ģimnāzija,4561207,78.25%,89,ANG9
Jūrmalas Alternatīvā skola,4621202,91.61%,18,ANG9
Slokas pamatskola,4621219,75.50%,18,ANG9
Vaivaru pamatskola,4621221,79.38%,8,ANG9
Jūrmalas pilsētas Lielupes vidusskola,4631205,67.45%,11,ANG9
Ķemeru vidusskola,4631212,57.60%,5,ANG9
Pumpuru vidusskola,4631216,78.20%,20,ANG9
Majoru vidusskola,4631223,82.77%,22,ANG9
Jūrmalas pilsētas Kauguru vidusskola,4632204,57.43%,49,ANG9
Jūrmalas pilsētas Mežmalas vidusskola,4632206,61.60%,35,ANG9
Jūrmalas pilsētas Jaundubultu vidusskola,4633203,55.28%,18,ANG9
Jūrmalas vakara vidusskola,4643210,41.50%,6,ANG9
Murjāņu sporta ģimnāzija Jūrmalas filiāle,4651215,75.25%,4,ANG9
Jūrmalas Valsts ģimnāzija,4661211,84.17%,46,ANG9
Cēres pamatskola,4721401,60.00%,4,ANG9
Kandavas novada Zantes pamatskola,4721404,69.00%,4,ANG9
Vānes pamatskola,4721407,73.20%,5,ANG9
Zemītes pamatskola,4721408,54.33%,9,ANG9
Kandavas Kārļa Mīlenbaha vidusskola,4731303,66.94%,48,ANG9
Kandavas internātvidusskola,4781302,56.44%,18,ANG9
Mērdzenes pamatskola,4821404,79.50%,4,ANG9
Mežvidu pamatskola,4821405,75.00%,1,ANG9
Salnavas pamatskola,4821406,90.00%,1,ANG9
Kārsavas vidusskola,4831302,73.00%,11,ANG9
Bebru pamatskola,4921401,68.50%,12,ANG9
Ilmāra Gaiša Kokneses vidusskola,4931403,75.88%,24,ANG9
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,42.25%,8,ANG9
Krāslavas pamatskola,5021306,69.08%,13,ANG9
Indras pamatskola,5021402,92.00%,1,ANG9
Izvaltas pamatskola,5021403,77.33%,6,ANG9
Kalniešu pamatskola,5023404,36.00%,4,ANG9
Krāslavas gr. Plāteru v.n. Poļu pamatskola,5024305,58.50%,2,ANG9
Krāslavas Varavīksnes vidusskola,5033309,56.76%,34,ANG9
Garlība Merķeļa Lēdurgas pamatskola,5121401,69.25%,12,ANG9
Krimuldas vidusskola,5131402,66.50%,24,ANG9
Krustpils pamatskola,5221208,83.40%,5,ANG9
Sūnu pamatskola,5221405,56.00%,4,ANG9
Kuldīgas pamatskola,5321307,79.60%,25,ANG9
Ēdoles pamatskola,5321402,67.50%,10,ANG9
Turlavas pamatskola,5321417,54.50%,8,ANG9
Vārmes pamatskola,5321419,68.00%,9,ANG9
Z.A. Meierovica Kabiles pamatskola,5321421,67.29%,7,ANG9
Kuldīgas 2. vidusskola,5331303,67.62%,26,ANG9
Kuldīgas Centra vidusskola,5331305,65.26%,39,ANG9
Kuldīgas Mākslas un humanitāro zinību vidusskola,5331306,85.95%,22,ANG9
V. Plūdoņa Kuldīgas ģimnāzija,5351318,66.00%,28,ANG9
Birzgales pamatskola,5421401,51.14%,7,ANG9
Ķeguma komercnovirziena vidusskola,5431302,79.15%,13,ANG9
Daugmales pamatskola,5521402,79.57%,7,ANG9
"Privātā pamatskola ""Gaismas tilts 97""",5521405,73.00%,2,ANG9
Ķekavas vidusskola,5531403,74.88%,56,ANG9
Baložu vidusskola,5533301,70.52%,25,ANG9
Lēdmanes pamatskola,5621405,68.10%,10,ANG9
Lielvārdes pamatskola,5623306,79.81%,16,ANG9
Edgara Kauliņa Lielvārdes vidusskola,5631301,76.13%,39,ANG9
Jumpravas vidusskola,5631403,61.64%,11,ANG9
Liepājas Katoļu pamatskola,5721216,86.13%,8,ANG9
Liepājas 3. pamatskola,5722205,55.51%,37,ANG9
J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,75.96%,50,ANG9
Liepājas 15. vidusskola,5731204,70.32%,34,ANG9
Liepājas Raiņa 6. vidusskola,5731221,70.30%,61,ANG9
Liepājas 7. vidusskola,5732206,57.74%,62,ANG9
Liepājas A. Puškina 2. vidusskola,5732208,61.81%,57,ANG9
Liepājas pilsētas 12. vidusskola,5732220,57.77%,47,ANG9
Liepājas 8. vidusskola,5733207,68.60%,35,ANG9
Liepājas vakara (maiņu) vidusskola,5741224,47.50%,6,ANG9
Liepājas Valsts 1. ģimnāzija,5761225,82.91%,98,ANG9
Liepājas internātpamatskola,5781212,48.40%,10,ANG9
Baumaņu Kārļa Viļķenes pamatskola,5821401,79.56%,9,ANG9
Lādezera pamatskola,5821405,73.08%,12,ANG9
Pāles pamatskola,5821411,72.75%,4,ANG9
Umurgas pamatskola,5821413,76.69%,13,ANG9
Vidrižu pamatskola,5821414,60.00%,4,ANG9
Limbažu 3. vidusskola,5831308,77.27%,26,ANG9
Limbažu novada ģimnāzija,5851315,68.02%,48,ANG9
Līgatnes novada vidusskola,5931301,66.63%,16,ANG9
Jaunsilavas pamatskola,6021401,74.67%,6,ANG9
Jersikas pamatskola,6021402,73.43%,7,ANG9
Rožupes pamatskola,6021406,73.75%,8,ANG9
Sutru pamatskola,6021409,82.33%,3,ANG9
Līvānu 1. vidusskola,6031303,73.74%,23,ANG9
Rudzātu vidusskola,6031408,72.25%,4,ANG9
Līvānu 2. vidusskola,6033304,66.33%,12,ANG9
Līvānu novada Vakara (maiņu) vidusskola,6041305,57.67%,3,ANG9
Lubānas vidusskola,6131301,75.20%,15,ANG9
Ludzas 2. vidusskola,6233304,51.23%,31,ANG9
Istras vidusskola,6233403,38.13%,8,ANG9
Ludzas pilsētas ģimnāzija,6251307,73.67%,15,ANG9
Barkavas pamatskola,6321402,70.33%,9,ANG9
Bērzaunes pamatskola,6321403,65.18%,11,ANG9
Degumnieku pamatskola,6321404,63.50%,2,ANG9
Dzelzavas pamatskola,6321405,61.67%,9,ANG9
Kristiāna Dāvida pamatskola,6321409,60.00%,3,ANG9
Kusas pamatskola,6321410,51.20%,5,ANG9
Lazdonas pamatskola,6321411,62.67%,6,ANG9
Liezēres pamatskola,6321412,68.00%,9,ANG9
Mārcienas pamatskola,6321418,67.67%,3,ANG9
Mētrienas pamatskola,6321419,70.00%,3,ANG9
Praulienas pamatskola,6321421,63.67%,6,ANG9
Vestienas pamatskola,6321423,52.00%,3,ANG9
Madonas pilsētas 1. vidusskola,6331314,78.97%,34,ANG9
Madonas pilsētas 2. vidusskola,6331315,69.22%,9,ANG9
Andreja Eglīša Ļaudonas vidusskola,6331413,59.80%,10,ANG9
Madonas Vakara un neklātienes vidusskola,6341316,50.83%,6,ANG9
Madonas Valsts ģimnāzija,6361317,82.85%,20,ANG9
Mazsalacas vidusskola,6431301,64.50%,18,ANG9
Mālpils novada vidusskola,6531303,74.84%,31,ANG9
Mālpils internātpamatskola,6581301,66.71%,7,ANG9
Mārupes pamatskola,6621302,82.86%,7,ANG9
Mārupes vidusskola,6631303,81.61%,80,ANG9
Naukšēnu novada vidusskola,6731402,62.73%,15,ANG9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",6781404,33.00%,1,ANG9
Mazzalves pamatskola,6821401,88.00%,3,ANG9
Sproģu pamatskola,6821403,88.00%,1,ANG9
Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,67.89%,19,ANG9
Rudes pamatskola,6921402,70.00%,3,ANG9
Nīcas vidusskola,6931401,65.29%,14,ANG9
Madlienas vidusskolas Krapes filiāle,7021402,51.50%,2,ANG9
Ķeipenes pamatskola,7021403,87.13%,8,ANG9
Ogresgala pamatskola,7021415,69.78%,9,ANG9
Taurupes pamatskola,7021419,61.00%,4,ANG9
Ogres 1. vidusskola,7031308,80.95%,59,ANG9
Madlienas vidusskola,7031405,77.67%,18,ANG9
Mazozolu filiāle,7031406,42.00%,2,ANG9
Suntažu vidusskola,7031418,69.86%,21,ANG9
Ogres Valsts ģimnāzija,7061314,81.49%,72,ANG9
Suntažu internātpamatskola - rehabilitācijas centrs,7081416,38.00%,1,ANG9
Olaines 1. vidusskola,7131301,78.55%,47,ANG9
Olaines 2. vidusskola,7132302,58.92%,51,ANG9
Garozas pamatskola,7221401,66.75%,4,ANG9
Salgales pamatskola,7221403,69.38%,8,ANG9
Teteles pamatskola,7223404,65.55%,11,ANG9
Ozolnieku vidusskola,7231402,84.89%,27,ANG9
Straupes pamatskola,7321406,69.13%,8,ANG9
Stalbes vidusskola,7331405,59.27%,11,ANG9
Vērgales pamatskola,7421402,77.00%,13,ANG9
Pāvilostas vidusskola,7431301,62.08%,13,ANG9
Pļaviņu novada ģimnāzija,7551302,69.75%,20,ANG9
Preiļu 1. pamatskola,7621304,77.41%,34,ANG9
Salas pamatskola,7621409,68.00%,2,ANG9
Preiļu 2. vidusskola,7633305,43.71%,14,ANG9
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,42.00%,1,ANG9
Gramzdas pamatskola,7721401,70.67%,3,ANG9
Kalētu pamatskola,7721402,68.60%,5,ANG9
Krotes Kronvalda Ata pamatskola,7721403,36.50%,6,ANG9
Virgas pamatskola,7721406,55.78%,9,ANG9
Priekules vidusskola,7731304,73.67%,9,ANG9
Liepas pamatskola,7821402,75.83%,6,ANG9
Mārsnēnu pamatskola,7821403,52.71%,7,ANG9
Priekuļu vidusskola,7831404,81.85%,13,ANG9
Drustu pamatskola,7921402,67.50%,4,ANG9
Raunas vidusskola,7931403,69.83%,18,ANG9
Rikavas pamatskola,8021327,70.67%,3,ANG9
Bērzgales pamatskola,8021404,62.60%,5,ANG9
Feimaņu pamatskola,8021407,81.50%,2,ANG9
Gaigalavas pamatskola,8021408,73.50%,4,ANG9
Jaunstrūžānu pamatskola,8021410,96.00%,1,ANG9
Kalnezeru Katoļu pamatskola,8021411,66.00%,3,ANG9
Rēznas pamatskola,8021426,68.50%,2,ANG9
Verēmu pamatskola,8021433,90.00%,4,ANG9
Audriņu pamatskola,8022402,46.13%,8,ANG9
Zarečnajas pamatskola,8023335,44.40%,5,ANG9
Sakstagala Jāņa Klīdzēja pamatskola,8023428,60.00%,7,ANG9
Dricānu vidusskola,8031406,75.33%,6,ANG9
Nautrēnu vidusskola,8031424,70.70%,10,ANG9
Liepu pamatskola,8032315,38.00%,9,ANG9
Tiskādu vidusskola,8032432,44.31%,13,ANG9
Kaunatas vidusskola,8033412,53.40%,10,ANG9
Kruķu pamatskola,8033413,50.50%,6,ANG9
Maltas vidusskola,8033420,70.47%,15,ANG9
Rēzeknes 5. vidusskola,8131208,81.63%,30,ANG9
Rēzeknes Katoļu vidusskola,8131210,56.90%,20,ANG9
Rēzeknes 2. vidusskola,8132205,52.45%,58,ANG9
Rēzeknes 4. vidusskola,8132207,70.64%,14,ANG9
Rēzeknes 6. vidusskola,8132209,60.73%,37,ANG9
Rēzeknes 3. vidusskola,8133206,58.86%,29,ANG9
Rēzeknes valsts poļu ģimnāzija,8154215,66.25%,32,ANG9
Rēzeknes Valsts 1. ģimnāzija,8161214,79.77%,39,ANG9
Rēzeknes logopēdiskā internātpamatskola,8181211,46.00%,2,ANG9
Dravnieku pamatskola,8221401,61.00%,1,ANG9
Galēnu pamatskola,8221403,75.00%,3,ANG9
Rušonas pamatskola,8221405,51.00%,1,ANG9
Sīļukalna pamatskola,8221407,68.57%,7,ANG9
Riebiņu vidusskola,8231404,78.78%,9,ANG9
"Pamatskola ""Rīdze""",8321104,82.91%,43,ANG9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,8321107,66.48%,40,ANG9
Rīgas Centra daiļamatniecības pamatskola,8321116,87.15%,33,ANG9
Rīgas Centra humanitārā vidusskola,8331117,88.29%,79,ANG9
Rīgas Natālijas Draudziņas vidusskola ,8331137,82.95%,22,ANG9
Rīgas 22. vidusskola,8332109,65.85%,72,ANG9
Rīgas 40. vidusskola,8332111,85.62%,91,ANG9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,67.43%,7,ANG9
Privātā Rīgas Tehnolingvistiskā ģimnāzija,8352106,65.88%,8,ANG9
Rīgas Valsts 1. ģimnāzija,8361130,91.85%,126,ANG9
Rīgas Valsts 3. ģimnāzija,8361131,86.78%,119,ANG9
Rīgas Valdorfskola,8421133,83.31%,13,ANG9
Iļģuciema vidusskola,8431106,81.52%,29,ANG9
"Privātā vidusskola ""Patnis""",8431110,84.00%,7,ANG9
Rīgas 41. vidusskola,8431117,72.70%,20,ANG9
Rīgas 69. vidusskola,8431120,80.52%,25,ANG9
Rīgas Imantas vidusskola,8431128,79.35%,48,ANG9
"Privātskola ""Latreia""",8432112,70.50%,8,ANG9
Rīgas 33. vidusskola,8432115,63.51%,59,ANG9
Rīgas 34. vidusskola,8432116,76.00%,72,ANG9
Rīgas 54. vidusskola,8432118,60.84%,31,ANG9
Rīgas 96. vidusskola,8432123,71.04%,55,ANG9
Rīgas Daugavgrīvas vidusskola,8432126,56.14%,49,ANG9
"Privātā vidusskola ""Templum""",8433111,50.50%,2,ANG9
Rīgas 71. vidusskola,8433121,63.48%,42,ANG9
Rīgas Anniņmuižas vidusskola,8433125,65.36%,47,ANG9
Rīgas Ostvalda vidusskola,8433130,68.43%,37,ANG9
Rīgas Valsts vācu ģimnāzija,8461134,86.98%,59,ANG9
Emīla Dārziņa mūzikas vidusskola,8471104,77.28%,18,ANG9
Rīgas Doma kora skola,8471114,82.60%,25,ANG9
Andreja Pumpura Rīgas 11. pamatskola,8521101,70.52%,31,ANG9
Rīgas Avotu pamatskola,8521105,59.00%,10,ANG9
Rīgas Pļavnieku pamatskola,8521150,65.05%,22,ANG9
"Privātā pamatskola ""Maksima""",8522108,82.81%,16,ANG9
"Privātā pamatskola ""RIMS-Rīga International meridian school""",8523149,76.50%,8,ANG9
Jankas Kupalas Rīgas Baltkrievu pamatskola,8524127,53.73%,15,ANG9
Rīgas 25. vidusskola,8531115,77.61%,64,ANG9
Rīgas 6. vidusskola,8531118,81.31%,54,ANG9
Rīgas 93. vidusskola,8531129,78.04%,26,ANG9
Rīgas Kristīgā vidusskola,8531134,76.25%,16,ANG9
Rīgas Lietuviešu vidusskola,8531137,65.33%,27,ANG9
Habad Ebreju privātā vidusskola,8532102,66.75%,4,ANG9
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8532104,70.64%,14,ANG9
Rīgas Austrumu vidusskola,8532116,63.29%,21,ANG9
